,created_at,full_text
0,Mon Oct 26 15:31:44 +0000 2020,So @FandMCollege has been back in person for nearly a semester &amp; they have not implemented a robust testing &amp; tracing practice to protect #LancasterCity from #Covid19 Maybe if they were a real school like #MIT we would have real scientists like @Ayjchan helping us.
1,Fri Oct 23 04:24:43 +0000 2020,@FandMCollege You had me at “1776.”
2,Fri Oct 23 00:55:26 +0000 2020,@BrianStudebaker @UMNMorris @RaiseLabs @FLSouthern @FandMCollege @WPeaceU @NeumannUniv So great to have you take part and share your knowledge with transfer students!
3,Thu Oct 22 00:31:57 +0000 2020,"RT @realspencergray: NEW @FandMCollege (B/C) PA-7 poll October 12-18:

Wild (D): 43.6% (+7.2)
Scheller (R): 36.4%

Biden 51%/Trump 44% (+7)…"
4,Thu Oct 22 00:27:55 +0000 2020,"RT @realspencergray: NEW @FandMCollege (B/C) PA-7 poll October 12-18:

Wild (D): 43.6% (+7.2)
Scheller (R): 36.4%

Biden 51%/Trump 44% (+7)…"
5,Thu Oct 22 00:27:43 +0000 2020,"NEW @FandMCollege (B/C) PA-7 poll October 12-18:

Wild (D): 43.6% (+7.2)
Scheller (R): 36.4%

Biden 51%/Trump 44% (+7)
(District boundaries different since 2016)

MOE +/- 5.8%"
6,Wed Oct 21 21:13:55 +0000 2020,Just spent the last hour with 30 @FandMCollege students and our campus Chabad Rabbi exploring happiness and gratitude. We will be gathering again three more times and I’m already looking forward to the next time we are together.
7,Wed Oct 21 17:03:50 +0000 2020,@E_Marcovitz @FandMCollege We love you! We miss you! Zoom exists. Let's set it up.
8,Wed Oct 21 14:06:50 +0000 2020,"@pennslinger Man up Mr. Croon and admit if you were a betting man you’d lay odds on SPR’s polling accuracy over @FandMCollege, or am I wrong..?"
9,Wed Oct 21 11:40:20 +0000 2020,Dr @terrymadonna of @FandMCollege joins the @YCEAPA  Economics Club Breakfast today for a political polling round up pre #ElectionDay
10,Wed Oct 21 05:00:17 +0000 2020,"@themegdaystory @FandMCollege #QueerKin &amp; #GenderOutlaws—how I wish that space was part of my reality right now

really craving that GQ validation &amp; love"
11,Tue Oct 20 21:09:45 +0000 2020,"@cecsquared My sister and my brother-in-law live there. And I once dated a girl from Newark, DE. During the 1979 Three Mile Island accident we spent “Nuclear Break” in Newark, as our college (@FandMCollege) was 39 miles downwind from Harrisburg."
