,created_at,full_text
0,Mon Oct 26 18:30:20 +0000 2020,"RT @GMUPres: We're in the home stretch, #MasonNation. A reminder that this week is the last week to vote early in Virginia. @GeorgeMasonU w…"
1,Mon Oct 26 18:18:00 +0000 2020,RT @allvin9of9: Anyone who says young people don't vote haven't met @GeorgeMasonU students. They vote. Nationally 39.1% of students voted i…
2,Mon Oct 26 18:14:32 +0000 2020,"RT @GMUPres: We're in the home stretch, #MasonNation. A reminder that this week is the last week to vote early in Virginia. @GeorgeMasonU w…"
3,Mon Oct 26 18:14:01 +0000 2020,"RT @GMUPres: We're in the home stretch, #MasonNation. A reminder that this week is the last week to vote early in Virginia. @GeorgeMasonU w…"
4,Mon Oct 26 18:11:42 +0000 2020,"RT @GMUPres: We're in the home stretch, #MasonNation. A reminder that this week is the last week to vote early in Virginia. @GeorgeMasonU w…"
5,Mon Oct 26 18:11:18 +0000 2020,"We're in the home stretch, #MasonNation. A reminder that this week is the last week to vote early in Virginia. @GeorgeMasonU will be closed on November 3 to observe Election Day. Students registered to vote on campus can vote in Merten Hall."
6,Mon Oct 26 18:08:29 +0000 2020,@GeorgeMasonU Need help connecting with other GMU students during this semester? We’re here to help❤️
7,Mon Oct 26 17:36:51 +0000 2020,@mattgreenfield @GeorgeMasonU @robinhanson I hear you but can't appreciate the full scope of how terrible the idea is without reading the blog
8,Mon Oct 26 17:02:24 +0000 2020,RT @guidancenorth1: Virtual college visits this week @GeorgeMasonU  @MarywoodU  @Georgiancourt @binghamtonu @MoravianCollege @LycomingColle…
9,Mon Oct 26 15:51:55 +0000 2020,RT @allvin9of9: Anyone who says young people don't vote haven't met @GeorgeMasonU students. They vote. Nationally 39.1% of students voted i…
10,Mon Oct 26 15:51:24 +0000 2020,Virtual college visits this week @GeorgeMasonU  @MarywoodU  @Georgiancourt @binghamtonu @MoravianCollege @LycomingCollege @NJIT ...just to name a few SIGN UP IN NAVIANCE!!
11,Mon Oct 26 15:42:09 +0000 2020,Anyone who says young people don't vote haven't met @GeorgeMasonU students. They vote. Nationally 39.1% of students voted in '18. Mason students: 52.4%. Nationally  50.4% of students voted in '16. Mason students: 64.9%. Patriots vote. @masonvotes
12,Mon Oct 26 13:28:27 +0000 2020,@robinhanson @GeorgeMasonU come get your mans and his galaxy brain take
13,Mon Oct 26 12:29:51 +0000 2020,Happy birthday @KeithUrban !!!! Today is the 15 year anniversary of my first headline show of yours @GeorgeMasonU It changed the course of my life in the best way! Thank you 🙏🏼 Hope you have a fantastic day! 💕
14,Mon Oct 26 11:47:29 +0000 2020,@kevincarey1 @GeorgeMasonU @robinhanson You should screenshot rather than retweet him. Retweeting just encourages a Nazi.
15,Mon Oct 26 08:02:07 +0000 2020,@HeerJeet Regular Island of Dr. Moreau they are putting together at @GeorgeMasonU
