,created_at,full_text
0,Mon Oct 26 17:45:47 +0000 2020,"@GWtweets I understand that GW wants to get ""feedback"" on the Colonials mascot.  (1) Yes, let's get rid of it--it's wrong and does not represent us, and (2) let's have the new mascot be a Hippo!  We have that ridiculous statue, let's use it!  #TeamHippo! (J.D. '14 here)."
1,Mon Oct 26 16:44:03 +0000 2020,@paulconndc @GWtweets Sigh
2,Mon Oct 26 16:43:39 +0000 2020,@DanielHGill @GWtweets Being contemplated.
3,Mon Oct 26 16:43:29 +0000 2020,@MariaKoklanaris @GWtweets Being contemplated.
4,Mon Oct 26 16:24:44 +0000 2020,@paulconndc @GWtweets Did GW do this or is it just being contemplated?
5,Mon Oct 26 16:21:19 +0000 2020,@paulconndc @GWtweets wait have they done this
6,Mon Oct 26 15:33:36 +0000 2020,@tomsherwood Is @jasonrcharter @GWtweets star student and all around great DC resident in the running to run their comms team?  I’m voting for him as my write in candidate for every DC office since GW produces the very best people.
7,Mon Oct 26 10:34:10 +0000 2020,@lsehistory @LSEHY509 @GWtweets @deen_rosa might be interesting for you!
8,Mon Oct 26 09:11:50 +0000 2020,"Hey, @GWTweets Stop employing rapists #GWprotectsrapists"
9,Mon Oct 26 05:11:51 +0000 2020,"Hey, @GWTweets Stop covering for rapists #GWprotectsrapists"
10,Mon Oct 26 04:41:51 +0000 2020,"Hey, @GWTweets Stop enabling rapists #GWprotectsrapists"
11,Mon Oct 26 03:41:51 +0000 2020,"Hey, @GWTweets Stop apologizing for rapists #GWprotectsrapists"
12,Mon Oct 26 03:04:22 +0000 2020,"@SavannahGuthrie @GWtweets For those of you who are excited about Biden please take notice, AOC and Bernie have made a deal with Biden. They will own him and Democratic Party as you know it will be done with if Biden wins and guess what you will not be able to go back anymore. Our country will be destroyed"
13,Mon Oct 26 00:55:27 +0000 2020,@SavannahGuthrie @GWtweets Do they know you have zero integrity?
14,Mon Oct 26 00:23:44 +0000 2020,"""In order to authentically commit to climate justice, we must look to the past to reclaim the future. Our moonshot approach to climate change takes responsibility for not just the university's current carbon footprint, but also our historical emissions"" -Peter Harrison @GWtweets"
