,created_at,full_text
0,Mon Oct 26 18:30:48 +0000 2020,@RyanAFournier @Georgetown @mikopeled Disgusting
1,Mon Oct 26 18:01:51 +0000 2020,"@SenatorBennet I thought you were describing yourself. 

@Georgetown @TheLugarCenter Bipartisan Ranking

➡️ #3 @SenCoryGardner 
➡️ #52 @SenatorBennet 

#COPolitics"
2,Mon Oct 26 16:29:59 +0000 2020,"@ConsWahoo @Georgetown @msbgu It was a great experience. While it was tough juggling family, work, and school at the time, I thoroughly enjoyed every bit of it. I’ll never forget how the faculty responded when I got short-notice deployment orders. They made sure I could return and finish with the next cohort."
3,Mon Oct 26 16:21:15 +0000 2020,"@HerbCarmen @Georgetown @msbgu I remember when you started that program, how much I envied you. I still do."
4,Mon Oct 26 13:32:38 +0000 2020,But it's always nice to have some ammunition to tease my wife about her @Georgetown degree.
5,Mon Oct 26 02:32:18 +0000 2020,@MollyJongFast Here again is  @Georgetown &amp; @Harvard grad @kayleighmcenany she who will “never lie” to us. The F/U mentality she shows in “the president has given you a lot of time” &amp; handing a *healthcare* plan is clear. These schools must be so proud to claim her as a grad. #jesuiteducated 🙄
6,Mon Oct 26 00:57:44 +0000 2020,@KeithOlbermann @PressSec Can you imagine that she attended Georgetown and Harvard. Not impressive for admissions there. Right @Georgetown and @Harvard_Law ???
7,Mon Oct 26 00:51:31 +0000 2020,@blackwomenviews Who the hell is @NorahODonnell? She damn sure isn't a journalistic interviewer. @Georgetown needs to demand she give them back her diploma. She isn't a good representative for them.
8,Sun Oct 25 21:09:58 +0000 2020,unfortunately Emlyn kicked the bucket. croaked in a big time way. @Georgetown please stop asking Emlyn for money bc shes definitely stone cold dead now
9,Sun Oct 25 16:27:33 +0000 2020,@GUcstpubliclife @Georgetown @WashArchbishop @DIASchools wishes many blessings on @WashArchbishop +Wilton as he prepares to join the College of Cardinals.
10,Sun Oct 25 16:21:39 +0000 2020,@Georgetown I am a DC based graphic artist and I drew a redesign of Jack! Let me know if you’d like to see
11,Sun Oct 25 13:41:41 +0000 2020,@MoElleithee @arenda @Georgetown Better find out when Professor Strzok's birthday is.
12,Sun Oct 25 13:40:51 +0000 2020,"@MoElleithee @arenda @Georgetown Of course, you're lying.

Is the laptop real and who is the big guy?"
13,Sun Oct 25 13:28:10 +0000 2020,@ProfBShaffer @camanpour @ZMnatsakanyan @MIT Or @Georgetown  for that matter
14,Sun Oct 25 13:24:25 +0000 2020,Really @Harvard @Yale @Georgetown and more are taking in over a billion dollars from China and Russia and  allowed by said U's to steal our people's intellectual property . WTH ?? Shame on U
15,Sun Oct 25 04:43:21 +0000 2020,@Georgetown don't you think it's problematic having  @ProfBShaffer on faculty when she is a paid lobbyist for Azerbaijan? Does she disclose that to students before teaching them about conflicts in the Caucasus? seems like it would be her ethical duty to do so.
16,Sun Oct 25 04:21:39 +0000 2020,"RT @MoElleithee: Happy birthday to @arenda, one of the greatest sons of @Georgetown  ever. Hoya Saxa, my friend."
17,Sun Oct 25 03:46:02 +0000 2020,"RT @MoElleithee: Happy birthday to @arenda, one of the greatest sons of @Georgetown  ever. Hoya Saxa, my friend."
