,created_at,full_text
0,Mon Oct 26 18:13:21 +0000 2020,@notreallyjorge @GeorgiaTech i've been saying that since Vietnam
1,Mon Oct 26 17:27:24 +0000 2020,"@SeliotesAK @GeorgiaTech You rocked it, Ms Seliotes!"
2,Mon Oct 26 17:25:47 +0000 2020,@MatScoutWillie Georgia needs a new D1 program so bad @GeorgiaTech
3,Mon Oct 26 17:09:03 +0000 2020,RT @preszak: So happy that the colleges and universities in the Atlanta Region are collaborating to provide all of our students the best we…
4,Mon Oct 26 16:50:22 +0000 2020,"@MarissaKawehi @GeorgiaTech Be careful what you wish for. This could be viewed as an ""opportunity for institutional efficiency."" 😅"
5,Mon Oct 26 16:49:02 +0000 2020,RT @preszak: So happy that the colleges and universities in the Atlanta Region are collaborating to provide all of our students the best we…
6,Mon Oct 26 16:37:24 +0000 2020,"At the end of class today one of my students suggested that @GeorgiaTech give me PhD's in everything so that I can teach all of their classes. And if that isn't just the sweetest thing, I don't know what is! 😭🥰❤️"
7,Mon Oct 26 16:37:22 +0000 2020,"@BrookeAMcDaniel @GeorgiaTech SO much good study time (and procrastination time) spent in that sunroom. One of the main things I miss, haha."
8,Mon Oct 26 16:20:14 +0000 2020,RT @brianringley: @NatGMac @CITAcph @icdstuttgart @ETH_en would be my tier 1 followed by @BartlettArchUCL @CarnegieMellon @MIT. if you don'…
9,Mon Oct 26 16:19:34 +0000 2020,@whitneyrpeet Too good. One day we’ll go teach a @GeorgiaTech class about email marketing 📧. Maybe in the Perry sunroom I *definitely* never climbed out of my (214) window to sit on top of.
10,Mon Oct 26 16:17:44 +0000 2020,"@onlyayanna_ @That_Astro_Chic @EmoryChem @GeorgiaTech ok, me, a lowly, middle-aged, micro-minded BSEE. Please convey my apologies to that Brilliant Ayanna for my crass, dumb 'y'all' remark ☹️"
11,Mon Oct 26 16:08:23 +0000 2020,RT @preszak: So happy that the colleges and universities in the Atlanta Region are collaborating to provide all of our students the best we…
12,Mon Oct 26 16:02:47 +0000 2020,"RT @onlyayanna_: Hey y’all! 👋🏾 I’m Ayanna, a 2nd year PhD student @EmoryChem, but in my previous (research) life I studied how ice surface…"
13,Mon Oct 26 15:58:34 +0000 2020,"RT @onlyayanna_: Hey y’all! 👋🏾 I’m Ayanna, a 2nd year PhD student @EmoryChem, but in my previous (research) life I studied how ice surface…"
14,Mon Oct 26 15:41:23 +0000 2020,"RT @onlyayanna_: Hey y’all! 👋🏾 I’m Ayanna, a 2nd year PhD student @EmoryChem, but in my previous (research) life I studied how ice surface…"
15,Mon Oct 26 15:40:19 +0000 2020,So happy that the colleges and universities in the Atlanta Region are collaborating to provide all of our students the best we have to offer @ARCHEHigherEd cross registration.  Sign up for courses @agnesscott @EmoryUniversity @GeorgiaTech @Morehouse @SpelmanCollege and more.
16,Mon Oct 26 15:34:33 +0000 2020,"RT @onlyayanna_: Hey y’all! 👋🏾 I’m Ayanna, a 2nd year PhD student @EmoryChem, but in my previous (research) life I studied how ice surface…"
17,Mon Oct 26 15:23:48 +0000 2020,"@onlyayanna_ @That_Astro_Chic @EmoryChem @GeorgiaTech ""y'all"" ?"
18,Mon Oct 26 15:22:43 +0000 2020,"RT @onlyayanna_: Hey y’all! 👋🏾 I’m Ayanna, a 2nd year PhD student @EmoryChem, but in my previous (research) life I studied how ice surface…"
19,Mon Oct 26 15:20:45 +0000 2020,@wcantrell @GeorgiaTech @CabreraAngel @Martin4GA @ajc I have a first year at GT. We have been grateful for the way the school has focused on keeping students and staff healthy and safe during this weird semester. They've done a fantastic job testing and communicating.
20,Mon Oct 26 15:20:45 +0000 2020,"RT @onlyayanna_: Hey y’all! 👋🏾 I’m Ayanna, a 2nd year PhD student @EmoryChem, but in my previous (research) life I studied how ice surface…"
21,Mon Oct 26 15:15:01 +0000 2020,"RT @onlyayanna_: Hey y’all! 👋🏾 I’m Ayanna, a 2nd year PhD student @EmoryChem, but in my previous (research) life I studied how ice surface…"
22,Mon Oct 26 15:12:53 +0000 2020,"Hey y’all! 👋🏾 I’m Ayanna, a 2nd year PhD student @EmoryChem, but in my previous (research) life I studied how ice surface chemistry influences space and plasma physics on Europa @GeorgiaTech!! #BlackInPhysicsRollCall #BlackInPhysics #BlackInPlanetary #BlackInAstro"
23,Mon Oct 26 14:48:26 +0000 2020,RT @graceeswiftt: @WonkingClass @CoreyGoergen @GeorgiaTech We actually don’t have data on how many people are participating virtually *this…
24,Mon Oct 26 14:38:20 +0000 2020,@GeorgiaTech Great idea.
25,Mon Oct 26 14:22:15 +0000 2020,@Julie10s @GeorgiaTech Thank you !!!!
26,Mon Oct 26 14:20:29 +0000 2020,"@chibbs_1 @GeorgiaTech And we love you, Kenny!"
27,Mon Oct 26 14:07:09 +0000 2020,"Jenna Haspel @Constance8News
@GeorgiaTech
@GinaHaspell1 @JennaBushHager 

@KatrinaPierson @SecretaryCarson 

I want to be pronounced as a doctor from now on

Call me doctor Reverend Merrell Leon beavers"
28,Mon Oct 26 12:34:07 +0000 2020,@WonkingClass @CoreyGoergen @GeorgiaTech Point being the infection rate is definitely higher than that in reality
29,Mon Oct 26 12:33:36 +0000 2020,"@WonkingClass @CoreyGoergen @GeorgiaTech We actually don’t have data on how many people are participating virtually *this* year, so there are a lot of people who are at home this semester that are being counted as “non virtual” in this calculation. In this context, virtual just means the ~12,000 people in online masters"
30,Mon Oct 26 09:36:54 +0000 2020,"@ZaknafeinDC @GeorgiaTech Hmmm...good point. 

So if I’m thinking 50 attendees with catering I should put 75. 

We’re thinking about it all. Who catches an Uber. Needs to go to the grocery store mid-conference. Wanders to another meeting. HH at night.

Multi-day conferences may be the worst given that."
31,Mon Oct 26 06:12:54 +0000 2020,@GeorgiaTech please give me a full scholarship. i am begging
32,Mon Oct 26 06:12:31 +0000 2020,@GeorgiaTech do you have Pilot ATPL Program??
33,Mon Oct 26 02:57:25 +0000 2020,@cfbhall @GeorgiaTech @GTCheerleading @GeorgiaTechFB I love everything about Buzz! He's one of the most recognizable and historic college football mascots ever.
34,Mon Oct 26 02:04:35 +0000 2020,@DeepStateNerds @GeorgiaStateU @GeorgiaTech I was thinking Revolution Donuts on Edgewood
35,Mon Oct 26 01:52:46 +0000 2020,@DeepStateNerds @GeorgiaStateU @GeorgiaTech Plus the owner is amazing. She's so nice. And their cakes are SO GOOD.
36,Mon Oct 26 01:47:49 +0000 2020,@DeepStateNerds @GeorgiaStateU @GeorgiaTech Daddy D'z!!!!!!!!!!!!!!!
37,Mon Oct 26 01:44:00 +0000 2020,@DeepStateNerds @GeorgiaStateU @GeorgiaTech (Which is your favorite BBQ place?)
38,Mon Oct 26 01:37:03 +0000 2020,@DeepStateNerds We also have @GeorgiaStateU and @GeorgiaTech!
39,Mon Oct 26 01:30:36 +0000 2020,"@MollyCain @GeorgiaTech Companies should consider the staff on-site at their facilities as ""events,"" as well."
40,Sun Oct 25 23:18:24 +0000 2020,"@silviapeterssen Thank you, but all credit goes to the amazing @GeorgiaTech students who filled out my survey!"
41,Sun Oct 25 19:42:08 +0000 2020,RT @CabreraAngel: Best gift @GeorgiaTech students can bring home for the holidays this year is to go back covid-free. Thank you for all you…
42,Sun Oct 25 19:34:15 +0000 2020,@Larrysears6 @GeorgiaTech This is what I love to see. @CoachCollins is so hated by many tech fans but a golden by many that understand football
43,Sun Oct 25 18:52:34 +0000 2020,"RT @aemonorien: @SpeakerShinjini @GeorgiaTech Yes, I watched the commencement speech on YouTube. It was good."
44,Sun Oct 25 18:50:07 +0000 2020,"RT @aemonorien: @SpeakerShinjini @GeorgiaTech Yes, I watched the commencement speech on YouTube. It was good."
45,Sun Oct 25 18:48:18 +0000 2020,"RT @aemonorien: @SpeakerShinjini @GeorgiaTech Yes, I watched the commencement speech on YouTube. It was good."
