,created_at,full_text
0,Mon Oct 26 16:09:18 +0000 2020,@StevenBertoni @Forbes @CoachJoeMoglia @CoastalFootball @espn @GeorgiaSouthern Promote your business by #DigitalMarketing technology
1,Sun Oct 25 18:27:48 +0000 2020,How many @GeorgiaSouthern kickers are in the @NFL ?
2,Sat Oct 24 22:30:11 +0000 2020,@GeorgiaSouthern tell y’all football team #52 best D End/OLB in the world wherever y’all want em he gone produce 💯
3,Sat Oct 24 19:24:41 +0000 2020,@GeorgiaSouthern y’all football team is ass FUCK YOU MADE ME LOSE $100 bitch
4,Sat Oct 24 18:27:21 +0000 2020,@CoastalFootball backed up at their goal line to start the fourth tied against @GeorgiaSouthern. Big test!!!
5,Sat Oct 24 18:21:06 +0000 2020,Oh man @GeorgiaSouthern @GSAthletics_FB I hope Werts is@ok that looked painful. @chadlunsford you guys use that team work to finish this game.
6,Sat Oct 24 14:56:24 +0000 2020,@PatMcAfeeShow @chrisfallica @GeorgiaSouthern has a 5-1 all time record against the Chants. #HailSouthern +5.5 and the over.
7,Sat Oct 24 14:48:14 +0000 2020,@ConeDodger36 @CollegeGameDay @GeorgiaSouthern Figured you’d catch that. 🤣
8,Sat Oct 24 02:05:20 +0000 2020,@CuseFootball is a +2000 money line underdog tomorrow against @ClemsonFB to put that in perspective @GeorgiaSouthern was a +1750 money line underdog last year against undefeated and eventual national champion @LSUfootball.
9,Fri Oct 23 21:05:30 +0000 2020,@GeorgiaSouthern just sent me a letter to let me know someone hacked their information system and stole my social security number! 😍😍😍😍😍🥰🥰🥰🥰🤩🤩🤩🤩🥰🥰🥰😍😍🤩🤩🤩 This happened in July but they didn’t tell me until now! Thank you!
10,Thu Oct 22 20:51:57 +0000 2020,"Seriously? We're not the ones that stored our personal information unencrypted on a source outside of our control. As far as I'm concerned, the blame starts with @GeorgiaSouthern for storing information such as SSNs offsite outside of their control, and then goes to"
11,Thu Oct 22 20:51:57 +0000 2020,"As a follow-up, I am shocked that @GeorgiaSouthern appears to have washed their hands of the situation by insisting that we ""read the letter carefully"" and that “there is no reason to believe any data was or will be disseminated, misused or otherwise made available publicly”."
12,Thu Oct 22 20:26:26 +0000 2020,@GeorgiaSouthern Cmon you can spell Noah Prince’s name correctly.
13,Wed Oct 21 23:08:05 +0000 2020,@tennesseetech @MsBrownsLibrary @UTChattanooga @ClaytonState @AlbanyStateUniv @GeorgiaSouthern Thanks!! Proud Alumni!!
14,Wed Oct 21 21:47:34 +0000 2020,"As a @GeorgiaSouthern alum, I am deeply disappointed in the lack of response I have received from the VP over the data breach at Blackbaud. They've posted no notice on their website (UGA did), nor have they responded to my email in response to their initial letter to me."
15,Wed Oct 21 21:23:23 +0000 2020,tennesseetech: @MsBrownsLibrary @UTChattanooga @ClaytonState @AlbanyStateUniv @GeorgiaSouthern Absolutely! A purple and gold package is headed your way! 💜💛
16,Wed Oct 21 20:48:20 +0000 2020,@MsBrownsLibrary @UTChattanooga @ClaytonState @AlbanyStateUniv @GeorgiaSouthern Absolutely! A purple and gold package is headed your way! 💜💛
17,Wed Oct 21 18:17:30 +0000 2020,@UMassADBamford @mattsarz Why do we want to keep playing? @GeorgiaSouthern embarrassed us.
18,Wed Oct 21 00:02:36 +0000 2020,@crrogersPhD @GeorgiaSouthern Thank you!!
19,Tue Oct 20 20:13:12 +0000 2020,"RT @GeorgiaSouthern: Those registered to vote in Bulloch County can cast your ballot on the Statesboro Campus today until 5 p.m., and Wedne…"
20,Tue Oct 20 18:19:45 +0000 2020,"RT @GeorgiaSouthern: Those registered to vote in Bulloch County can cast your ballot on the Statesboro Campus today until 5 p.m., and Wedne…"
21,Tue Oct 20 16:38:23 +0000 2020,"RT @GeorgiaSouthern: Those registered to vote in Bulloch County can cast your ballot on the Statesboro Campus today until 5 p.m., and Wedne…"
22,Tue Oct 20 15:48:24 +0000 2020,"RT @GeorgiaSouthern: Those registered to vote in Bulloch County can cast your ballot on the Statesboro Campus today until 5 p.m., and Wedne…"
23,Tue Oct 20 15:13:46 +0000 2020,"RT @GeorgiaSouthern: Those registered to vote in Bulloch County can cast your ballot on the Statesboro Campus today until 5 p.m., and Wedne…"
24,Tue Oct 20 15:13:11 +0000 2020,"RT @GeorgiaSouthern: Those registered to vote in Bulloch County can cast your ballot on the Statesboro Campus today until 5 p.m., and Wedne…"
25,Tue Oct 20 15:04:11 +0000 2020,"Those registered to vote in Bulloch County can cast your ballot on the Statesboro Campus today until 5 p.m., and Wednesday and Thursday, Oct. 21-22, from 8 a.m. to 5 p.m."
26,Tue Oct 20 11:18:51 +0000 2020,@kengassiot @GeorgiaSouthern @GSGolfCourse Thanks Dr. Gassiot!
27,Mon Oct 19 20:51:55 +0000 2020,@MatthewBoedy @GeorgiaTech @AUG_University @ClaytonState @GeorgiaSouthern I’m sorry about your home state. How do so many people all over the country remain so adamantly opposed to facing the truth about the severity of Trump’s virus?
28,Mon Oct 19 14:49:39 +0000 2020,"Dear @GeorgiaSouthern ,

Please bring back the busses that run through campus.

From ,
A sincerely fed up student. 💙💛"
29,Sat Oct 17 20:15:37 +0000 2020,"RT @PeltonDonald: Once again @GeorgiaSouthern , thank you for having a DJ at the football game. Who needs a fantastic marching band, anyway…"
30,Sat Oct 17 20:15:08 +0000 2020,"Once again @GeorgiaSouthern , thank you for having a DJ at the football game. Who needs a fantastic marching band, anyway??
#imhereforntheband #SPMB"
31,Sat Oct 17 19:21:06 +0000 2020,"@GSUC100 @shahad_smith Great job, guys. Way to set an example for other @GeorgiaSouthern students. Very selfless and you’re making our community better!"
