,created_at,full_text
0,Mon Oct 26 18:03:16 +0000 2020,@DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus one word:  coyote
1,Mon Oct 26 14:18:12 +0000 2020,@DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus What will this legislative office do to address the coyotes!?!?
2,Mon Oct 26 13:02:50 +0000 2020,@DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus This is got to be the dumbest sister I ever seen.
3,Mon Oct 26 12:00:44 +0000 2020,@DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus SUFFERD🤣🤣🤣🤣🤣🤣🤣
4,Mon Oct 26 11:14:05 +0000 2020,"@VegasBigE @DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus No one heard of this person until she tripped, and fell on her face with the dumbest comment of the year."
5,Mon Oct 26 10:56:55 +0000 2020,"@Justusmom20091 @RLea35 @DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus Not too bright, are you.  Bless your heart.  You and Dar’shun are perfect for each other!  #LiberalismIsAMentalDisorder"
6,Mon Oct 26 10:47:06 +0000 2020,@DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus do you think its proper that someone with your obviously low IQ to vote? you do not have the ability to make a rational decision. How would you vote correctly? you are aware you suffer from Dunning-Kruger Effect delirium?
7,Mon Oct 26 08:37:58 +0000 2020,@DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus A lot of people probably would’ve considered but since you didn’t understand what Coyote means....
8,Mon Oct 26 06:08:27 +0000 2020,@mike_giardino @DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus She’s actually the stupidest “attorney” I’ve ever seen. There’s no way she passed the real Bar. There had to have been a special one that’s a bit lower.
9,Mon Oct 26 04:45:07 +0000 2020,@DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus @DarshunKendrick  Watch outfit those coyotes though! They might carry you off to Mexico!
10,Mon Oct 26 04:12:20 +0000 2020,@StokoKresto @DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus Its better than Dar'shun
11,Mon Oct 26 04:11:29 +0000 2020,@DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus Do you pay minimum wage or do you know what it is?
12,Mon Oct 26 03:27:35 +0000 2020,@DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus Do you hire coyotes??
13,Mon Oct 26 02:44:38 +0000 2020,@DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus how are those coyotes doing? lmao
14,Mon Oct 26 02:24:04 +0000 2020,@MsLaJan @RedInABlueSt8 @JohnGalt20161 @DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus Especially if she is her own attorney.
15,Mon Oct 26 02:04:35 +0000 2020,@DeepStateNerds @GeorgiaStateU @GeorgiaTech I was thinking Revolution Donuts on Edgewood
16,Mon Oct 26 01:52:46 +0000 2020,@DeepStateNerds @GeorgiaStateU @GeorgiaTech Plus the owner is amazing. She's so nice. And their cakes are SO GOOD.
17,Mon Oct 26 01:47:49 +0000 2020,@DeepStateNerds @GeorgiaStateU @GeorgiaTech Daddy D'z!!!!!!!!!!!!!!!
18,Mon Oct 26 01:44:00 +0000 2020,@DeepStateNerds @GeorgiaStateU @GeorgiaTech (Which is your favorite BBQ place?)
