,created_at,full_text
0,Fri Oct 23 19:47:54 +0000 2020,Ok the way gburg really just stole our refund $ IS NOT OK. I want answers 😴 @gettysburg
1,Fri Oct 23 02:13:14 +0000 2020,"Um @realDonaldTrump, as a top 3 graduate of Civil War Era Studies from @gettysburg , I can assure you you have not done more for Black people than Abraham Lincoln. #Debates2020 #DebateTonight"
2,Fri Oct 23 01:53:47 +0000 2020,Excellent virtual panel tonight with colleagues Professors Lowy and Bowman @gettysburg on the many fronts of the world wars. Great questions from really engaged students.
3,Thu Oct 22 15:57:51 +0000 2020,"I would like to commend 
@BucknellU for its outstanding job on keeping the students safe, on campus and in classroom learning.  It hasn’t been easy but they have been working diligently to make this happen.  
@gettysburg
 ...not so much. #bucknell #gburg #gettysburg #bucknellians"
4,Tue Oct 20 23:41:43 +0000 2020,@darrenglass @adamslib @gettysburg gave you a shoutout.
5,Tue Oct 20 16:57:18 +0000 2020,RT @darrenglass: I’m excited to see @jfagone speak tonight “at” @adamslib.  His book “The Woman Who Smashed Codes” is an all-time favorite…
6,Tue Oct 20 16:53:41 +0000 2020,I’m excited to see @jfagone speak tonight “at” @adamslib.  His book “The Woman Who Smashed Codes” is an all-time favorite and I have taught from it several times in my crypto classes @gettysburg
7,Tue Oct 20 12:43:03 +0000 2020,@PSU_Strong @gettysburg The list is a total sham if it doesn’t have Gettysburg College.
8,Tue Oct 20 01:33:27 +0000 2020,"@PSUcollars @gettysburg They weren’t even on the list, but I’ve watched a show on the ghosts there, very interesting"
9,Tue Oct 20 00:35:04 +0000 2020,@PSU_Strong It’s definitely Gettysburg College. And it’s not even remotely close. @gettysburg
