,created_at,full_text
0,Mon Oct 26 16:20:56 +0000 2020,@ldcallison @gcpioneers @GrinnellCollege @MWCSports @AVCAVolleyball thank you!!
1,Mon Oct 26 14:55:57 +0000 2020,"@gcpioneers @GrinnellCollege @MWCSports @AVCAVolleyball Welcome to GC, and good luck to you in your volleyball and academic career there!"
2,Mon Oct 26 14:54:39 +0000 2020,"@gcpioneers @GrinnellSoccer @UnitedCoaches @MWCSports @GrinnellCollege Welcome to GC, and good luck to you!"
3,Mon Oct 26 14:53:52 +0000 2020,"@gcpioneers @UnitedCoaches @MWCSports @GrinnellCollege Welcome, and I share your disdain for sweet potatoes!"
4,Mon Oct 26 14:53:21 +0000 2020,"@gcpioneers @GrinnellCollege @MWCSports @AVCAVolleyball Welcome to Grinnell, I lived in Noblesville for 5 years."
5,Fri Oct 23 22:48:49 +0000 2020,@Muna_Mire @uOttawa students and alumni at @GrinnellCollege are currently organizing around this precise issue. “academic freedom” is consistently the line of institutional pushback when black students demand the basic respect to not be subjected to the use of that word by nonblack instructors
6,Fri Oct 23 20:06:48 +0000 2020,@Ldonahuehjelle @GrinnellCollege @danrothschild Spot on.
7,Fri Oct 23 20:06:05 +0000 2020,@pen_is_mighty @GrinnellCollege @danrothschild I think it’s white male privilege.
8,Fri Oct 23 20:04:47 +0000 2020,"@Ldonahuehjelle It was all those cold winters @GrinnellCollege , affected @danrothschild’s perspective."
9,Tue Oct 20 18:00:01 +0000 2020,Thank you @GrinnellCollege for renewing your membership! We look forward to another year of collaboration on the civic mission of higher education.
10,Tue Oct 20 17:22:56 +0000 2020,"@DeanBakopoulos @GrinnellCollege Thanks so much, Dean!"
11,Tue Oct 20 05:26:15 +0000 2020,@kumailn @Bencjacobs @FiveThirtyEight @ElectProject Awwwww! I ❤️🖤 this @GrinnellCollege alum moment.
12,Mon Oct 19 19:56:47 +0000 2020,@MorrisPelzel @GrinnellCollege @GrinnellDLAC Fantastic!
13,Mon Oct 19 19:39:53 +0000 2020,RT @MorrisPelzel: Very excited to welcome Tierney Steelberg as our new Digital Liberal Arts Specialist at @GrinnellCollege @GrinnellDLAC! T…
14,Mon Oct 19 18:31:00 +0000 2020,Very excited to welcome Tierney Steelberg as our new Digital Liberal Arts Specialist at @GrinnellCollege @GrinnellDLAC! Tierney most recently has been at Guilford College Library as Digital Pedagogy and Scholarship Technologist.
15,Mon Oct 19 15:03:59 +0000 2020,@ToddDavidForem1 @GrinnellCollege I JUST MIGHT!!
16,Sun Oct 18 15:06:15 +0000 2020,"At @GrinnellCollege, I worked in the dining hall, like many #internationalstudents. Lyle Bauman, my white, Iowan, supervisor NEVER called me Mini. He told me he got in trouble with his wife for repeating my name to remember it :) #hehasmyrespect Mrinalini, worth learning 4/n"
