,created_at,full_text
0,Mon Oct 26 18:27:37 +0000 2020,@sahesq @JCSUniversity I donated last week @_HamptonU
1,Sun Oct 25 21:52:37 +0000 2020,RT @TMacCHBCU: @RepAdams @_HamptonU granted me the space to discover my love for math and use it to service my community.
2,Sun Oct 25 17:29:42 +0000 2020,@RepAdams @_HamptonU granted me the space to discover my love for math and use it to service my community.
3,Sun Oct 25 15:56:01 +0000 2020,"@ADHendersonSr @BamaStateAD_JT @_HamptonU @HamptonU_Alumni Thanks brother, I’m in good company!! 💙"
4,Sun Oct 25 15:46:26 +0000 2020,@BamaStateAD_JT @TiffanyTucker65 @_HamptonU @HamptonU_Alumni Congratulations my friend! Welcome to the #HU #40under40!
5,Sat Oct 24 19:50:21 +0000 2020,@BamaStateAD_JT @TiffanyTucker65 @_HamptonU @HamptonU_Alumni Congrats
6,Sat Oct 24 18:57:40 +0000 2020,@BamaStateAD_JT @TiffanyTucker65 @_HamptonU @HamptonU_Alumni Congratulations
7,Sat Oct 24 16:45:36 +0000 2020,@BamaStateAD_JT @_HamptonU @HamptonU_Alumni Thanks so much Bestie!!! 💙💙💙 Love you!
8,Sat Oct 24 15:32:22 +0000 2020,"RT @STEMhasSoul: @RepAdams I have a PhD in theoretical particle physics from @_hamptonu. I owe my career to Hampton, as well as my personal…"
9,Sat Oct 24 14:37:04 +0000 2020,"RT @STEMhasSoul: @RepAdams I have a PhD in theoretical particle physics from @_hamptonu. I owe my career to Hampton, as well as my personal…"
10,Sat Oct 24 14:33:12 +0000 2020,"@RepAdams I have a PhD in theoretical particle physics from @_hamptonu. I owe my career to Hampton, as well as my personal life. My husband is class of '78. And I 💜 you @RepAdams for your unwavering fight for and support of #HBCYs."
11,Fri Oct 23 20:26:25 +0000 2020,Watching Vick @30for30 and almost got emotion seeing him getting his body back on @_HamptonU field. I marched on that field. He got his life back on that field. Makes you remember the road you walk on an HBCU campus. #Respect
12,Fri Oct 23 02:56:39 +0000 2020,"Once again, #HBCU fam, what did @realDonaldTrump do for @_HamptonU @Morehouse @HowardUniv @FAMU_1887 @TuskegeeUniv @ncatsuaggies @BowieState ?????   Put up, or STOP using our Black Colleges for your own gain.  #Education #EconomicJustice"
13,Thu Oct 22 11:09:36 +0000 2020,@WTKR3 @RichLevy5 @_HamptonU Like the building
14,Wed Oct 21 18:37:36 +0000 2020,It is official @_HamptonU will be online for spring 2021
15,Tue Oct 20 23:26:51 +0000 2020,@_HamptonU has a great ROTC program and many #HBCUs do. Hampton rotc students that apply for scholarships there recieve them 90% of the time
16,Tue Oct 20 23:08:11 +0000 2020,@_HamptonU @HowardU @TuskegeeUniv @FAMU_1887 @tennstate are #HBCUs with great architecture programs
17,Tue Oct 20 11:45:29 +0000 2020,"RT @150Bison: hey family, happy homecoming! can you send us the links for your homecoming events 🥳 @_HamptonU arghhh matey! go pirates!"
18,Tue Oct 20 11:35:08 +0000 2020,"RT @150Bison: hey family, happy homecoming! can you send us the links for your homecoming events 🥳 @_HamptonU arghhh matey! go pirates!"
19,Tue Oct 20 00:21:56 +0000 2020,"RT @150Bison: hey family, happy homecoming! can you send us the links for your homecoming events 🥳 @_HamptonU arghhh matey! go pirates!"
20,Tue Oct 20 00:12:47 +0000 2020,"RT @150Bison: hey family, happy homecoming! can you send us the links for your homecoming events 🥳 @_HamptonU arghhh matey! go pirates!"
21,Mon Oct 19 22:41:04 +0000 2020,"RT @justwsports: ""Whenever I think about Little League, I think about what I did with the other players from around the world.""

Now a coll…"
22,Mon Oct 19 22:34:47 +0000 2020,"RT @150Bison: hey family, happy homecoming! can you send us the links for your homecoming events 🥳 @_HamptonU arghhh matey! go pirates!"
23,Mon Oct 19 22:17:11 +0000 2020,"RT @150Bison: hey family, happy homecoming! can you send us the links for your homecoming events 🥳 @_HamptonU arghhh matey! go pirates!"
24,Mon Oct 19 21:12:45 +0000 2020,"RT @150Bison: hey family, happy homecoming! can you send us the links for your homecoming events 🥳 @_HamptonU arghhh matey! go pirates!"
25,Mon Oct 19 20:57:25 +0000 2020,"RT @150Bison: hey family, happy homecoming! can you send us the links for your homecoming events 🥳 @_HamptonU arghhh matey! go pirates!"
26,Mon Oct 19 20:54:41 +0000 2020,"RT @150Bison: hey family, happy homecoming! can you send us the links for your homecoming events 🥳 @_HamptonU arghhh matey! go pirates!"
27,Mon Oct 19 20:53:42 +0000 2020,"RT @150Bison: hey family, happy homecoming! can you send us the links for your homecoming events 🥳 @_HamptonU arghhh matey! go pirates!"
28,Mon Oct 19 20:53:20 +0000 2020,"hey family, happy homecoming! can you send us the links for your homecoming events 🥳 @_HamptonU arghhh matey! go pirates!"
29,Sun Oct 18 22:53:55 +0000 2020,@NCATAdmissions @Morehouse @HowardU @_HamptonU @FAMU_1887 @ncatsuaggies @DrMichaelLomax @XULA1925 @HipHopPrez @HUPrez17 @MorehousePrez @DrHLWilliams @FiskPres @LRobinsonFAMU @UNCF @TuskegeeUniv @WhoIsHLM Send a message so that I can provide the info I have.
30,Sun Oct 18 17:52:02 +0000 2020,"@The107_hbcu @Morehouse @HowardU @_HamptonU @FAMU_1887 @ncatsuaggies @DrMichaelLomax @XULA1925 @HipHopPrez @HUPrez17 @MorehousePrez @DrHLWilliams @FiskPres @LRobinsonFAMU @UNCF @TuskegeeUniv @WhoIsHLM We would love to connect with Taft! Please send us his contact information, thank you!"
31,Sun Oct 18 15:22:53 +0000 2020,"10. Got the opportunity to be a grad assistant vb coach @_HamptonU to waive some of my tuition 🥵.... and still bartending 😳

11. After DPT graduation - started a PhD program at Univ of South Florida. 1st endeavor I never completed - they did not approve my vball dissertation 🤬"
32,Sun Oct 18 15:22:31 +0000 2020,"8. I got a job bartending in college bc an athletic full-ride and academic scholarship still weren’t enough to live 🙄😩 This was my career for 10 years even while obtaining my DPT.

9. I attended @_HamptonU for my DPT bc I was exhausted being the only POC in my classes. #HBCU"
33,Sun Oct 18 15:12:29 +0000 2020,@kchap512 @Morehouse @HowardU @_HamptonU @FAMU_1887 @ncatsuaggies @DrMichaelLomax @XULA1925 @HipHopPrez @HUPrez17 @MorehousePrez @DrHLWilliams @FiskPres @LRobinsonFAMU @NCATAdmissions @UNCF @TuskegeeUniv @WhoIsHLM Check your messages
34,Sun Oct 18 14:45:14 +0000 2020,@The107_hbcu @Morehouse @HowardU @_HamptonU @FAMU_1887 @ncatsuaggies @DrMichaelLomax @XULA1925 @HipHopPrez @HUPrez17 @MorehousePrez @DrHLWilliams @FiskPres @LRobinsonFAMU @NCATAdmissions @UNCF @TuskegeeUniv @WhoIsHLM What’s his contact information?  I manage an amazing community service scholarship program at Morehouse where he can continue such efforts.
35,Sun Oct 18 01:03:19 +0000 2020,@JucynthiaJessie @Morehouse @HowardU @_HamptonU @FAMU_1887 @ncatsuaggies @DrMichaelLomax @XULA1925 @HipHopPrez @HUPrez17 @MorehousePrez @DrHLWilliams @FiskPres @LRobinsonFAMU @NCATAdmissions @UNCF @TuskegeeUniv @WhoIsHLM Check your messages
36,Sun Oct 18 00:12:09 +0000 2020,@The107_hbcu @Morehouse @HowardU @_HamptonU @FAMU_1887 @ncatsuaggies @DrMichaelLomax @XULA1925 @HipHopPrez @HUPrez17 @MorehousePrez @DrHLWilliams @FiskPres @LRobinsonFAMU @NCATAdmissions @UNCF @TuskegeeUniv @WhoIsHLM Hi. My name is Jucynthia Jessie.  I am the Director of Admissions for Xavier University of Louisiana College of Pharmacy. Can you please put me in contact with Mr. Foley?
