,created_at,full_text
0,Mon Oct 26 18:25:07 +0000 2020,"@CAVandy @Harvard Bought 666 Fifth Avenue at the height of the bubble, then sells out the US for Saudi money when the mortgage is due"
1,Mon Oct 26 18:23:02 +0000 2020,@riotwomennn @Harvard is apparently a pay to play “education” for many current and future white collar criminals. I can’t imagine some of these students graduated simply based on their academic prowess or lack thereof. It’s a shame as I previously held this university in high esteem.
2,Mon Oct 26 18:19:56 +0000 2020,RT @LucPicat: @aawayne @maggieNYT A reminder that @jaredkushner didn't get into @Harvard or @nyulaw on merit but because daddy bought him a…
3,Mon Oct 26 18:18:59 +0000 2020,RT @LucPicat: @aawayne @maggieNYT A reminder that @jaredkushner didn't get into @Harvard or @nyulaw on merit but because daddy bought him a…
4,Mon Oct 26 18:18:21 +0000 2020,"@GOP @realDonaldTrump NANA DOESN’T WANNA DIE

RIGHT TO LIFE MY ASS

@Harvard @Yale @Princeton @BrownUniversity @Columbia @dartmouth @Penn @UCBerkeley @UCLA @Cornell"
5,Mon Oct 26 18:18:09 +0000 2020,@YahwehOrBust @MagnusMacro @Harvard you're going to have to find that out for yourself in about 13 years? 14? 😉
6,Mon Oct 26 18:16:53 +0000 2020,Im sure @Harvard couldnt me more  proud..... a real genius 🙌🤔 #jaredisamoron #Harvard
7,Mon Oct 26 18:16:42 +0000 2020,"@IngrahamAngle NANA DOESN’T WANNA DIE

RIGHT TO LIFE MY ASS

@NBCPolitics @CBSPolitics @ABCPolitics @nytpolitics @CNNPolitics @WSJPolitics @amconmag @Harvard"
8,Mon Oct 26 18:15:39 +0000 2020,RT @LucPicat: @aawayne @maggieNYT A reminder that @jaredkushner didn't get into @Harvard or @nyulaw on merit but because daddy bought him a…
9,Mon Oct 26 18:14:09 +0000 2020,"@BariAWilliams @RepDonBeyer And, yet again, @harvard sold its soul for too low a price considering the end result of Javanka. Or, well, perhaps they’re glad to have their grads securing positions of power via nepotism and executing corruptly &amp; incompetently w/resulting deaths, illnesses, and other damages."
10,Mon Oct 26 18:09:48 +0000 2020,RT @LucPicat: @DNCWarRoom A reminder that @jaredkushner didn't get into @Harvard or @nyulaw on merit but because daddy bought him a spot…
11,Mon Oct 26 18:05:24 +0000 2020,@CapitalEdgeNY @MagnusMacro @CAVandy @Harvard you lost to @SMTuffy
12,Mon Oct 26 18:03:20 +0000 2020,@MagnusMacro @CAVandy @Harvard they say there's no inflation...
13,Mon Oct 26 18:02:46 +0000 2020,@MagnusMacro @Harvard probably is! Their endowment probably wasn't $40B+ in 1997 either
14,Mon Oct 26 18:02:42 +0000 2020,"@MagnusMacro @CAVandy @Harvard ""Yale *could* use an international airport"""
15,Mon Oct 26 18:02:31 +0000 2020,@MagnusMacro @CAVandy @Harvard And people say there’s no signs of inflation
16,Mon Oct 26 18:02:06 +0000 2020,"@MegLavDC @richsignorelli @Harvard Completely tone deaf, clueless, and entitled."
