,created_at,full_text
0,Mon Oct 26 18:28:45 +0000 2020,@PRDiva91 @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv I need to get some money to do it.
1,Mon Oct 26 15:19:41 +0000 2020,"@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv DO it!! :D It's never too late, my friend!"
2,Mon Oct 26 14:47:21 +0000 2020,@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv That's the timeframe when it's free for college/university students: Tuesdays-Fridays from 3-5 pm
3,Mon Oct 26 14:47:02 +0000 2020,@PRDiva91 @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv This makes me want to get back to school.
4,Mon Oct 26 14:15:10 +0000 2020,"@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv If visiting on Tuesdays-Fridays from 3-5 pm, students must show their ID from their college or university."
5,Mon Oct 26 14:13:45 +0000 2020,"@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv Thanks, @eyepicyou :D"
6,Mon Oct 26 14:08:02 +0000 2020,@PRDiva91 @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum You missed  @DelawareCCC
7,Sat Oct 24 13:03:40 +0000 2020,"RT @EveryWhereChem: Speaking at @haverfordedu Chemistry at 3:00PM ET today on advancing chemistry through diversity. Contact my host, @cada…"
8,Fri Oct 23 20:54:40 +0000 2020,@haverfordedu @observer woah; strong middlebrow vibe
9,Fri Oct 23 20:03:44 +0000 2020,"What a treat to host @criticalneuro in our Revolutions in Psychology course at @haverfordedu. We were all inspired and completely mind-blown! Thank you, Ida, for a wonderful conversation!"
