,created_at,full_text
0,Sun Oct 25 19:54:38 +0000 2020,"Only thing hof made me do post grad is hate music. I’m just now, years later, starting to get that back #thanksfornothing @HofstraU @HofstraMusic but i got some solid friends out of it right?!"
1,Sun Oct 25 13:22:17 +0000 2020,@benrifkin @HofstraU That made me smile:). Thank you!
2,Sat Oct 24 21:31:41 +0000 2020,@Nasdaq @adenatfriedman @HofstraU @Frank_G_Zarb This = thus sorry for typo
3,Sat Oct 24 21:30:46 +0000 2020,"@Nasdaq @adenatfriedman @HofstraU @Frank_G_Zarb - #operatingmodels that do not include #flexibility will struggle 
- #virtual #GlobalBusinessdevelopment &amp; #revenue 2 stay this, #novel #strategic thinking required 
- #Regulation &amp; #ethics, hand by hand 
- No better #enablers than that person who helped you Adena"
4,Fri Oct 23 22:18:21 +0000 2020,@TheExtraPointFF Loved him. Played college ball down the block from me @HofstraU not many great NFL guys came outa there so it was always pretty cool following his career.
5,Fri Oct 23 18:19:58 +0000 2020,RT @justinshah_: @benrifkin @HofstraU @HofstraMusic Thank you so much Dr. Rifkin!!!
6,Fri Oct 23 18:06:52 +0000 2020,@benrifkin @HofstraU @HofstraMusic Thank you so much Dr. Rifkin!!!
7,Fri Oct 23 16:07:54 +0000 2020,RT @FullStoryWSHU: We’ll talk to Prof. Scott McLean (@QuinnipiacU) &amp; Dean Larry Levy (@HofstraU) to find out. We’ll then take a break from…
8,Fri Oct 23 16:03:18 +0000 2020,"We’ll talk to Prof. Scott McLean (@QuinnipiacU) &amp; Dean Larry Levy (@HofstraU) to find out. We’ll then take a break from the election and speak with @NeginFarsad, a comedian and activist, about finding humor in these extraordinary times."
9,Fri Oct 23 14:56:49 +0000 2020,"@benrifkin @RussophilesU @HofstraU probably minus the film is that the story is from the Thief. And if the director does not idealize him, he wants to evoke sympathy. but the boy and his windy mother are doomed to hardships and deprivation with or without a thief."
10,Fri Oct 23 14:29:34 +0000 2020,"@nightfligher @RussophilesU @HofstraU I think the film speaks to the impact of powerful experiences in our childhood:  for the better (we hope) or the worse (we fear), those experiences shape us for decades."
11,Fri Oct 23 14:09:28 +0000 2020,@HofstraUHCLAS @HofstraU @HU_DramaDance Beautiful!
12,Fri Oct 23 13:43:08 +0000 2020,"@RussophilesU @benrifkin @HofstraU Well, with age, the idea of ​​the heroes changes, and of the story itself.  it seems to me that the film has no special morals and heroes, probably because it was filmed in the dark 90s like the film ""Brother"" - it was filmed well, but the feeling is repulsive"
13,Fri Oct 23 13:42:54 +0000 2020,@gilliar_do @ZuckerSoM @HofstraU Thank you Dr. Gilliar!
14,Fri Oct 23 13:37:30 +0000 2020,@nightfligher @benrifkin @HofstraU Haven't gotten to it yet...
15,Fri Oct 23 13:36:31 +0000 2020,"@benrifkin @RussophilesU @HofstraU When I first watched this movie, it seemed to me not bad, but over time I changed my idea about it."
16,Fri Oct 23 13:11:21 +0000 2020,@RVHillPhD @ZuckerSoM @HofstraU KUDOS! Kudos ... not surprised! Not surprised! Celebrate!!!
17,Fri Oct 23 11:54:06 +0000 2020,@DrKirtyBrown @ZuckerSoM @HofstraU Thank you Dr. Brown!!
18,Fri Oct 23 11:53:31 +0000 2020,@BritneyNathan @ZuckerSoM @HofstraU Thanks Britney! 😊
19,Fri Oct 23 11:40:37 +0000 2020,"@SidFar_ @HofstraU Thank you, @SidFar_! See you soon!! 👏👏"
20,Fri Oct 23 03:11:46 +0000 2020,@rachvog29 @HofstraU Congrats to a true professional and an even better person 🎉🎉🎉
21,Fri Oct 23 02:36:15 +0000 2020,"@SageCamosse @HofstraU Thanks, Sage!"
22,Fri Oct 23 02:27:34 +0000 2020,@rachvog29 @HofstraU Congrats Rachel!
23,Fri Oct 23 01:56:40 +0000 2020,@HofstraU How about providing some safe activities and alternatives then?
24,Fri Oct 23 01:12:06 +0000 2020,"@bridget_walsh14 @HofstraU Nope, nope aaaand nope! I know you are in the same boat too lol but thank you!! Hope all is well otherwise!"
25,Fri Oct 23 01:05:19 +0000 2020,@rachvog29 @HofstraU Wow that’s awesome! Congrats! Not exactly what you imagined two years ago I’m sure but still AMAZING all the same! 🥳
26,Fri Oct 23 00:21:49 +0000 2020,"@KennyConrade @HofstraU Thanks Kenny! Let’s catch up soon, I’d love to hear how the job is going 👍"
27,Fri Oct 23 00:18:06 +0000 2020,"@rachvog29 @HofstraU We try, we try!"
28,Fri Oct 23 00:14:59 +0000 2020,"@rachvog29 @HofstraU Congrats Rachel!! Was always a pleasure working with you, keep up the great work!!"
29,Fri Oct 23 00:09:56 +0000 2020,@ajschaefer1 @HofstraU Thanks Alan! Hope to see you guys soon!
30,Fri Oct 23 00:09:34 +0000 2020,@BMac_81 @HofstraU Coming from the content king himself!! Thanks BMac 😎
31,Fri Oct 23 00:07:14 +0000 2020,@RVHillPhD @ZuckerSoM @HofstraU Congrats Dr. Hill! So well deserved!!!
