,created_at,full_text
0,Mon Oct 26 18:30:55 +0000 2020,"@KennethFaried35 @ROSGO21 @HowardU @CP3 @boardroom @pepsi Kenneth, did you send a question to us or directly to Boardroom? We didn't see it. Let us know. We don't want to miss it."
1,Mon Oct 26 18:02:16 +0000 2020,@sethi_sweekriti @HowardU Thank you very much mam for your wishes. We request you to follow this Official Twitter account of Institute of Tourism &amp; Hotel Management to get regularly updated for such conferences in future.
2,Mon Oct 26 17:50:02 +0000 2020,"@JoyAnnReid @ElieNYC We’ve never had a black President. @BarackObama’s not black culturally or genetically. @KamalaHarris is barely a black VP—though she did attend @HowardU. 

Black culture largely is “frivolous” and “insubstantial.” For every Toni Morrison and Joy Reid, ten “bitches ain’t shit.”"
3,Mon Oct 26 16:57:57 +0000 2020,Loved the opening session of @CB_Forums! It was great to hear from @HowardU's @HUPrez17 and @purduemitch. I love the idea that investing in a culture of community drives positive outcomes even amid great challenge.
4,Mon Oct 26 15:54:01 +0000 2020,@HowardU P/F us please!
5,Mon Oct 26 15:21:57 +0000 2020,"Eulaulah Donyll ""Lalah"" Hathaway. the firstborn to the legend Donny. and her parents met while studying music at Howard University.❤️ the legacy continues. @HowardU"
6,Mon Oct 26 13:50:56 +0000 2020,@Everette @artsy @Nordstrom @Long_Gallery @HowardU Very cool!
7,Mon Oct 26 13:18:10 +0000 2020,"I HATE @oaklandu AND I WISH I NEVER CAME BACK TO THIS RACIST ASS SCHOOL🤷🏾‍♀️💯
Should have went to @HowardU where my intelligence isn’t insulted as a black woman. #thisisongoingforYEARS"
8,Mon Oct 26 12:59:34 +0000 2020,"Just finished a video shoot with Dr. Frederick, president of @HowardU and I must say, he has truly mastered his interview skills. Mastered is an understatement actually. 

The video shoot was scheduled for 30 mins, we finished in 10."
9,Mon Oct 26 08:41:47 +0000 2020,@ithmagra @HowardU Thanks for this wonderful learning opportunity. It is a good paltform in this tough covid times to interact and understand the mindsets of several prominent personalities from all walks of life and from several countries at one online platform.
10,Mon Oct 26 02:41:33 +0000 2020,@DrSDMobleyJr @HowardU Well...I always loved you 💛
11,Mon Oct 26 02:39:00 +0000 2020,"@HowardU @HUPrez17 @CNNOpinion translation: as the conditions for Black poor people have worsened, Howard's commitment will continue to be creating a Black bourgeoisie. while the masses of your people suffer, a Howard education funnels you into the corporations responsible &amp; equips you to profit off of them"
12,Mon Oct 26 02:19:54 +0000 2020,"@x_is_the_future @SisterNightSays @tbonier Tom Bonier is an adjunct lecturer at @HowardU, in case that helps!"
13,Mon Oct 26 01:10:26 +0000 2020,@LukoghoK @HowardU Indeed
14,Mon Oct 26 00:54:30 +0000 2020,Enjoying the #RISE HC2K20 Virtual Concert - proud to represent all HBCU’s - especially THE @HowardU &amp; a very loud virtual OO-Oop to my Soror V-Raye for setting it out! Get it sis! #HU #YouKnow ❤️💙
15,Mon Oct 26 00:51:42 +0000 2020,@Smith4Delegate @JoeBiden @KamalaHarris @UDelaware @HowardU @howardlawschool This whole look 😍
16,Mon Oct 26 00:29:49 +0000 2020,@DanetteHoward16 @saragoldrickrab @KamalaHarris @HowardU Right?!
17,Sun Oct 25 23:38:49 +0000 2020,"Hey @NatHopkinson, just saw release regarding 44 @HowardU faculty promotions. Congrats Prof Hop! Well deserved!"
18,Sun Oct 25 22:27:32 +0000 2020,@Everette @artsy @Nordstrom @Long_Gallery @HowardU Wow this is super super dope! 🙏🏽🙏🏽
19,Sun Oct 25 22:02:16 +0000 2020,@HowardU @HUPrez17 @CNNOpinion Please go to my page and share my go fund me it is for me and the people all donations will be paid back thanks
20,Sun Oct 25 21:16:22 +0000 2020,@Smith4Delegate @JoeBiden @KamalaHarris @UDelaware @HowardU @howardlawschool The cardigan!!!  ***swoon***
21,Sun Oct 25 21:04:41 +0000 2020,@revrenddoctor @HowardU @HUPrez17 This is exactly what university presidents used to say. And all of those in powerful positions. That's why affirmative action was created. And why it is still needed.
22,Sun Oct 25 20:39:51 +0000 2020,@WBJonline I’m so damn glad....I went to @HowardU ✊🏾✊🏾✊🏾❤️❤️❤️
23,Sun Oct 25 18:36:54 +0000 2020,@AkivaMCohen @adamnash @johnpaulpagano @nytimes @HowardU @NatHopkinson Why honor a Farrakhan event ?
24,Sun Oct 25 17:39:56 +0000 2020,@HowardU @HUPrez17 @CNNOpinion Well said @HUPrez17.  My son Philip Jones is a Howard 2020 Finance graduate and a Well Fargo Financial Analyst.
25,Sun Oct 25 17:27:26 +0000 2020,@HowardU hello .
26,Sun Oct 25 17:09:25 +0000 2020,"@FrankBonsal @HowardU @HUPrez17 @CNNBusiness The pool of white male boomer CEO talent, though, DOES appear to be severely limited, which is why we have so many Fortune 500 CEOs making stupid racist remarks."
27,Sun Oct 25 16:39:42 +0000 2020,@CNN @CNNOpinion Thankyou Sir @HowardU
28,Sun Oct 25 15:18:10 +0000 2020,@HGC1968 @HowardU @HowardUChapel - you're welcome i love you all!
29,Sun Oct 25 15:14:50 +0000 2020,Thanks so much for tuning in! RT @mikejerseymusiq: - enjoying @HGC1968 homegoing virtual concert feels like im right in @HowardU @HowardUChapel #HowardGospelChoir
30,Sun Oct 25 14:50:54 +0000 2020,@BlackPastOnline @HowardU @AfricanaCarr Thank you.
31,Sun Oct 25 13:25:04 +0000 2020,@The107_hbcu @MsNikkiDarling @FAMU_1887 @HowardU @JoyAnnReid @KeishaBottoms Love them two
32,Sun Oct 25 13:11:34 +0000 2020,@WBJonline Congrats @HowardU and @HUPrez17 so many achievements and so well deserved!!
33,Sun Oct 25 13:05:09 +0000 2020,"My cousin wants to get into forex; he wants to forgo college. 😂 I told him I did 2.5 years @HowardU before I left. 

My uncle wanted me an my other cousins to mentor the lil nigga 😂. I’m  not the mentoring type🤣LOL"
34,Sun Oct 25 08:40:44 +0000 2020,@kimworthyDCTOY @HowardU @AfricanaCarr What’s happened to our elders during this pandemic has been devastating. I’m sorry for your loss.
35,Sun Oct 25 04:14:08 +0000 2020,@HowardU pass fail should be an easy choice to make. At least for 2 or 3 classes.
36,Sun Oct 25 03:57:49 +0000 2020,@KamalaHarris HU...You Know! We’re rooting—and voting—for you Kamala! #BidenHarris2020 @HowardU
37,Sun Oct 25 03:45:03 +0000 2020,@Suyasha20 @HowardU Thank You very much for your wishes Suyasha
38,Sun Oct 25 03:11:05 +0000 2020,@HowardU Let’s go!! 🙌🏾👏🏾🔴🔵
