,created_at,full_text
0,Sun Oct 25 03:45:56 +0000 2020,"Also, @Hunter_College should put some art or something on the bridge windows again. For a long time those windows had colored panels, which looked nice and would be visible to birds!"
1,Sat Oct 24 16:36:02 +0000 2020,"@CUNY @Hunter_College I think people should get as much information about an extra responsibility such as a pet. Maybe there’s qualities about a breed that wouldn’t fit a families need. Strongly oppose this, adoptions shouldn’t be about time but about finding the right home both for the dog and family"
2,Sat Oct 24 15:15:02 +0000 2020,"@CUNY @LehmanCollege Well, it was @Hunter_College in the Bronx back then. ;)"
3,Fri Oct 23 22:36:26 +0000 2020,@erinadam0 @Hunter_College @sanfordschram @CharlesPTien All star team
4,Fri Oct 23 14:10:04 +0000 2020,"@sum_research @Hunter_College @GC_CUNY @BenjaminHett The Jews are marked as the devil, and if you accuse the Jews, you will be regarded as a hero. Get honor and praise.
Today, China is marked as a troll, and if you attack China, you will be regarded as a hero. You will be honored and praised."
5,Fri Oct 23 14:00:14 +0000 2020,"@sum_research @BenjaminHett @Hunter_College @GC_CUNY The Nazis didn’t know they were Nazis,
Terrorists don’t know they are terrorists,
The communists did not know that they were murderers.
On the contrary, they all consider themselves heroes to save the world.
The American people also think they are heroes who save the world"
6,Fri Oct 23 13:57:35 +0000 2020,"@sum_research @BenjaminHett @Hunter_College @GC_CUNY Hitler portrayed the Jews as trolls, and he himself played the hero of saving Germany.
Mr. Trump portrays China as a troll, and he himself plays the hero of saving the world.
Therefore, Trump is Hitler, and the American people are Nazis."
7,Thu Oct 22 17:37:26 +0000 2020,"TUNE IN🔈tomorrow at 1:00 pm
Dr.Ming-Chin Yeh from @Hunter_College will present on #MixedMethods 

Zoom: 
Meeting ID- 966 5014 7050
Password - 244999"
8,Thu Oct 22 14:01:11 +0000 2020,@sum_research @GC_CUNY @Hunter_College IF THE WORLD HATES PUBLIC SCHOOLS WHY DO WE KEEP WINNINGGGGG
9,Thu Oct 22 12:11:42 +0000 2020,@cjchivers @kileybense @MattGallagher0 @Hunter_College @DoctorFaz Awesome. @DoctorFaz is great
10,Thu Oct 22 10:39:49 +0000 2020,"@kileybense @PhilKlay @MattGallagher0 @Hunter_College phil your book shelf is a good reminder that i need to buy FIDELIS by @DoctorFaz.  thank you. (MISSIONARIES arrived already; am almost done w my zag into quahog science, and then will read it.)"
11,Thu Oct 22 08:27:03 +0000 2020,"If you want to be a teacher, @NYCTF is extremely cool. You get a master's for around $12,000 from Great Nu York City schools like @PaceUniversity, @BklynCollege411, and @Hunter_College.

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
12,Thu Oct 22 02:57:47 +0000 2020,@bergren @schoolnurses Thanks @bergren! SCPs lay the foundation for supporting community and school health and lend themselves to a healthier future for youth! @Hunter_Nursing @BatesCollege @Hunter_College
13,Thu Oct 22 01:50:55 +0000 2020,@NeedBirds @MattGallagher0 @Hunter_College Thanks for the question. And hell yeah. Good luck with it.
14,Thu Oct 22 01:22:13 +0000 2020,@sum_research @EricAngelRamos @Hunter_College @GC_CUNY Great headline!
15,Thu Oct 22 01:08:27 +0000 2020,@NeedBirds @PhilKlay @Hunter_College Howl into that void!
16,Thu Oct 22 01:00:57 +0000 2020,"Thank you to @PhilKlay @MattGallagher0 and @Hunter_College for a great interview and Q&amp;A! And thank you for taking the time to answer my question. Gonna go back to my ""quiet desperation"" knowing that the writing is what matters."
17,Thu Oct 22 01:00:06 +0000 2020,"@HunterPresident @Hunter_College @Newsday Dear President Raab: Please accept my very-belated ""Thank You"" but I just now discovered your wonderful Tweet to the Hunter community acknowledging the passing of my parents. I know my brothers will join me in appreciation of your very special and most meaningful kindness! Peace"
18,Thu Oct 22 00:23:07 +0000 2020,@kileybense @MattGallagher0 @Hunter_College Thank you!
19,Wed Oct 21 10:05:42 +0000 2020,@ChrisFHerman @gardenschoolnyc @Muhlenberg @IthacaCollege @SCADdotedu @DukeU @Marist @Vassar @HWSColleges @Hunter_College @nyuniversity Thank you for visiting @IthacaCollege! We'd love to have Garden graduates start their career journey @ICParkSchool
20,Wed Oct 21 02:05:26 +0000 2020,I have not yet received my diploma from @Hunter_College I graduated on January 23rd in person on campus.The one thing I felt proud of doing.  I mailed a request in for it in July.  #SARSCoV2 ruined this for me too.
21,Wed Oct 21 01:54:32 +0000 2020,How is @Hunter_College in #nyc getting away with the #ENCOURAGEMENT of #Cheating . Is this what #COVID19 is? A way for students to cheat in school?
22,Wed Oct 21 01:52:23 +0000 2020,"@Hunter_College the level of #cheating is so #outofcontrol. Students are selling cheating on #WhatsApp, open there homework and textbooks during #midterms. If you want a degree and don't want to work. Go to Hunter. #cheating is encouraged"
23,Tue Oct 20 23:42:41 +0000 2020,@MattGallagher0 @Hunter_College @PhilKlay Gonna be at my fire hall for drill. Will there be a recording?
24,Tue Oct 20 18:15:49 +0000 2020,"What a parade of college visits @gardenschoolnyc Thanks @Muhlenberg @IthacaCollege @SCADdotedu @DukeU @Marist @Vassar @HWSColleges @Hunter_College &amp; @nyuniversity for spending time w/ our students &amp; major thanks Muhlenberg, NYU, &amp; Hunter for taking great care of Garden alum!"
25,Tue Oct 20 15:03:21 +0000 2020,@PSC_CUNY @Hunter_College We knew that going in to picketing. So why did @PSC_CUNY @NYSUT @AFTunion  settle rather than allowing the strike to commence? @RanknFileAction @MOREcaucusUFT @drloisweiner @sofyaaptekar @MullinCorinna @NahPriori  @cuny_free @aero_kleen  #NotOneMore #NoUnsafeReturn #RemoteForAll
26,Tue Oct 20 12:06:49 +0000 2020,@Hunter_College are there options to take graduate level classes fully online or remotely?
27,Mon Oct 19 19:49:43 +0000 2020,I graduated in May... @Hunter_College  where is my degree? 🧐
28,Mon Oct 19 18:05:23 +0000 2020,@Hunter_College @nationalbook @PhilKlay @MattGallagher0 Did y’all have to do it on dart league night?
29,Mon Oct 19 15:34:55 +0000 2020,RT @AmandaOcasio1: @QcUnite @HunterPresident @ChancellorCUNY @Hunter_College @CUNY @PSC_CUNY I’m very disappointed in your handling of #HCC…
30,Mon Oct 19 15:32:15 +0000 2020,"@QcUnite @HunterPresident @ChancellorCUNY @Hunter_College @CUNY @PSC_CUNY I’m very disappointed in your handling of #HCCSsafereturn , @HunterPresident . Like you, I’m also an alum.I honestly would’ve figured you would’ve had more of an interest in ensuring that students can SAFELY receive the same amazing education we both did. #NotUntilItsSafe"
31,Mon Oct 19 15:30:57 +0000 2020,@HunterPresident @ChancellorCUNY @Hunter_College @CUNY I want a Hunter mask!
32,Mon Oct 19 13:34:42 +0000 2020,@mlobelart @Hunter_College We not so different
33,Sun Oct 18 00:19:12 +0000 2020,@HunterPresident @Hunter_College @CityAndStateNY @Columbia Thank you so much President Raab! It is an absolute privilege to be an alumnus of Hunter College and its incredible urban planning program. Making this list during Hunter’s 150-year anniversary makes the accomplishment particularly special. #MihiCuraFuturi
34,Sat Oct 17 21:26:33 +0000 2020,RT @gamalielro: @GersonBorrero @Barrett_Reader @Hunter_College I pre-ordered mine today.
35,Sat Oct 17 21:12:09 +0000 2020,@GersonBorrero @Barrett_Reader @Hunter_College I pre-ordered mine today.
36,Sat Oct 17 20:13:17 +0000 2020,"@HunterPresident @Hunter_College @latimes @nationalbook Thank you, President Raab"
