,created_at,full_text
0,Fri Oct 23 01:37:48 +0000 2020,@rs5858 @HeartofaBengal @cameronsalerno1 @Leniespictures @EliteIqHoops @ncfinestgbb @sacskills @Folsomgirlsball @Folsom_High @IdahoStateU Thanks coach!! Miss you!
1,Fri Oct 23 01:37:32 +0000 2020,@smooth_4bs @HeartofaBengal @cameronsalerno1 @Leniespictures @EliteIqHoops @ncfinestgbb @sacskills @Folsomgirlsball @Folsom_High @IdahoStateU Thank you coach! I appreciate everything you have done for me!
2,Fri Oct 23 01:37:13 +0000 2020,@NanaJulie11 @HeartofaBengal @cameronsalerno1 @Leniespictures @EliteIqHoops @ncfinestgbb @sacskills @Folsomgirlsball @Folsom_High @IdahoStateU Thank you for the support❤️
3,Fri Oct 23 01:36:36 +0000 2020,@whitgirlsbball @HeartofaBengal @cameronsalerno1 @Leniespictures @EliteIqHoops @ncfinestgbb @sacskills @Folsomgirlsball @Folsom_High @IdahoStateU Thank you guys!!! I really appreciate it!
4,Fri Oct 23 01:36:16 +0000 2020,@EliteIqHoops @HeartofaBengal @cameronsalerno1 @Leniespictures @ncfinestgbb @sacskills @Folsomgirlsball @Folsom_High @IdahoStateU Thank you for everything coach!
5,Fri Oct 23 01:36:05 +0000 2020,@kaciedlrosa @HeartofaBengal @cameronsalerno1 @Leniespictures @EliteIqHoops @ncfinestgbb @sacskills @Folsomgirlsball @Folsom_High @IdahoStateU Thank you kacie 🖤!
6,Fri Oct 23 01:35:51 +0000 2020,@Kenzie4bs @HeartofaBengal @cameronsalerno1 @Leniespictures @EliteIqHoops @ncfinestgbb @sacskills @Folsomgirlsball @Folsom_High @IdahoStateU Thank you goat🖤
7,Fri Oct 23 01:35:40 +0000 2020,@jordynh_43 @HeartofaBengal @cameronsalerno1 @Leniespictures @EliteIqHoops @ncfinestgbb @sacskills @Folsomgirlsball @Folsom_High @IdahoStateU Thank you sis🖤🖤
8,Thu Oct 22 19:49:21 +0000 2020,Five students in the Nuclear Operations Technology program got the opportunity to visit the Chernobyl Nuclear Power Plant in Ukraine thanks to a scholarship they received by Idaho State University @IdahoStateU to receive additional nuclear operations training. These students are
9,Wed Oct 21 06:41:47 +0000 2020,RT @kari_FL: @maddow To all my Poky &amp; IF friends and family: please wear a mask and social distance. Dying alone in the cold winter of SE I…
10,Wed Oct 21 00:08:00 +0000 2020,@malligao @APSAtweets @ISUArtsLetters @IdahoStateU Congratulations!!
11,Tue Oct 20 23:59:02 +0000 2020,@malligao @APSAtweets @ISUArtsLetters @IdahoStateU Congrats @malligao!
12,Tue Oct 20 23:27:02 +0000 2020,@merylkenny @APSAtweets @ISUArtsLetters @IdahoStateU Clearly ...
13,Tue Oct 20 20:32:20 +0000 2020,@paisleyspecht @HeartofaBengal @cameronsalerno1 @Leniespictures @EliteIqHoops @ncfinestgbb @sacskills @Folsomgirlsball @Folsom_High @IdahoStateU Perfect 👌 Paisley ...they are lucky to have you ❤! So happy for you 💓 💗
14,Tue Oct 20 19:46:25 +0000 2020,@maddow To all my Poky &amp; IF friends and family: please wear a mask and social distance. Dying alone in the cold winter of SE Idaho is not how you want to leave the people who 💕 you. @IdahoStateJ @IdahoStateU
15,Tue Oct 20 18:21:52 +0000 2020,@malligao @APSAtweets @ISUArtsLetters @IdahoStateU Congratulations!! 🥳💙
16,Tue Oct 20 17:11:53 +0000 2020,@malligao @APSAtweets @ISUArtsLetters @IdahoStateU Congratulations companera on this very well deserved recognition!
17,Tue Oct 20 17:05:02 +0000 2020,"@malligao @APSAtweets @ISUArtsLetters @IdahoStateU Congrats!!! Cat is secretly excited, clearly!"
18,Tue Oct 20 17:00:23 +0000 2020,@malligao @APSAtweets @ISUArtsLetters @IdahoStateU Woohoo!! Congrats!!
19,Tue Oct 20 16:58:35 +0000 2020,@malligao @APSAtweets @ISUArtsLetters @IdahoStateU Go Malliga...
20,Tue Oct 20 16:56:04 +0000 2020,"@malligao @APSAtweets @ISUArtsLetters @IdahoStateU Whoop whoop whoop how great is this!? Congrats, so deserved."
21,Tue Oct 20 16:55:03 +0000 2020,@malligao @APSAtweets @ISUArtsLetters @IdahoStateU Awesome! Congrats!! 🎉
22,Tue Oct 20 16:54:05 +0000 2020,@malligao @APSAtweets @ISUArtsLetters @IdahoStateU Congrats Malliga! Well deserved!
23,Tue Oct 20 16:31:48 +0000 2020,@paisleyspecht @HeartofaBengal @cameronsalerno1 @Leniespictures @EliteIqHoops @ncfinestgbb @sacskills @Folsomgirlsball @Folsom_High @IdahoStateU Congratulations Paisley you’re a good kid
24,Tue Oct 20 03:57:09 +0000 2020,@paisleyspecht @HeartofaBengal @cameronsalerno1 @Leniespictures @EliteIqHoops @ncfinestgbb @sacskills @Folsomgirlsball @Folsom_High @IdahoStateU So happy and proud of you way to work hard Pais
25,Tue Oct 20 03:00:52 +0000 2020,@paisleyspecht @HeartofaBengal @cameronsalerno1 @Leniespictures @EliteIqHoops @ncfinestgbb @sacskills @Folsomgirlsball @Folsom_High @IdahoStateU Congrats girl proud of you❤️
26,Tue Oct 20 02:01:21 +0000 2020,@IdahoStateU 😂 this is the content we’re here for #Idaho #IdahoStateUniversity
27,Tue Oct 20 01:01:40 +0000 2020,@paisleyspecht @HeartofaBengal @cameronsalerno1 @Leniespictures @EliteIqHoops @ncfinestgbb @sacskills @Folsomgirlsball @Folsom_High @IdahoStateU Congrats Paisley! The Big Sky ain’t ready!! 💯
28,Tue Oct 20 00:55:34 +0000 2020,@paisleyspecht @HeartofaBengal @cameronsalerno1 @Leniespictures @EliteIqHoops @ncfinestgbb @sacskills @Folsomgirlsball @Folsom_High @IdahoStateU So proud of you!!!
29,Tue Oct 20 00:33:23 +0000 2020,@paisleyspecht @HeartofaBengal @cameronsalerno1 @Leniespictures @ncfinestgbb @sacskills @Folsomgirlsball @Folsom_High @IdahoStateU Well deserved kiddo! 🙏🏾🙏🏾🙏🏾
30,Tue Oct 20 00:28:15 +0000 2020,@paisleyspecht @HeartofaBengal @cameronsalerno1 @Leniespictures @EliteIqHoops @ncfinestgbb @sacskills @Folsomgirlsball @Folsom_High @IdahoStateU proud of you family !!! Congrats ❤️
31,Mon Oct 19 17:03:47 +0000 2020,#AnimalAbuser attends @IdahoStateU
32,Mon Oct 19 00:59:41 +0000 2020,"@SenatorRisch @IdahoStateU 🦠Risch you will Never
 be anything more than a #tRumpPuppet🦠"
33,Sun Oct 18 16:39:36 +0000 2020,"@SenatorRisch @IdahoStateU The destruction of the Iranian regime=Peace in the Middle East forever/The end of terrorism/US companies enter Iran/ Iran will ally with the United States/Freeing we Iranian people and Etc.For god's sake DESTROY THIS NAZI REGIME. FOR GOD'S SAKE SAVE US, FREE US. FOR GOD DO IT"
34,Sat Oct 17 22:19:19 +0000 2020,"@SenatorRisch @IdahoStateU Jimmy, Jimmy, Jimmy, when you gonna pull yer cranium outcha rectum?"
