,created_at,full_text
0,Mon Oct 26 15:52:37 +0000 2020,"RT @high_bel: @illinoistech is offering admitted students a merit scholarship of $25,000 a year so long as you apply on or before November…"
1,Mon Oct 26 14:02:15 +0000 2020,"@illinoistech is offering admitted students a merit scholarship of $25,000 a year so long as you apply on or before November 15, 2020. @bahsclass21 @myBAHS @SGAbahs @thebellarion"
2,Thu Oct 22 21:52:48 +0000 2020,"RT @FedSoc: In part one of @fedsocrtp's series on Data Portability, @peterswire, Liad Wagman (@illinoistech), @gabrielazanfir, and Svetlana…"
3,Thu Oct 22 14:26:58 +0000 2020,"@illinoistech The head coach pictured far left is Hal Davey. The other three are unknown but the members of the '42 team are:

🎾 Dick Hameister (Manager)
🎾 Earl Sherman
🎾 Mike Schultz (Captain)
🎾 Dick Larson
🎾 Jim Ferguson
🎾 Don Schiller
🎾 Jim Schoke
🎾 Joe Tomkin"
4,Thu Oct 22 14:20:17 +0000 2020,"@ILTechAthletics @illinoistech Any idea who the alumni are in this photo?  It would be interesting to know what they went on to do, with this being right at the start of WW2."
5,Wed Oct 21 19:27:31 +0000 2020,"RT @BlackPhysicists: #NuclearScienceWeek @nuclear94 

Q5: The MRCAT beamlines (run by @illinoistech) at @advancedphoton have been used to s…"
6,Wed Oct 21 17:31:29 +0000 2020,"Q11: While Chairing the Social Sciences Department at @illinoistech was one of those things that I never envisioned myself doing, it has led to a different way of thinking about things and that is valuable #NuclearScienceWeek"
7,Wed Oct 21 17:14:30 +0000 2020,"@BlackPhysicists @easyXAFS @illinoistech Indeed, that was a reactor that was decommissioned and demolished in the 1980s."
8,Wed Oct 21 17:09:57 +0000 2020,"@BlackPhysicists @easyXAFS @illinoistech I wish we had more of those capabilities at @illinoistech. Anyone who wants to fund a few of these instruments, give me a call. 😉"
9,Wed Oct 21 17:08:14 +0000 2020,@nuclear94 @easyXAFS That's awesome!  @illinoistech
10,Wed Oct 21 17:03:20 +0000 2020,"#NuclearScienceWeek @nuclear94 

Q6: You and your @illinoistech colleagues have installed an @easyXAFS machine.   What is XAFS and its utility in nuclear materials science?  

Will you be able to handle irradiated materials on campus?"
11,Wed Oct 21 16:58:45 +0000 2020,"A5: In general, at MRCAT and @illinoistech, we are willing to try to give any type of experiment a go. We have developed apparatus to safely study radioactive materials in a variety of environments. Contact us #NuclearScienceWeek"
12,Wed Oct 21 16:57:19 +0000 2020,"RT @BlackPhysicists: #NuclearScienceWeek @nuclear94 

Q5: The MRCAT beamlines (run by @illinoistech) at @advancedphoton have been used to s…"
13,Wed Oct 21 16:56:15 +0000 2020,"RT @BlackPhysicists: #NuclearScienceWeek @nuclear94 

Q5: The MRCAT beamlines (run by @illinoistech) at @advancedphoton have been used to s…"
14,Wed Oct 21 16:55:58 +0000 2020,"#NuclearScienceWeek @nuclear94 

Q5: The MRCAT beamlines (run by @illinoistech) at @advancedphoton have been used to study materials under irradiation, including TRISO fuels. 

Please tell us about that beamline and the experiments you and others have done there."
15,Wed Oct 21 16:31:21 +0000 2020,"+

@nuclear94 is a prof of #physics at @illinoistech in #Chicago, a city of interesting nuclear physics heritage.  

He’s a graduate of @Stanford and @UChicago. 

#NuclearScienceWeek"
16,Wed Oct 21 15:30:00 +0000 2020,Illinois Institute of Technology will be joining the CRC today Virtually on Google Meets from 11:30AM-12:00PM (GM Code: chan-crc) @illinoistech
17,Wed Oct 21 14:05:00 +0000 2020,ILLINOIS INSTITUTE OF TECHNOLOGY will be joining the CRC for a virtual visit TODAY from 10:45-11:15am. (GM Code: CHS-CRC) @illinoistech
18,Wed Oct 21 12:54:19 +0000 2020,"Here's this week's lineup for Virtual College Visits TODAY! (10/21)

10:00AM | @UofSC
10:45AM | @UISedu
11:30AM | @illinoistech
12:00PM | Army National Guard
12:30PM | @DePaulU
1:30PM | @OhioWesleyan
2:05PM | @elonuniversity
3:00PM | @UUtah"
19,Tue Oct 20 15:49:46 +0000 2020,"@revprez @illinoistech @nuclearsciweek Hopes and Dreams, baby. Hopes and Dreams."
20,Tue Oct 20 15:40:05 +0000 2020,"@nuclear94 @illinoistech @nuclearsciweek You do know that global warming could turn Lake Michigan into a year round paradise, right? So, just spitballing here...

Coal powered nuclear power temples to Holy Cow Flatulence."
21,Tue Oct 20 15:29:05 +0000 2020,RT @revprez: @nuclear94 @illinoistech Be a pioneer. Go forth and break ground on @illinoistech’s first Florida campus.
22,Tue Oct 20 14:58:51 +0000 2020,@nuclear94 @illinoistech Be a pioneer. Go forth and break ground on @illinoistech’s first Florida campus.
23,Tue Oct 20 14:57:12 +0000 2020,"RT @nuclear94: It was a cold, dark, and dreary day as our hero set off for the campus of @illinoistech"
24,Tue Oct 20 14:38:57 +0000 2020,"RT @nuclear94: It was a cold, dark, and dreary day as our hero set off for the campus of @illinoistech"
25,Tue Oct 20 14:29:14 +0000 2020,"It was a cold, dark, and dreary day as our hero set off for the campus of @illinoistech"
26,Mon Oct 19 14:03:58 +0000 2020,"Virtual college admission visits this week include,
TODAY:
@KenyonCollege 
@AmericanU 
@UofR 
@illinoistech 
@RegisCollege_MA 
@FollowStevens 

TUESDAY:
@JohnsHopkins 
@SaintAnselm 
@ClarkUniversity 

THURSDAY:
@USMAdmissions"
27,Sun Oct 18 23:39:49 +0000 2020,@test1dotpy @illinoistech @CUBoulder Godspeed
28,Sun Oct 18 22:42:48 +0000 2020,"RT @test1dotpy: @nuclear94 @illinoistech @CUBoulder We never truly leave. You can take the person out of IIT, but you can’t take the IIT ou…"
29,Sun Oct 18 22:42:34 +0000 2020,"@nuclear94 @illinoistech @CUBoulder We never truly leave. You can take the person out of IIT, but you can’t take the IIT out of the person. Plus, lots of important email still going to my IIT email especially with a paper in review"
30,Sun Oct 18 22:41:40 +0000 2020,@test1dotpy @illinoistech @CUBoulder Goodbye kid
31,Sun Oct 18 22:41:31 +0000 2020,RT @test1dotpy: Finally got around to switching my email account on the primary Mail app on my iPhone from my @illinoistech email to my @CU…
