,created_at,full_text
0,Sat Oct 24 23:27:01 +0000 2020,"@DumpOnTheUmp @NotreDame @IllinoisStateU I did have a lot of fun when they almost beat North Dakota State in....2013? 2014?

I mean Illini haven’t been worth caring bout for awhile 😅"
1,Sat Oct 24 23:22:05 +0000 2020,Black Colleagues Association @IllinoisStateU  just raised over 20k for scholarships! #RedbirdProud
2,Sat Oct 24 21:18:34 +0000 2020,"@MatthewWJ927 @NotreDame @IllinoisStateU ISU is fun to root for! 

I also live in Champaign and went to UIUC for grad school, but I don’t care about the Illini."
3,Sat Oct 24 20:56:27 +0000 2020,"@DumpOnTheUmp @NotreDame Yeah, no other ties to South Bend but I don’t mind making my dad mad.

I went to @IllinoisStateU So football....happens 🤷🏻‍♂️"
4,Sat Oct 24 17:57:21 +0000 2020,"@goldcutta @IllinoisStateU Ha, ha -- this is a great group."
5,Sat Oct 24 11:34:47 +0000 2020,"Happy homecoming @IllinoisStateU and #RedbirdTwitter. 

What I wouldn’t give to be waking up to go to Uptown Normal to watch a parade right about now and cheer on @RedbirdFB to a victory."
6,Fri Oct 23 16:26:19 +0000 2020,"RT @BrianA_ISU: I don’t know who needs to hear this, but if you’re an @IllinoisStateU student and need help making a plan to vote, send me…"
7,Fri Oct 23 01:53:51 +0000 2020,"I don’t know who needs to hear this, but if you’re an @IllinoisStateU student and need help making a plan to vote, send me a DM.

You HAVE to make your voice count in this election. #Vote2020"
8,Fri Oct 23 01:16:19 +0000 2020,"@IllinoisStateU I see you, @KyleCiani!"
9,Thu Oct 22 20:57:45 +0000 2020,"RT @ISUMilnerLib: If you were unable to join Dr. Noble's session in real time and are a current @IllinoisStateU student, faculty, or staff…"
10,Thu Oct 22 14:40:41 +0000 2020,"If you were unable to join Dr. Noble's session in real time and are a current @IllinoisStateU student, faculty, or staff member, please email Director of Communications Erin Link ellink@IllinoisState.edu for access to the event recording."
11,Thu Oct 22 00:13:23 +0000 2020,RT @MQniverse: @cjtruth @ingrahmangle @LaRaeBeathard @ISURedbirds @IllinoisStateU @Spaceshot76 Thanks to you @cjtruth!!! You and @Spaceshot…
12,Thu Oct 22 00:13:13 +0000 2020,RT @cjtruth: @MQniverse @ingrahmangle @LaRaeBeathard @ISURedbirds @IllinoisStateU @Spaceshot76 Nice! Glad this story is getting out.
13,Wed Oct 21 23:56:49 +0000 2020,RT @MQniverse: @cjtruth @ingrahmangle @LaRaeBeathard @ISURedbirds @IllinoisStateU @Spaceshot76 Thanks to you @cjtruth!!! You and @Spaceshot…
14,Wed Oct 21 23:56:46 +0000 2020,RT @cjtruth: @MQniverse @ingrahmangle @LaRaeBeathard @ISURedbirds @IllinoisStateU @Spaceshot76 Nice! Glad this story is getting out.
15,Wed Oct 21 20:29:44 +0000 2020,"RT @TransferRedbird: In honor of #NTSW2020, we'd like to spotlight some of the Transfer Champions across @IllinoisStateU's campus. These in…"
16,Wed Oct 21 19:42:33 +0000 2020,@LevesterJohnson @IllinoisStateU Love this!
17,Wed Oct 21 18:40:47 +0000 2020,@WarJessEagle @SMU_Football Lots of @IllinoisStateU influence down there right now! Proud of folks coming out of my alma mater going to work for my former employer. I like to think I started the trend of leaving ISU for SMU. 😂
18,Wed Oct 21 18:29:54 +0000 2020,"RT @TransferRedbird: In honor of #NTSW2020, we'd like to spotlight some of the Transfer Champions across @IllinoisStateU's campus. These in…"
19,Wed Oct 21 17:23:19 +0000 2020,"@teachstrauch @IllinoisStateU @shochstetler Hey Mallory! Ty for joining, make sure to follow @teachstrauch for the evening Qs! #NDOWTeachChat"
20,Wed Oct 21 17:16:57 +0000 2020,"@LowtherTeaches Hey, all! I'm Mallory Strauch and I'm a pre-service 5th-12th ELA teacher at @IllinoisStateU, with TESOL &amp; WGSS minors. I'm one of @shochstetler's ENG 297 students, so you'll see more of me today! And I celebrated NDOW by taking part in the #NDOWUnmask chat! #NDOWTeachChat"
21,Wed Oct 21 16:45:50 +0000 2020,"@Chancellor_Juan @chicagosmayor @ChiPubSchools @IllinoisStateU @ChiCityColleges I'd like to know why it is that I have 1 credit left to graduate and I cannot get in touch with anyone at Wright College to help me register, etc. I have been trying for months and to no avail. There is no help in CCC schools."
22,Wed Oct 21 16:27:06 +0000 2020,"@IllinoisStateU Way to go ArtBirds! You encourage us with your determination to Create your Legacy with Your Career, despite the pandemic! #HireARedbird"
23,Wed Oct 21 15:40:16 +0000 2020,"RT @TransferRedbird: In honor of #NTSW2020, we'd like to spotlight some of the Transfer Champions across @IllinoisStateU's campus. These in…"
24,Wed Oct 21 14:58:02 +0000 2020,"In honor of #NTSW2020, we'd like to spotlight some of the Transfer Champions across @IllinoisStateU's campus. These individuals continue to support and advocate for each #TransferRedbird who joins the #RedbirdFamily. 

#ThrivingThroughTransfer

Check out our thread below 👇"
25,Wed Oct 21 13:47:06 +0000 2020,@EWoodhouse7 @sms42_ @MorningAnswer @IllinoisStateU @Illinois_Alma Clicking “ignore this warning and continue” takes you to the “invalid URL”. Twitter wins again. Can you screenshot?
26,Wed Oct 21 12:37:06 +0000 2020,"@EWoodhouse7 @MorningAnswer @IllinoisStateU @Illinois_Alma 🚨Attention @TomFitton, @Project_Veritas. Illinois needs your assistance with this one. 🚨"
27,Wed Oct 21 04:05:50 +0000 2020,"@WGLTNews @IllinoisStateU Yeah, sure. It worked great in the fall..."
28,Tue Oct 20 21:09:24 +0000 2020,@IllinoisStateU Internet down. Status update?
29,Tue Oct 20 20:03:17 +0000 2020,RT @xxBabyCakesssxx: I hope @IllinoisStateU does not cancel spring break . Spring semester is the longest semester and that’s the only brea…
30,Tue Oct 20 19:34:47 +0000 2020,RT @xxBabyCakesssxx: I hope @IllinoisStateU does not cancel spring break . Spring semester is the longest semester and that’s the only brea…
31,Tue Oct 20 19:31:44 +0000 2020,I hope @IllinoisStateU does not cancel spring break . Spring semester is the longest semester and that’s the only break we get . Students really do need that time to just decompress . I hope y’all are actually considering how this is going to effect students 🙄
32,Tue Oct 20 17:25:35 +0000 2020,RT @Kognito: .@IllinoisStateU is one of the many colleges and universities across the country turning to Kognito to support student mental…
33,Tue Oct 20 17:12:27 +0000 2020,".@IllinoisStateU is one of the many colleges and universities across the country turning to Kognito to support student mental health. 

Our Co-Founder and Director of Research Dr. Glenn Albright recently spoke with @fox32news about how the simulation can help make an impact:"
34,Tue Oct 20 17:08:14 +0000 2020,"@NDOWUnmask Hi, I’m Mallory Strauch, and I’m a pre-service (5th-12th) ELA teacher at @IllinoisStateU, with TESOL and WGSS minors. In the future, I plan to celebrate NDOW with my Ss by sharing the types of writing they find most comfort in &amp; exploring new genres of interest! #NDOWUNMASK"
35,Tue Oct 20 15:57:40 +0000 2020,"@NDOWUnmask Hi! I’m Raquel Armas and I’m a pre service ELA teacher at @IllinoisStateU . If I were teaching right now, I would explore writing today by having open ended journal prompts where my students could choose what they write about while also having the opportunity to share around (:"
36,Tue Oct 20 14:55:23 +0000 2020,"If you are not able to join us tomorrow in real time, a post-event recording will be available for members of the @IllinoisStateU community to access through the end of the fall semseter. For more information, email ellink@IllinoisState.edu."
37,Tue Oct 20 12:40:01 +0000 2020,"@N8Carp @IllinoisStateU @ISUSOC Based on the news story, it sounds like it!! Cool stuff, Nate!"
38,Tue Oct 20 02:53:28 +0000 2020,@DillonM_ISU @IllinoisStateU @ISUSOC You'd be amazed at how much has changed in terms of project ideas and data analytics capabilities!
39,Tue Oct 20 02:46:40 +0000 2020,@DillonM_ISU @IllinoisStateU @ISUSOC You rock @DillonM_ISU!
40,Mon Oct 19 17:00:55 +0000 2020,"RT @IllinoisStateU: Pick up a copy of the #RedbirdImpact on campus at the Alumni Center, Bone Student Center, Hovey Hall, or @ilstucommenga…"
41,Mon Oct 19 15:26:20 +0000 2020,"@goldcutta @universityofky @IllinoisStateU Wonderful. Thanks, Jenna!"
42,Mon Oct 19 15:25:01 +0000 2020,"@carsonvaughan @universityofky has the University Arboretum, and @IllinoisStateU has an arboretum called ""The Quad."""
43,Mon Oct 19 14:46:51 +0000 2020,"RT @IllinoisStateU: Pick up a copy of the #RedbirdImpact on campus at the Alumni Center, Bone Student Center, Hovey Hall, or @ilstucommenga…"
44,Mon Oct 19 14:36:48 +0000 2020,"Pick up a copy of the #RedbirdImpact on campus at the Alumni Center, Bone Student Center, Hovey Hall, or @ilstucommengage."
45,Mon Oct 19 13:11:12 +0000 2020,"RT @martilynnwilki: @RodneyDavis @NormalILL @IllinoisStateU @McLeanHealth As a graduate of ISU, it does not escape me that your kids go to…"
46,Mon Oct 19 13:07:08 +0000 2020,"RT @martilynnwilki: @RodneyDavis @NormalILL @IllinoisStateU @McLeanHealth As a graduate of ISU, it does not escape me that your kids go to…"
47,Mon Oct 19 01:09:46 +0000 2020,The 13th Congressional District Debate @IllinoisStateU was good. I appreciate how each candidate showed respect. Check it out!
48,Mon Oct 19 00:49:14 +0000 2020,"@RodneyDavis @NormalILL @IllinoisStateU @McLeanHealth As a graduate of ISU, it does not escape me that your kids go to school there. Makes me wonder just how concerned you are about the other communities you claim to represent. You were seen not wearing a mask before you were diagnosed with COVID-19. Not unlike Typhoid Trump."
49,Sun Oct 18 00:18:51 +0000 2020,RT @IBAtweets: IBA was created in 2014 by @IllinoisStateU to address diminishing resources among higher education. State-recognized as the…
50,Sun Oct 18 00:18:40 +0000 2020,RT @IBAtweets: IBA was created in 2014 by @IllinoisStateU to address diminishing resources among higher education. State-recognized as the…
