,created_at,full_text
0,Mon Oct 26 17:57:21 +0000 2020,"The @IndianaGrads have released a telling report detailing the funding status of graduate workers. 

Did you know our county says the cost of living at $24,731/year &amp; yet the most typical salary in the College is $13,580 after fees? @IUBloomington  #TheUniversityWorksBecauseWeDo"
1,Mon Oct 26 17:57:18 +0000 2020,"RT @ColorMeBlack: What a great day to be a Hoosier! Where my voice doesn’t matter, my complaints are silenced, and my safety doesn’t exist!…"
2,Mon Oct 26 17:32:40 +0000 2020,"What a great day to be a Hoosier! Where my voice doesn’t matter, my complaints are silenced, and my safety doesn’t exist! @IUBloomington"
3,Mon Oct 26 17:25:28 +0000 2020,@diogeron @IUBloomington @IUHoosiers We don't have a democracy!!
4,Mon Oct 26 17:02:31 +0000 2020,@IUBloomington has no diversity in their staff at the health center but SWEAR they care about their BIPOC students. That's so laughable yet concerning.
5,Mon Oct 26 16:39:11 +0000 2020,"@caroIineanders @AstroTsukino @emilyisaacman @IUBloomington WTF?!?
You need to fire Prof Murray McGibbon.
He is a serial predator and you are all complicit in his crimes."
6,Mon Oct 26 16:27:06 +0000 2020,"@IUBloomington Vote Big ""Red"""
7,Mon Oct 26 15:20:05 +0000 2020,@MisslerJack @IUBloomington You may want to clear a bigger space under the bed in your basement though just to give yourself a little more room -
8,Mon Oct 26 15:18:17 +0000 2020,@MisslerJack @IUBloomington Going to assume none ...
9,Mon Oct 26 15:09:05 +0000 2020,@commonsense258 @Ackerman1120 @IUBloomington So were his acts of lunacy and being an asshole
10,Mon Oct 26 15:00:58 +0000 2020,@matt_dollinger @idsnews @IUBloomington Thanks so much for reading and sharing!!
11,Mon Oct 26 14:58:20 +0000 2020,"@IUBloomington just again and again and again shows that they don’t care about student safety, and they won’t stop, even for murder and sexual violence"
12,Mon Oct 26 14:20:52 +0000 2020,"@IUBloomington when you care more about covering your ass and giving harassers a million extra chances to ""do the right thing"" you sacrifice your students' safety, wellbeing, health. Institutional betrayal exacerbates trauma from sexual harassment. You are making it *worse*."
13,Mon Oct 26 14:08:53 +0000 2020,"@IUBloomington What is the point of Title IX and having investigations if you can literally find evidence that a professor sexually harasses multiple students and administration shrugs and continues to give them access to more students??

STOP PROTECTING HARASSERS"
14,Mon Oct 26 13:19:56 +0000 2020,@ResslLab @SciReports @wensy1101 @IUBloomington @IUBMCB Congrats!
15,Mon Oct 26 12:17:21 +0000 2020,@IUHoosiers @IndianaFootball @IUBloomington @IUAA @IUCrimsonGuard Awesome win on Sat.
16,Mon Oct 26 06:49:42 +0000 2020,"@AndrewSmithNews @IUBloomington @wrtv Andrew there has to be more to this story. In one article the friends reported that they were shot at. (42 Eldert St. BK) News says ""stray bullet"" despite there being more than 5 shots in their direction. Its a tough neighborhood with a lot of crime, but still, something is off."
17,Mon Oct 26 03:37:28 +0000 2020,@KellyRobNews @IUBloomington OMG .. sorry he's there.  He is quite cute 🥰🥰
18,Mon Oct 26 02:31:45 +0000 2020,@liv_it_up_01 @IUBloomington are you living in a dorm? cause that makes sense! but some of my friends who live off campus like me getting all these tests... i’m jealous LMAO
19,Mon Oct 26 02:07:54 +0000 2020,@malihaz_31 @IUBloomington I’ve been selected every week wtf
20,Mon Oct 26 01:46:55 +0000 2020,"@sagesteele @IndianaMBB Don't forget about @_crzylucy_ your friend and server @NicksEnglishHut She shares a birthday with The General!
@tombrewsports @IUJGray @mcuban @IUBloomington"
21,Mon Oct 26 01:31:50 +0000 2020,@Ackerman1120 @IUBloomington Dude....that is EXCELLENT. Good stuff! I wanna hear the story over a cold Coors Light (I switched) LOL.
22,Mon Oct 26 01:29:41 +0000 2020,"@IUBloomington no, you need us. meanwhile, stop digitizing everything in order to make it quantifiable, connecting it to an ID, and tracing, tracking, and surveilling your students. this has to stop, and colleges should lead the way in stopping, not pioneering, infinite surveillance"
23,Mon Oct 26 01:20:22 +0000 2020,@brooklynnwit2ns @IUBloomington wow. that’s wild.
24,Mon Oct 26 01:19:10 +0000 2020,@malihaz_31 @IUBloomington I’ve been selected for like 6 times
25,Mon Oct 26 00:59:46 +0000 2020,lol @IUBloomington why haven’t i been mitigation tested yet? my best friend has been tested four (4) times. why are y’all testing the SAME students over and over again?
26,Mon Oct 26 00:38:28 +0000 2020,"@SELENADRAKEEE @IndianaFootball @IUBloomington Can you show the ball breaking the plane?

No.

So, then...? Not in."
27,Mon Oct 26 00:04:35 +0000 2020,@Ackerman1120 @IUBloomington His acts of kindness were legendary and usually private.
28,Sun Oct 25 23:58:51 +0000 2020,@IUBloomington Thank you!!! We LOVE our walks on campus!!!
29,Sun Oct 25 23:51:19 +0000 2020,@Ackerman1120 @IUBloomington Thanks. Did not know that story!
30,Sun Oct 25 23:41:23 +0000 2020,"@IUBloomington @mariahnti I love pancakes and while I never thought I would say this, I miss B-town."
31,Sun Oct 25 23:36:29 +0000 2020,"@BradleyWhitford ' Rollins Bogart '

Rollins House
@WrightQuadIU 
@IUBloomington 

Bogart
No need to ask.
1952
African Queen

Imagine a world
with no Google. 

Sorry DOJ. 

I use @Google"
32,Sun Oct 25 22:31:51 +0000 2020,@IUHoosiers @IndianaFootball @IUBloomington @IUAA @IUCrimsonGuard I want ......xs
33,Sun Oct 25 21:57:30 +0000 2020,@umee_yousaf @IUBloomington He’s there!
34,Sun Oct 25 21:44:29 +0000 2020,@IUHoosiers @IUBloomington @VisitBtown I was there . It is so beautiful
35,Sun Oct 25 19:26:45 +0000 2020,@jennypnolan @llenhcS_ymmaS @IUBloomington @IUBarstool @IUHoosiers @TheMopLady @IndianaFootball I had Coach Mallory tell me the same story himself!  I was so fortunate to become good friends with him and Ellie.  Great man and Coach.
36,Sun Oct 25 19:23:46 +0000 2020,"@hoosierlee42 @llenhcS_ymmaS @IUBloomington @IUBarstool @IUHoosiers @TheMopLady @IndianaFootball Mallory was not pleased when Dave raised his hands to the OSU student section to be louder. 😂 But loved that Dave came to him at end of game, pointing a finger at him saying, “now THAT’s what you call poise, Coach!”😄 As told by Coach Mallory at Dave’s funeral. 💕"
37,Sun Oct 25 19:01:13 +0000 2020,@PhillipHoosier @IUBloomington @IUPD_Btown how is this acceptable?!
38,Sun Oct 25 18:49:30 +0000 2020,@shake__milton @IndianaFootball @IUBloomington He definitely did. Go back and rewatch it 100 more times
39,Sun Oct 25 18:49:15 +0000 2020,@CalabrinR @IndianaFootball @IUBloomington In. Next
40,Sun Oct 25 18:41:44 +0000 2020,@IUBloomington @TEastNBA WI I think I wanna
41,Sun Oct 25 18:24:59 +0000 2020,@protest_nyc RT @errollouis @GloriaPazmino @AnnaESanders @MiamiHerald @OhioStateFB @IUBloomington New York not ghost town worse violence increases
42,Sun Oct 25 18:16:52 +0000 2020,"@IUFoundation @IUBloomington Hoosiers are just fine “as is”.  Don’t need a mascot that snow flake is going to decide is racist, etc. 20-years from now"
43,Sun Oct 25 18:01:40 +0000 2020,RT @DOMO4x: how do i accept my funds when the attachment is not in the email? @IUBloomington
44,Sun Oct 25 17:54:04 +0000 2020,RT @DOMO4x: how do i accept my funds when the attachment is not in the email? @IUBloomington
45,Sun Oct 25 17:46:53 +0000 2020,@IUHoosiers @IndianaFootball @IUAA @IUBloomington @IndianaUniv Texas
46,Sun Oct 25 17:32:50 +0000 2020,"@llenhcS_ymmaS @IUBloomington @IUBarstool @IUHoosiers @TheMopLady @IndianaFootball Sammy, I was there to watch that game.  Loved when your father turned to the student section and asked them to get louder.  IU thumped them, no question.  OSU fans left at the end of the 3rd quarter.  Coach Mallory loved Dave and his poise.😀👍🏈"
47,Sun Oct 25 17:30:59 +0000 2020,@IUHoosiers @samschulz9 @IndianaFootball @IUBloomington @IUAA @IUCrimsonGuard Get @samschulz9 a T-Shirt!!! My man could use a boost from IU!
48,Sun Oct 25 16:56:52 +0000 2020,@KellyRobNews @IUBloomington Custard is missing
49,Sun Oct 25 15:51:54 +0000 2020,@IndianaFootball @IUBloomington @SuperstarWhop @themikepenix SO awesome to be in B-town for the big win last night! What a game! 🙌
50,Sun Oct 25 15:51:37 +0000 2020,"@ctsbulls @IUBloomington The player that said ""you are the man leading us"" is the reason why we coach. What an awesome moment."
51,Sun Oct 25 15:42:29 +0000 2020,@IUHoosiers @tracyallen300 @IndianaFootball @IUAA @IUBloomington @IndianaUniv O ya baby .. watched every down ! 🏈 what a range of emotion that was ❤️ Loved it
