,created_at,full_text
0,Mon Oct 26 18:07:43 +0000 2020,Love analogy of salt and pepper and social justice by Divya Bheda during @IUPUI assessment institute. Something for higher ed institutions to think about and not be reactive to social justice issues.
1,Mon Oct 26 17:49:35 +0000 2020,Attending the virtual 2020 @IUPUI Assessment Conference.  Seeing many former colleagues from @IUPUI and @IndianaUniv as presenters.
2,Mon Oct 26 16:50:09 +0000 2020,"RT @WeaveEducation: What an 👏AMAZING👏 plenary session @Assessment_Inst! Thank you @gccazpres and to all of the panelists @njankow, @Fulcher…"
3,Mon Oct 26 16:41:28 +0000 2020,"RT @WeaveEducation: What an 👏AMAZING👏 plenary session @Assessment_Inst! Thank you @gccazpres and to all of the panelists @njankow, @Fulcher…"
4,Mon Oct 26 16:41:22 +0000 2020,RT @NILOA_web: @Assessment_Inst plenary session is about to kick off with the President of @gccaz and panelists @njankow @FulcherKeston @HB…
5,Mon Oct 26 16:35:39 +0000 2020,"What an 👏AMAZING👏 plenary session @Assessment_Inst! Thank you @gccazpres and to all of the panelists @njankow, @FulcherKeston, @HBCU_CEEQA, @gmladyv, and @Jillian_Kinzie, with @IUPUI Stephen Hundley for the insightful words and motivating start to the 2020 #AssessmentInstitute."
6,Mon Oct 26 16:26:02 +0000 2020,@IUPUI I need one of these pins!! #iupuialum
7,Mon Oct 26 15:44:41 +0000 2020,"@FulcherKeston challenged #SAPros to look at ""equity in outcomes AND equity related outcomes"" @IUPUI Assessment Institute today."
8,Mon Oct 26 15:35:11 +0000 2020,"Opening plenary @IUPUI #AssessmentInstitute. Teresa Leyba Ruiz, President of @gccaz, affirms that ""Assessment is not about compliance. Assessment is about a commitment to student learning. It is a commitment to our students."" #AssessmentForLearning"
9,Mon Oct 26 15:15:38 +0000 2020,@IUPUIEdLawProf @IUPUI @IUPUISchoolOfEd That's awesome @IUPUIEdLawProf 🙌
10,Mon Oct 26 15:09:44 +0000 2020,"The @IUPUI Assessment Institute has 10,000 attendees, and I'm just thinking about the goal I had a couple weeks ago to have 10 students attend my event. #iupui #assessment #2020assessmentinstitute"
11,Mon Oct 26 15:00:06 +0000 2020,@paydar @IUPUI @ENGAGEIUPUI If you don't know what the 10th amendment says you shouldn't be voting.
12,Mon Oct 26 14:29:50 +0000 2020,@Assessment_Inst plenary session is about to kick off with the President of @gccaz and panelists @njankow @FulcherKeston @HBCU_CEEQA @gmladyv  @Jillian_Kinzie with @IUPUI Stephen Hundley. Join us for this year's virtual #AssessmentInstitute
13,Mon Oct 26 03:49:55 +0000 2020,"@IUPUI should offer massage services for sore necks, hands, and backs due to long hours on laptops/reading. Can I get a yeehaw? #j360"
14,Mon Oct 26 00:01:55 +0000 2020,"@rebahamon @ENGAGEIUPUI @IUPUI I'd call that time well spent, @rebahamon."
15,Sat Oct 24 23:10:58 +0000 2020,@IUPUI no more stopping the clock!  #BeatPennState
16,Sat Oct 24 18:14:05 +0000 2020,"@rebahamon @IUPUI @IUPUISHHS Founding Dean stands in line today for over three hours to #VoteEarly. He’s amazing and I absolutely love working for him. Dr. Bahamonde, when you’re done let us know how long it actually took."
17,Sat Oct 24 04:37:13 +0000 2020,"@IUPUI @IUPUIJagsCheer I graduated in 2013. Did we have them then? If not, I am getting old."
18,Fri Oct 23 22:26:14 +0000 2020,@IUPUI @IUPUIJagsCheer New style with masks😂✌️🏼. Is there a soccer league that’s going to take place this semester?
19,Fri Oct 23 19:01:43 +0000 2020,@blevinsa @ICANdogs @IUPUI What a sweet pup.
20,Fri Oct 23 18:47:17 +0000 2020,@IUPUI @IUPUIJagsCheer Since when do we have cheerleaders?
21,Fri Oct 23 18:46:04 +0000 2020,@hvonderheit @paydar @ICANdogs @IUPUI He looks so soft😍
22,Fri Oct 23 18:33:58 +0000 2020,@HannahC_MLIS @paydar @ICANdogs @IUPUI What a perfect wink.
23,Fri Oct 23 18:18:14 +0000 2020,Are you attending the 2020 Assessment Institute hosted virtually by @IUPUI?
24,Fri Oct 23 17:23:30 +0000 2020,@jessicagldavis @ICANdogs @IUPUI Beautiful photo!
25,Fri Oct 23 15:04:55 +0000 2020,@IUPUI @IUPUIJagsCheer Love this! You all rock 🙌
26,Fri Oct 23 07:34:59 +0000 2020,@JacobLovrinic @IUPUI @Minecraft @IUBloomington @IUPUInformatics I will play
27,Thu Oct 22 21:31:03 +0000 2020,@hvonderheit @ICANdogs @IUPUI What a happy guy!
28,Thu Oct 22 18:23:50 +0000 2020,@paydar @IUPUI @IUPUILibrary @libartsiupui @KelleyIndy @ONeill_Indy @IUPUI_EngrTech @IUPUIScience @HerronSchool Simply beautiful!🍂🍁
29,Thu Oct 22 16:56:00 +0000 2020,@IUPUI This is very pleasant to look at. 👏
30,Thu Oct 22 16:48:37 +0000 2020,@IUPUI Loving these palettes. Did a designer takeover the IUPUI twitter account? 🤔
31,Thu Oct 22 15:34:44 +0000 2020,RT @DiveProfTodd: @InnovateIndiana @diagnotes @KelleyIndy @IUVentures @IUPUI Very fortunate to get connected to @bharathbynagari and @dave_…
32,Thu Oct 22 11:42:17 +0000 2020,RT @DiveProfTodd: @InnovateIndiana @diagnotes @KelleyIndy @IUVentures @IUPUI Very fortunate to get connected to @bharathbynagari and @dave_…
33,Thu Oct 22 03:01:26 +0000 2020,@JSaundyy_23 @AaronGilani @IUPUI @PrescribeitFwd @IUMedSchool @JeromeAdamsMD Congrats!
34,Thu Oct 22 02:13:00 +0000 2020,"@InnovateIndiana @diagnotes @KelleyIndy @IUVentures @IUPUI Very fortunate to get connected to @bharathbynagari and @dave_wortman early in the @diagnotes journey. A great learning experience for my teaching and research, and doing good things for @healthcare professionals"
35,Wed Oct 21 14:12:42 +0000 2020,"I told 🚨 MORON General Counsel Tom Gannon 🚨@IUBloomington @IUPUI Pathological liar @TuftsDental Kasberg falsified my transcript &amp; he said,send me paperwork

Lazy Incompetent Idiot, I’m not ur secretary. &amp; it’s completely OBV
@tuftsuniversity #AcademicTwitter #phdchat @idsnews"
36,Wed Oct 21 05:34:38 +0000 2020,@IUPUI beautiful！
37,Wed Oct 21 02:31:51 +0000 2020,@NikiMessmore @IUPUI Thank you for sharing!
38,Wed Oct 21 00:37:40 +0000 2020,@NikiMessmore @IUPUI Beautiful!
39,Tue Oct 20 23:42:15 +0000 2020,@IUPUI deciding to not have Labor Day off &amp; Fall break this semester is literally taking the biggest toll on my mental health and grades this semester. I wanna know who thought this was a good idea 🥴
40,Tue Oct 20 17:53:00 +0000 2020,RT @hadleyssmith: Going on now! Live Q&amp;A #SMDM20: How many experts can you fit in a decision aid?: The challenges of diverse contributors i…
41,Tue Oct 20 17:38:42 +0000 2020,"Going on now! Live Q&amp;A #SMDM20: How many experts can you fit in a decision aid?: The challenges of diverse contributors in a decision-making tool w/ Janet Panoch @IUPUI, @angiefagerlin, @shaffer_va, Peter Anderson @ClevelandClinic, Kurt Weiss @PittTweet"
42,Tue Oct 20 16:42:15 +0000 2020,"RT @domjacri: At #SACNAS2020??? 

We have some awesome talks lined up by my fellow PhD students here at @IUMedSchool &amp; @IUPUI!

A little 🧵o…"
43,Tue Oct 20 16:11:59 +0000 2020,@IUPUI Working a full time job through all of covid and being a full time college student and still getting all As
44,Tue Oct 20 15:41:05 +0000 2020,@IUPUI I miss campus so much 😭 lovely photos
45,Tue Oct 20 15:10:10 +0000 2020,"At #SACNAS2020??? 

We have some awesome talks lined up by my fellow PhD students here at @IUMedSchool &amp; @IUPUI!

A little 🧵of some awesome people:"
46,Tue Oct 20 14:15:23 +0000 2020,@nohhsara @IUPUI they’re trying their hardest😭😭
47,Tue Oct 20 10:58:16 +0000 2020,@IUPUI is 🗑 trash.. all these empty parking garages and they expect construction workers $14 a day for parking...
48,Tue Oct 20 05:52:35 +0000 2020,@IUPUI Taking on my senior year online 🙃
49,Tue Oct 20 03:33:13 +0000 2020,@IUPUI Surviving Covid and not failing my classes in the process.
50,Tue Oct 20 00:40:03 +0000 2020,RT @IUPUI: What's something you're particularly proud of accomplishing this semester?
51,Mon Oct 19 23:51:37 +0000 2020,@IUPUI having a baby in september and having As and Bs in my classes
52,Mon Oct 19 21:19:12 +0000 2020,@nohhsara @IUPUI IM WHEEZING
53,Mon Oct 19 21:07:31 +0000 2020,@IUPUI Downloaded! Thanks Bekah!
54,Mon Oct 19 20:34:32 +0000 2020,@IUPUI That doesnt look like regulation IU crimson
55,Mon Oct 19 19:59:17 +0000 2020,@aeryn_darnell @IUPUI We love Bekah from Rivendale!
56,Mon Oct 19 19:12:00 +0000 2020,@IUPUI Getting a full-time job because I graduated last semester
57,Mon Oct 19 18:47:18 +0000 2020,@IUPUI Providing the members of @SMC_IUPUI with opportunities via our Virtual Speaker Series since other ways of gaining experience isn’t available right now
58,Mon Oct 19 18:01:03 +0000 2020,@IUPUI I'm surviving! It's going to be a rougher winter. If you know anyone with a rigorously tested vaccine against SARS-CoV-2 sling me a message. (;
59,Mon Oct 19 17:54:02 +0000 2020,@IUPUI Taking more time for self-care and actively reflecting about what I can and cannot control. I feel like I am making good strides.
60,Mon Oct 19 17:36:23 +0000 2020,@IUPUI Remaining acceptably functional. ☣
61,Mon Oct 19 17:21:41 +0000 2020,RT @IUPUI: What's something you're particularly proud of accomplishing this semester?
62,Mon Oct 19 14:16:45 +0000 2020,"@IUPUI If you don't know what the 10th amendment says, don't vote.  Educate yourself first."
63,Sun Oct 18 18:11:18 +0000 2020,@PrudencePeng @TCMIndy @IUPUI good
