,created_at,full_text
0,Mon Oct 26 08:19:27 +0000 2020,@IowaStateU @isualum @ISU_CoB Joni Ernst is a racist
1,Sat Oct 24 23:07:57 +0000 2020,Can’t help but get annoyed @CoachGundy for not putting these guys away by going for it on 4th and short..... allowing @IowaStateU to get back in to this.
2,Sat Oct 24 22:24:55 +0000 2020,@drbillyjbeck @IowaStateU @ben_a_goldfarb do you know anyone that may be interested in this opportunity?
3,Sat Oct 24 22:18:56 +0000 2020,The announcers lost power in the @okstate @IowaStateU game. We need more announcer-less football
4,Sat Oct 24 21:05:32 +0000 2020,@IowaStateU get a new kicker dawg
5,Sat Oct 24 21:05:25 +0000 2020,I feel your pain @IowaStateU.......the Doink
6,Sat Oct 24 20:59:29 +0000 2020,Lots of @NFL draft prospects to watch for @Giants fans during today’s @NCAAFootball games @AlabamaFTBL WRs Jaylen Waddle &amp; DeVonte Smith plus CB Patrick Surtain Some tight ends to watch @PennStateFball Pat Freiermuth is a 1st round lock + @IowaStateU Charlie Kolar stock is rising
7,Sat Oct 24 20:00:30 +0000 2020,"@kaylathomasoma @IowaStateU As we like to say, Go, ‘Clones!’"
8,Sat Oct 24 18:04:53 +0000 2020,@chicagobulls @SamSmithHoops What is with @chicagobulls and @IowaStateU ??
9,Sat Oct 24 17:54:22 +0000 2020,@bradkinsinger @IowaStateU @okstate Using everyone else's logic for me on the Hawkeyes you live in Iowa your bachelors lays the foundation #CyclONEnation
10,Sat Oct 24 16:35:45 +0000 2020,"President supported by .@SBAList said this about the &gt; 200000 lives lost due to #Covid19
“It is what it is”
“We are learning to live with it”
“It’s a hoax”

#vote2020 #vote #prolife .@uiowa .@IowaStateU .@DMRegister .@DesMoinesGov"
11,Sat Oct 24 16:18:38 +0000 2020,@FOCOusa @IowaStateU I love it and those masks are very awesome
12,Sat Oct 24 16:04:08 +0000 2020,I have @IowaStateU for the upset today 😈
13,Sat Oct 24 15:58:48 +0000 2020,"Underdogs that will win today:

@FSUFootball over Louisville- Travis and the D-line w) another big game
@IowaStateU over Okie State- Purdy will be the difference
@NavyFB over Houston- Navy slows the game down and pulls the upset
@GamecockFB over LSU- Last I checked,LSU's D blows."
14,Sat Oct 24 14:54:29 +0000 2020,@bradkinsinger @IowaStateU @okstate I think you have to with the more recent degree. Better find the black and orange!
15,Sat Oct 24 14:41:23 +0000 2020,It’s game day! Bachelor degree (@IowaStateU) versus master degree (@okstate). Word is they both can’t win. The heart will tell me who to cheer for when kickoff arrives. Currently sporting cardinal and gold. #CyclONEnation #GoPokes
16,Sat Oct 24 09:34:34 +0000 2020,@ericstonestreet @IowaStateU Awwwww bless ❤️❤️❤️❤️
17,Sat Oct 24 03:46:31 +0000 2020,"RT @joniernst: When I was in college at @IowaStateU, I decided to join the ROTC because I wanted to serve my nation &amp; fight for our freedom…"
18,Sat Oct 24 03:02:20 +0000 2020,@ericrodine @IowaStateU That sounds awesome!
19,Sat Oct 24 00:39:01 +0000 2020,@joniernst @IowaStateU You are fighting for Charles Koch and his money -- every single day. 🙄
20,Fri Oct 23 22:56:30 +0000 2020,"@ericstonestreet @IowaStateU Damn! Would have loved to see her in purple!! Either way, good luck Brooke!!"
21,Fri Oct 23 22:54:32 +0000 2020,@IowaStateU @isualum @ISU_CoB Loyal sons forever true......
22,Fri Oct 23 22:03:42 +0000 2020,"RT @joniernst: When I was in college at @IowaStateU, I decided to join the ROTC because I wanted to serve my nation &amp; fight for our freedom…"
23,Fri Oct 23 22:03:05 +0000 2020,@GregRenoff @IowaStateU You are on a roll! Keep them coming!
24,Fri Oct 23 21:52:37 +0000 2020,"RT @joniernst: When I was in college at @IowaStateU, I decided to join the ROTC because I wanted to serve my nation &amp; fight for our freedom…"
25,Fri Oct 23 20:38:39 +0000 2020,@joniernst @IowaStateU I guess she wants an unfunded military:  Ernst has proposed eliminating the Internal Revenue Service...Ernst rejects the scientific consenus on climate change &amp; not surprisingly supports eliminating the U.S. Dept of Education.
26,Fri Oct 23 20:19:53 +0000 2020,"@ericstonestreet @IowaStateU Loyal.  Forever.  True.

Welcome to the family!"
27,Fri Oct 23 20:16:08 +0000 2020,@GregRenoff @IowaStateU I love it!!
28,Fri Oct 23 18:58:41 +0000 2020,@energies_mdpi @UPWroclaw @IowaStateU How to publish an article with you?
29,Fri Oct 23 18:50:50 +0000 2020,@IowaStateU you too
30,Fri Oct 23 18:41:33 +0000 2020,@joniernst @IowaStateU And you failed every single day.
31,Fri Oct 23 18:01:29 +0000 2020,"@joniernst @IowaStateU 11 days until the election, please talk about Russian bounties on our sons and daughters serving the country.  You ok with that? #FailureInChief #RussianBountiesOnOurTroops"
32,Fri Oct 23 16:50:15 +0000 2020,@joniernst @IowaStateU You didn’t fight anyone you just stacked boxes. REMF
33,Fri Oct 23 16:44:22 +0000 2020,@DefeatJoni @joniernst @IowaStateU Joni fights for JQni
34,Fri Oct 23 16:27:00 +0000 2020,@ericstonestreet @IowaStateU Yay!!! GO CLONES!!!
35,Fri Oct 23 16:26:48 +0000 2020,@marceilschmitt @GOPSenate @LibertyU @LibertyUAlum @NotreDame @BYU @BostonCollege @UAAlumniAssoc @UofAlabama @TheCrimsonWhite @IowaStateU @WDMCHAMBER @DMRegister @umontana @missoulian @kpaxnews @helenaironline @universityofky @Owensboro1937 Vote Blue!
36,Fri Oct 23 16:03:00 +0000 2020,"@chris_neto @Iffsi @Rhyno_24 @frankpadikkala @KevTalbot @ServSupp @jacobyaudio @haircutfw @itsnoreenmarie @ArtDanner @vacajun @ChewieDaWookiee I'm signed up! Even though I don't work for a higher-ed institution, we have tons of higher-ed clients! And our company started being spun from VRAC @IowaStateU"
37,Fri Oct 23 16:02:10 +0000 2020,@SteveDeaceShow rocking the @IowaStateU pullover today!!! Nice!
38,Fri Oct 23 15:03:42 +0000 2020,@ericstonestreet @IowaStateU I’m sorry you will have to do that Eric. RIP
39,Fri Oct 23 14:25:59 +0000 2020,@joniernst @IowaStateU Except you DON'T serve &amp; fight for Iowa every single day in the US Senate. You serve &amp; fight for Trump's dehumanizing agenda and for the agendas of your mega-donors. Then you gaslight and lie to Iowans and dredge up your IRRELEVANT military service to try to legitimize yourself.
40,Fri Oct 23 14:22:46 +0000 2020,RT @DimentBarb: @joniernst @IowaStateU Another story.  Last week during the debate Joni said she was being abused so she went to Iowa State…
41,Fri Oct 23 14:05:41 +0000 2020,@joniernst @IowaStateU Another story.  Last week during the debate Joni said she was being abused so she went to Iowa State to study psychology to help others as a counselor.  Joni staff:  Please make up just one story at a time!
42,Fri Oct 23 13:35:30 +0000 2020,@ericstonestreet @IowaStateU Farmageddon
43,Fri Oct 23 12:51:58 +0000 2020,@ericstonestreet @WideRtNattyLt @IowaStateU Welcome to the good side! 🌪😁
44,Fri Oct 23 12:39:38 +0000 2020,@ericstonestreet @IowaStateU Welcome to the Cyclone Family!
45,Fri Oct 23 12:31:06 +0000 2020,@ericstonestreet @IowaStateU You needed a good college team to root for!❤️❤️
46,Fri Oct 23 11:50:41 +0000 2020,"@joniernst @IowaStateU #phonyjoni when the president called out veterans ""losers and suckers"" she said nothing.  When we found out Putin placed bounties on America soldiers and Trump did nothing, #phonyjoni stood by him. But oh she loves our soldiers.  As Joe Biden would say, Come on!"
47,Fri Oct 23 10:59:31 +0000 2020,"@joniernst @IowaStateU And 23 years later you shrug off the bounties Russians are paying for US servicemember kills.  Guess it didn’t impact you personally, so why contradict your boss?"
48,Fri Oct 23 10:54:38 +0000 2020,@joniernst @IowaStateU Joni is a hypocrite and party hack.
49,Fri Oct 23 10:36:20 +0000 2020,@joniernst @IowaStateU Joni fights for Joni.
50,Fri Oct 23 09:34:24 +0000 2020,@joniernst @IowaStateU Doesn't it bother you that the richest country in earth has charity groups that run TV ads showing disabled vets and asking for donations so the vets can lead a better life?  DOESN'T THAT BOTHER YOU?  DOESN'T THAT BOTHER YOU?  How far behind the lines were you in Iraq?
51,Fri Oct 23 05:36:46 +0000 2020,"@joniernst @IowaStateU You drove a supply truck in the military, big deal. And if you’re working for Iowa why aren’t you supporting our ethanol plants they’re feeling and closing? Why are you supporting big oil and petroleum companies over our farmers in the ethanol plants"
52,Fri Oct 23 05:16:11 +0000 2020,"RT @joniernst: When I was in college at @IowaStateU, I decided to join the ROTC because I wanted to serve my nation &amp; fight for our freedom…"
53,Fri Oct 23 05:11:08 +0000 2020,@joniernst @IowaStateU Joni has proven over and over that she only fights for herself.
54,Fri Oct 23 04:34:59 +0000 2020,"@joniernst @IowaStateU What happened to you, dark money"
55,Fri Oct 23 04:26:01 +0000 2020,@ericstonestreet @IowaStateU As long as it is never during #Farmageddon 👍🏻👍🏻
56,Fri Oct 23 04:17:38 +0000 2020,@ericstonestreet @IowaStateU Hy Vee needs to go worldwide!
