,created_at,full_text
0,Mon Oct 26 13:59:29 +0000 2020,@LieyaLutionary @JacksonStateU Wait 🥰
1,Sun Oct 25 23:24:20 +0000 2020,@PhilBryantMS @DeionSanders @JacksonStateU @DeionSanders we don't fuck with him or his family. It was his crusty ass relative who lied on Emmit Till which led to his brutal MURDER!
2,Sun Oct 25 22:30:15 +0000 2020,@YouTube @SonicBoomOTS @JacksonStateU Follow me at this @SergioCaldeira®
3,Sun Oct 25 21:45:32 +0000 2020,@MWalkerCenter @JacksonStateU @HBCUSports A giant...highly respected! I grew up two doors down from Coach Gordon on Maple Street. He had the most manicured yard on the block. I don’t think he ever moved...lived smack dab in the “hood” we call Georgetown. Rest in Power Coach! 🙏🏾
4,Sun Oct 25 20:52:58 +0000 2020,"@TrayHairston @SouthernUsports @JacksonStateU Fun times! Now that I’m a student at JSU, a game this year with #coachprime would be even more exciting! Can’t wait!"
5,Sun Oct 25 19:18:25 +0000 2020,@YouTube @SonicBoomOTS @JacksonStateU Boycott Youtube. It's getting worse. It is censoring truth and serving the hidden elites by acting as a Freedom of Speech police. How DARE YOU! How dare you exercise shameful censorship when all these years we the people have helped you grow? Leeches.
6,Sun Oct 25 15:16:13 +0000 2020,"I find it funny that @JacksonStateU gets put on probation by the @NCAA but has yet to do ANYTHING to #Kansas or #NorthCarolina. Are you mad because they hired #PrimeTime?! My friend @TheCoachDeanSho has always said: ""The NCAA is the Biggest Pimps!""....."
7,Sun Oct 25 13:36:59 +0000 2020,@JacksonStateU killed Doug E Fresh “TheShow” 🔥 #MeetMeOnTheYard
8,Sun Oct 25 13:18:09 +0000 2020,@RealTJones1 @PhilBryantMS @DeionSanders @JacksonStateU @supertalk And underneath that shirt is a white sheet.
9,Sun Oct 25 11:49:39 +0000 2020,"@LN3W373 @PhilBryantMS @DeionSanders @JacksonStateU An $1,800 android in a 2 million dollar property."
10,Sun Oct 25 11:41:09 +0000 2020,@LN3W373 @changingmiss @PhilBryantMS @DeionSanders @JacksonStateU They not shaking hands in this pic what you talking about?
11,Sun Oct 25 07:57:16 +0000 2020,"Comunicación Audiovisual @jeanmolinafarin de la @UNED nos gusta el @YouTube ~

The illustrious @SonicBoomOTS just stepped out and they are PER 👏FOR👏MING. They're giving us the formations and J-Settes we needed this homecoming season💂‍♀️🥁🎺@JacksonStateU #MeetMeOnTheYard …"
