,created_at,full_text
0,Mon Oct 26 15:04:41 +0000 2020,@JMU what if we cancelled friday classes next semester for everyone and extended the semester just a bit. People need more time to lower anxiety. Not less
1,Mon Oct 26 15:03:23 +0000 2020,"RT @jmusouders: I teach a class on evaluating argument in the public sphere at @JMU where we watch a ton of clips of argument exchanges, ma…"
2,Mon Oct 26 15:01:25 +0000 2020,"I teach a class on evaluating argument in the public sphere at @JMU where we watch a ton of clips of argument exchanges, mainly from TV. I try to find gender balance but it is shocking how over-represented men are in arguments unless the issue is a 'women's' issue. #SCOM342"
3,Mon Oct 26 09:27:54 +0000 2020,"So if Andy Dalton can't go next week (I hope he's ok), then the @dallascowboys would be in line to start Ben DiNucci out of @JMU what a story that would be. But surely this is the week that @Kaepernick7 gets signed???"
4,Sun Oct 25 19:43:29 +0000 2020,@DukesTailgate @JMU Game has been over for quite sometime.   Let Ben drive the Cowboys to aTD and give Dallas a little QB controversy of their own.  Poetic justice for the WFT in 2020.
5,Sun Oct 25 19:38:21 +0000 2020,@MarkAhrens @JMU Still a ‘skins fan. Will root for nooch but I still wanna see the burgundy and gold get the win.
6,Sun Oct 25 19:37:19 +0000 2020,@DukesTailgate @JMU Come on..No ints for Nooch
7,Sun Oct 25 19:35:14 +0000 2020,RT @DukesTailgate: @JMU twitter will absolutely erupt if JFM intercepts Nooch in this game...... #GoDukes #NFLDukes #HTTR
8,Sun Oct 25 19:34:49 +0000 2020,@JMU twitter will absolutely erupt if JFM intercepts Nooch in this game...... #GoDukes #NFLDukes #HTTR
9,Sun Oct 25 19:12:24 +0000 2020,@JMU out here representing..#DALvsWAS
10,Sun Oct 25 19:11:57 +0000 2020,@PimJagerRVA the @JMU QB in now for the Cowboys
11,Sun Oct 25 19:11:06 +0000 2020,Conflicted as I can’t stand the @dallascowboys but @JMU grad Ben Dinucci is now taking the field as QB. Good luck Ben! #WashingtonFootball
12,Sun Oct 25 19:09:51 +0000 2020,As a Cowboys fan I’m so upset for Dak and now Dalton. But I’m also a @JMU alum so I’m stoked for Nuchhhhh!!! C’mon Ben!
13,Sun Oct 25 02:07:04 +0000 2020,@leefitting @JMU @CollegeGameDay DUUUUUUUKES!!!
14,Sun Oct 25 00:26:31 +0000 2020,@leefitting @JMU @CollegeGameDay y’all remember who crashed that party? go spides baby 🕷
15,Sat Oct 24 23:36:37 +0000 2020,@JMU Thankful
16,Sat Oct 24 23:03:37 +0000 2020,@thekeyplay The @JMU loss is still the worst.
17,Sat Oct 24 17:41:50 +0000 2020,@leefitting @kristinamohler @JMU @CollegeGameDay Thank you for setting it up and for being my doppelgänger. I had beer bought for me at Dave’s. Not ashamed of it
