,created_at,full_text
0,Mon Oct 26 18:18:29 +0000 2020,"RT @JohnsHopkinsSPH: ""People try to vilify our parents for risking our lives to take that journey,"" Katherine Narvaez, a @JohnsHopkins stud…"
1,Mon Oct 26 17:57:17 +0000 2020,"RT @JohnsHopkinsSPH: ""DACA is not a status,"" explains Katherine Narvaez, a @JohnsHopkins MPH/MBA student and DACA recipient.

""It is just d…"
2,Mon Oct 26 17:57:03 +0000 2020,@HARRISFAULKNER @JohnsHopkins And you still support Trump who says we have rounded the corner. Then again you have your own facts don't you. It appears you have your own time as well. You said Trump spoke for 80 minutes last hour. Most of us have only 60 minutes an hour. Can't tell time can't tell truth. FOX
3,Mon Oct 26 17:48:04 +0000 2020,"RT @QOHSCounseling: College Visit this week:

10/26
@JohnsHopkins-11:30a

10/27
@UCLA-11:30a
@EckerdCollege-2:45p
@UMESNews-2:45p

Sign up…"
4,Mon Oct 26 17:47:00 +0000 2020,"RT @Alicebahe: #Iran Over 132,700 people have died of the #coronavirus 
.@WHO.@DrTedros.@JohnsHopkins.@ECDC_Outbreaks.@MSF.@rki_de.@WHOEMRO…"
5,Mon Oct 26 17:34:22 +0000 2020,"@HARRISFAULKNER @JohnsHopkins Does Harris know that Trump thinks she is low IQ?  Sorry, but the self-proclaimed least racist man in the world is a racist."
6,Mon Oct 26 17:27:49 +0000 2020,@HARRISFAULKNER @JohnsHopkins Increase in case numbers is based on only two things. It is either positive from testing through a volunteer or mandatory program or someone showed symptoms and was tested positive. Break your total numbers out. Stop trying to scare people with overblown testing.
7,Mon Oct 26 17:15:48 +0000 2020,@HARRISFAULKNER @JohnsHopkins Wow this woman is doom and gloom.  You don't mention the positive side.
8,Mon Oct 26 16:51:58 +0000 2020,"RT @Alicebahe: #Iran Over 132,700 people have died of the #coronavirus 
.@WHO.@DrTedros.@JohnsHopkins.@ECDC_Outbreaks.@MSF.@rki_de.@WHOEMRO…"
9,Mon Oct 26 16:43:43 +0000 2020,"RT @BowlingCombest: @HARRISFAULKNER @JohnsHopkins WE Republicans will fire Trump.....

AND stop 🛑 
TRUMPISM 

Dishonesty 
Divisiveness 
Bul…"
10,Mon Oct 26 16:43:29 +0000 2020,"@HARRISFAULKNER @JohnsHopkins WE Republicans will fire Trump.....

AND stop 🛑 
TRUMPISM 

Dishonesty 
Divisiveness 
Bullying 

And corrupt politics that’s supplanted Americans’ health for 
Trump rallies....

AMERICANS are uniting and wise 
Y’all underestimate US 🗳✝️🇺🇸✝️🗳🇺🇸"
11,Mon Oct 26 16:23:43 +0000 2020,@peta @JohnsHopkins pls notice my tweet
12,Mon Oct 26 16:23:28 +0000 2020,@superjamespond @JohnsHopkins @rudivervoort @chrisjanssensVB Yawn!
13,Mon Oct 26 16:18:57 +0000 2020,Correct ID for #JHU @JohnsHopkins - our apologies from @CMHSIIMA
14,Mon Oct 26 16:16:32 +0000 2020,"@Percolator_HNJ @JohnsHopkins Sweden has the lowest number of citizens per KM2!! 
Belgium has the highest!!
Its like we all live next to each other all over the place.
BRX did not observe rules.A lot of people from Flanders &amp; Wallonia work in BRX &amp; take virus back home.
@rudivervoort @chrisjanssensVB"
15,Mon Oct 26 16:10:20 +0000 2020,@LizAnnSonders @JohnsHopkins @uscensusbureau Midwest rural towns. Why not just stop testing? Why are they bringing themselves in to test? I thought it was all a 99% hoax
16,Mon Oct 26 16:09:35 +0000 2020,@peta @JohnsHopkins Done
17,Mon Oct 26 15:59:06 +0000 2020,"RT @DrJamiV: I'm checking in for the #BlackInPhysicsRollCall for #BlackInPhysics week.  I'm Dr. Jami Valentine Miller, Ph.D. in Physics and…"
18,Mon Oct 26 15:58:06 +0000 2020,@maryecasares @SenSchumer @JohnsHopkins We were on that path... then suddenly stepped off of it in mid to late May... hmmmmmm... 🤔
19,Mon Oct 26 15:47:11 +0000 2020,"RT @DrJamiV: I'm checking in for the #BlackInPhysicsRollCall for #BlackInPhysics week.  I'm Dr. Jami Valentine Miller, Ph.D. in Physics and…"
20,Mon Oct 26 15:44:59 +0000 2020,"RT @DrJamiV: I'm checking in for the #BlackInPhysicsRollCall for #BlackInPhysics week.  I'm Dr. Jami Valentine Miller, Ph.D. in Physics and…"
21,Mon Oct 26 15:44:23 +0000 2020,@brewmeone @SenSchumer @JohnsHopkins You can test till the cows come home. It's contact tracing that needs to be done. #TrumpCovid19
22,Mon Oct 26 15:23:04 +0000 2020,"@T_Inglesby on CNN: Hospitals will get fuller and fuller across Midwest, could see care rationing; unless leaders in large numbers make changes, numbers will go up and up, with hospitals in crisis. @JohnsHopkinsCCP @johnshopkins"
23,Mon Oct 26 15:10:01 +0000 2020,"RT @boghche: #Iran Over 132,700 people have died of the #coronavirus 
.@WHO.@DrTedros.@JohnsHopkins.@ECDC_Outbreaks.@MSF.@rki_de.@WHOEMRO.@…"
24,Mon Oct 26 15:09:52 +0000 2020,"RT @Alicebahe: #Iran Over 132,700 people have died of the #coronavirus 
.@WHO.@DrTedros.@JohnsHopkins.@ECDC_Outbreaks.@MSF.@rki_de.@WHOEMRO…"
25,Mon Oct 26 15:08:38 +0000 2020,"@NBCLatino @NBCNews @JohnsHopkins @Uniandes If the world does not come together to work on this, its going to be with us for a very long time..vaccine or not."
26,Mon Oct 26 15:07:42 +0000 2020,@NBCLatino @NBCNews @JohnsHopkins @Uniandes Oh my god it much be the republicans fault!! Was trump down there infecting people  🤣🤣🤣🤣
27,Mon Oct 26 15:04:07 +0000 2020,"@NBCLatino @AnthonyJoyner44 @JohnsHopkins @Uniandes they're doing too much testing. &lt;sarcasm&gt;.

#VoteBlue  #VoteEarly  &amp; if you're in NY27, #VoteNate  @Nate_McMurray"
28,Mon Oct 26 14:37:07 +0000 2020,"@brewmeone @SenSchumer @JohnsHopkins Nice Facts! Something Cryin Chuck and @SpeakerPelosi never seem to see!

#Trump2020Landslide"
29,Mon Oct 26 14:34:58 +0000 2020,@LizAnnSonders @JohnsHopkins @uscensusbureau Hawaii not even at the bottom? What are they doing
30,Mon Oct 26 14:25:44 +0000 2020,"RT @JohnsHopkinsSPH: ""DACA is not a status,"" explains Katherine Narvaez, a @JohnsHopkins MPH/MBA student and DACA recipient.

""It is just d…"
31,Mon Oct 26 14:23:05 +0000 2020,"RT @JohnsHopkinsSPH: ""DACA is not a status,"" explains Katherine Narvaez, a @JohnsHopkins MPH/MBA student and DACA recipient.

""It is just d…"
