,created_at,full_text
0,Sun Oct 25 17:06:55 +0000 2020,@HamiltonCollege @Sibylink_FUTURE Thank you @HamiltonCollege for featuring my forecast! One caveat: the Twitter account you featured is a fake spambot. Those interested can follow me @Superforecastr.
1,Sun Oct 25 13:24:28 +0000 2020,@HamiltonCollege @HamiltonAdmssn none in NC....a bit surprising
2,Fri Oct 23 20:33:30 +0000 2020,"@melissarichards @HamiltonCollege Little things lead to big things! Congrats to Ngoc Ngo! She put in the work, connected the dots, used her supports and it paid off. We love to hear those success stories!"
3,Thu Oct 22 20:37:33 +0000 2020,@HamiltonCollege @HamCollMHock @HamCollSports Nice job Pete!
4,Thu Oct 22 17:02:56 +0000 2020,@HamiltonCollege @PhiBetaKappa welcome! 🗝️
5,Thu Oct 22 13:04:39 +0000 2020,"When the college President comes through your line at covid testing and asks if that's the latest Harry Dresden book.... Turns out he's read all 17 books. This man does it all!
@HamiltonCollege"
6,Wed Oct 21 18:55:44 +0000 2020,@HamiltonCollege @UticaMissionMV @CityofUtica Awesome! Can't wait to tune in and to support the Rescue Mission.
7,Wed Oct 21 14:30:12 +0000 2020,@HamiltonCollege You can defiantly impress your friends with these! 😍🙌
8,Wed Oct 21 11:39:55 +0000 2020,"@HamiltonCollege @zoom_us Great idea, but aren't our heads going to block the best parts? (Class of '81)"
9,Tue Oct 20 16:24:06 +0000 2020,"@_danigilbert @HamiltonCollege Thank you so much, Dani! We were thrilled to have you!!"
10,Tue Oct 20 03:29:19 +0000 2020,RT @_danigilbert: Today I got to visit with @esdebruin’s brilliant @HamiltonCollege students to talk about kidnapping in civil war. They ha…
11,Tue Oct 20 03:28:53 +0000 2020,"Today I got to visit with @esdebruin’s brilliant @HamiltonCollege students to talk about kidnapping in civil war. They had *such* thoughtful questions! Truly, what a treat. I’m forever grateful for Erica’s generosity &amp; thrilled to include her new book on my cadets’ reading list."
12,Sun Oct 18 19:31:58 +0000 2020,@HamiltonCollege yessss ladies!! ❤️ not to *flex* but Mckela was my roommate last year 😩🤩
13,Sun Oct 18 16:49:12 +0000 2020,"@HamiltonCollege @FPRI @EurasiaReview If one watches network news, one does not know about this. Will you tie this into The Great World War holocaust/genocide of Armenians?"
14,Sun Oct 18 01:10:22 +0000 2020,"@JoshCrewsReally .@SpinDoctorsBand at @colgateuniv in the old dining hall, or @TheFeeliesNJ at @HamiltonCollege in a similar setting. Perhaps @FishboneSoldier at the QE 2 in Albany."
