,created_at,full_text
0,Mon Oct 26 14:40:43 +0000 2020,@Chiefs @KState prodigy right there!!! @pringle_byron
1,Mon Oct 26 14:35:13 +0000 2020,"@RevAdamHamilton @Chiefs @kState fans have seen this before, but it never gets old. @pringle_byron is truly a great athlete and an outstanding person!"
2,Mon Oct 26 06:53:47 +0000 2020,"@jeffswarens @ShinkenjiDaimon @Shin_Timoshi @wallybert @Mike_P_Williams @michellemalkin @KState @McNeilJaden PS I like guns, I still know irresponsible usage of them."
3,Mon Oct 26 06:53:19 +0000 2020,"@jeffswarens @ShinkenjiDaimon @Shin_Timoshi @wallybert @Mike_P_Williams @michellemalkin @KState @McNeilJaden Wrong, I hate ignorance&amp; cognitive dissonance and this Independent Utah white male farmboy still knows FACTS son. And the chosen refusal by Conservatives to incorporate them into critical thinking problem solving for the better of the species. Your opinion doesn't change my fight"
4,Mon Oct 26 03:27:10 +0000 2020,"@KStateSOC Each loss is tough. @kstate fans are proud of your work to achieve all you are, even in the OT. Keep going to get your games! #EWAW"
5,Mon Oct 26 01:17:21 +0000 2020,@KState has the best special teams @pringle_byron
6,Sun Oct 25 21:57:42 +0000 2020,"I’m so glad I have the @Chiefs defense on my fantasy team this week!  Also, I gotta give a shout out to @pringle_byron for that return TD!  Sending much love from another @KState alum! Haha"
7,Sun Oct 25 16:48:55 +0000 2020,@CBSSportsHQ @KStateFB @kstatesports @GoPowercat @KellisRobinett @spedbraet @KState @wildcatvictory @jlkurtz @KsuBarstool @KUAthletics Theyre also the #TexasStateChamps every so often. #GoCats
8,Sun Oct 25 16:25:52 +0000 2020,"@spedbraet I LOVE THIS SCENE!  Simply Awesome.  Players &amp; coaches recognizing others for their contributions to their collective goals—to me, this represents the heart &amp; soul of what it means to be a part of the @KState family."
9,Sun Oct 25 05:19:13 +0000 2020,@praprotnix @QuickTake @KState @business My thoughts exactly!
10,Sun Oct 25 03:19:04 +0000 2020,@VanBMalone3rd Proud to be a @KState alum!
11,Sun Oct 25 02:19:08 +0000 2020,@CBSSportsHQ @TomFornelli @KStateFB @kstatesports @GoPowercat @KellisRobinett @spedbraet @KState @wildcatvictory @jlkurtz @KsuBarstool @KUAthletics Every Big 12 school owns Kansas.
12,Sat Oct 24 20:53:14 +0000 2020,@kmagette @KState Me too! ☺️
13,Sat Oct 24 20:06:59 +0000 2020,@WeirickSarah @KState Perfection!
14,Sat Oct 24 19:29:20 +0000 2020,"@tanyaguydos @kstatesports @KState @NCAA @Big12Conference @FOXSports Ol’ Les Miles, welcome to KU football. When you start to win...Bill Self will can your ass."
15,Sat Oct 24 19:02:44 +0000 2020,@WeirickSarah @KState Loooove that he’s wearing some old school Willie Wildcat! 😍😍😍💜💜💜
16,Sat Oct 24 18:35:28 +0000 2020,@LittrellJess @KState @KU_Football @UnivOfKansas 😂 haha just wait! He has some@cute KU things too ☺️
17,Sat Oct 24 18:31:55 +0000 2020,@WeirickSarah @KState He’s still cute even if he’s wearing the wrong colors! #rockchalk @KU_Football @UnivOfKansas
18,Sat Oct 24 18:15:30 +0000 2020,3 punt returns at half?!?! Go Cats 😈 @KState @KStateFB
19,Sat Oct 24 17:49:41 +0000 2020,@KStateFB @kstatesports @KState the opposite of kicking a dog while it's down is to go ahead and let KU get on the bus and head back to Lawrence at halftime...just go ahead and go....  #kstate #KStateFB #SunflowerShowdown #kufball Go Cats!
20,Sat Oct 24 16:44:30 +0000 2020,"The University’s TV ad tells you NOTHING about K-State.

“Reveling in the sounds of a silenced pandemic” What does that even mean??

@KState"
21,Sat Oct 24 16:23:20 +0000 2020,EMAW!  Go Wildcats!!!  Beat the Jayhawks! 🏈🏈@kstatesports @KState @NCAA @Big12Conference @FOXSports
22,Sat Oct 24 12:46:48 +0000 2020,@KState @KStateFB We will beat KU today! #SunflowerShowdown #BeatKU #KState #KStateFB #KStateFamily #KState 🌻🌻🌻🌻🌻
23,Fri Oct 23 17:35:22 +0000 2020,"RT @haileyjphillips: Happy Homecoming week, Wildcats! 

I am looking for current #KState students who’d be interested in talking to me abou…"
24,Fri Oct 23 16:44:17 +0000 2020,@sarahespicer @kansasdotcom @KState @KStateAgron @Report4America I see the problem. They are using equipment that heavily use fossil fuels and contributes to global warming. They should go back to doing everything by hand then they would be successful and climate would return to “normal”.
25,Fri Oct 23 16:30:35 +0000 2020,@sarahespicer @kansasdotcom @KState @KStateAgron @Report4America Will see more and more cotton if this really plays out.
26,Fri Oct 23 14:03:34 +0000 2020,@RebekahRadice Making a personal connection. Just spoke to a Hospitality Sales class at @KState about it yesterday.
27,Fri Oct 23 13:58:14 +0000 2020,"Does an academic career intrigue you? Talk to Stephanie Rolley, Professor and Head of Landscape Architecture and Regional &amp; Community Planning at @KState about how you might position yourself to be a landscape architecture faculty member."
