,created_at,full_text
0,Mon Oct 26 15:17:58 +0000 2020,@KSUresearch @kennesawstate Congrats on this amazing opportunity Sean!!!
1,Mon Oct 26 13:25:29 +0000 2020,"@kennesawstate ‘s mask policy of “just leave up a sign that tells people to wear masks and they will follow the rules” HAS NOT and WILL NOT work. A mask rule with no enforcement is a mask recommendation. PLEASE DO SOMETHING. 

@ksuoem @KennesawPolice @KSUOwlNation @KSUAdvocacy"
2,Sun Oct 25 17:00:23 +0000 2020,@ASUNWBB @KSUOwlsWBB @kennesawstate @KSUOwlNation There’s my girlie❤️❤️❤️
3,Sun Oct 25 16:17:50 +0000 2020,RT @rmryz: i’m tired of @kennesawstate neglectinf us with this shitty teachers man
4,Sun Oct 25 11:56:06 +0000 2020,i’m tired of @kennesawstate neglectinf us with this shitty teachers man
5,Sun Oct 25 06:56:46 +0000 2020,@jennycohn1 Is this why @kennesawstate University personnel destroyed the records from the last election?
6,Sat Oct 24 00:53:38 +0000 2020,@kennesawstate the leaf is my favorite🥺
7,Fri Oct 23 17:28:36 +0000 2020,"These amenities include a two story open club room, two story open study area, and a rooftop amenity overlooking the pool courtyard.  #Kennesaw #KSU #StudentHousing #Katerra @kennesawstate"
8,Fri Oct 23 16:52:56 +0000 2020,@jphysiol_eic @haack_kkv @BatesPhysio @kennesawstate I was thinking the same
9,Fri Oct 23 02:35:01 +0000 2020,@haack_kkv @BatesPhysio @kennesawstate What a great choice!
10,Thu Oct 22 23:28:38 +0000 2020,Thank you to @haack_kkv and the fine folks at @kennesawstate for having me to talk about my career path. You all are outstanding!! #Physiology #FTW!!
11,Thu Oct 22 22:58:07 +0000 2020,The show is about to start! Who are you most excited to see? #SoireeofStars2020 @TimTebow @Ludacris @DaleMurphy3 @ClemsonFB @clemsonlife1  @kennesawstate @KSUOwlNation @kroger @upatdowncountry @CarstarphenMJ @Megologycom @BornThisWayAE
12,Thu Oct 22 21:42:53 +0000 2020,@nicoleperlroth @julianbarnes @SangerNYT #gapol @GaSecofState and @kennesawstate should be looking pro-actively at network logs as well as security logs.
13,Thu Oct 22 21:20:02 +0000 2020,@kennesawstate I never got the original mask 🙄
14,Thu Oct 22 20:03:56 +0000 2020,RT @JasonShepherd: Thanks to @JudgeDillard for joining my POLS 1101 class @kennesawstate to discuss with students how the state court syste…
15,Thu Oct 22 16:53:12 +0000 2020,@kennesawstate Maybe you could put out a contest for students in KSU’s Healthcare Management &amp; Informatics program or any students interested in statistics/data/healthcare/etc. to come up with a thorough daily dashboard for next semester - that would be so appreciated and helpful!
16,Thu Oct 22 15:46:40 +0000 2020,@kennesawstate Where can season ticket holders get masks?
17,Thu Oct 22 12:23:33 +0000 2020,@CarstarphenMJ @Every_DayHeroes @kroger @kennesawstate @NDSC @GaDOEsped @APS_DSE @SOGAchampions @TimShriver @hpchief @M_Wilburnjr @JenWinSaunders @TwiggyCJViator @BGCMA_CEO @SEL_APS Congratulations. You were amazing g for us in APS. You deserve this!!
18,Thu Oct 22 11:45:32 +0000 2020,@SherrillWHayes @fayobserver @ATKuperberg @KSUConflict @KSUresearch @kennesawstate @KSUSGIA @ksuchss That is great. Congrats.
19,Thu Oct 22 04:04:16 +0000 2020,Thanks to @JudgeDillard for joining my POLS 1101 class @kennesawstate to discuss with students how the state court system works and taking Q&amp;A! #gapol
20,Thu Oct 22 02:08:57 +0000 2020,@kennesawstate This is ridiculous. No difference in being on campus!!! 2020 GRADUATES DESERVE A 2020 GRADUATION. GET IT TOGETHER KSU.
21,Wed Oct 21 20:40:07 +0000 2020,@MsGoodmanELA @AlbanyStateUniv @MsBrownsLibrary @GordonState @UGAadmissions @FVSUAdmissions @kennesawstate @GeorgiaTech @GeorgiaStateU @ClaytonState Yes ma’am just trying to stay safe and covid free!
22,Wed Oct 21 19:00:09 +0000 2020,@GUnderP68 @selfdeclaredref Looks like Jeff is a good representation for @kennesawstate @KSUOwlNation ?
23,Wed Oct 21 15:32:54 +0000 2020,Y’all lame for dis @kennesawstate
24,Wed Oct 21 13:17:18 +0000 2020,"@kennesawstate What’s KSU doing to help stop the spread when students return next semester?  Numbers across the country are on the rise - will we see free surveillance testing, a daily dashboard, screening for on-campus students, etc.?  What if numbers continue to rise?  What’s KSU’s plan?"
25,Wed Oct 21 12:44:50 +0000 2020,@MsBrownsLibrary @GordonState @UGAadmissions @FVSUAdmissions @AlbanyStateUniv @kennesawstate @GeorgiaTech @GeorgiaStateU @ClaytonState Happy to help! Can you email us your mailing address please? CSUInfo@clayton.edu
26,Wed Oct 21 12:25:56 +0000 2020,@MsRoberts1213 @AlbanyStateUniv @MsBrownsLibrary @GordonState @UGAadmissions @FVSUAdmissions @kennesawstate @GeorgiaTech @GeorgiaStateU @ClaytonState Hi Brandi!!!!! Hope all is well with you!!!
27,Wed Oct 21 03:32:31 +0000 2020,@MsGoodmanELA @AlbanyStateUniv @MsBrownsLibrary @GordonState @UGAadmissions @FVSUAdmissions @kennesawstate @GeorgiaTech @GeorgiaStateU @ClaytonState Me too... Hey Tok 👋🏾
28,Wed Oct 21 01:32:40 +0000 2020,@AlbanyStateUniv @MsBrownsLibrary @GordonState @UGAadmissions @FVSUAdmissions @kennesawstate @GeorgiaTech @GeorgiaStateU @ClaytonState This is why I’m a proud member of the #Ramily #GoRams #AlbanyStateUniversity
29,Wed Oct 21 00:37:41 +0000 2020,@AlbanyStateUniv @GordonState @UGAadmissions @FVSUAdmissions @kennesawstate @GeorgiaTech @GeorgiaStateU @ClaytonState It won’t let me DM you. Is there an email address I could use instead? Thanks!
30,Wed Oct 21 00:25:29 +0000 2020,@MsBrownsLibrary @GordonState @UGAadmissions @FVSUAdmissions @kennesawstate @GeorgiaTech @GeorgiaStateU @ClaytonState Send us a DM with your address! We would love to add an #AlbanyState banner to your wall. 🐏
31,Tue Oct 20 21:27:37 +0000 2020,"RT @avisdanielle__: Are we having a graduation , yes or no @kennesawstate"
32,Tue Oct 20 21:20:30 +0000 2020,"RT @avisdanielle__: Are we having a graduation , yes or no @kennesawstate"
33,Tue Oct 20 19:43:22 +0000 2020,"Are we having a graduation , yes or no @kennesawstate"
34,Tue Oct 20 17:41:29 +0000 2020,RT @XDaneelOlivaw: @DTPJustin I am still waiting to here about what happened to the deleted election records at @kennesawstate. What was th…
35,Mon Oct 19 21:54:35 +0000 2020,@kennesawstate so are we having graduation in person or nah? y’all simply ✨do not communicate✨.
36,Mon Oct 19 21:43:25 +0000 2020,Check one off the #Bucketlist: Just gave my first guest lecture at a university. Cellular IoT with a focus on business outcomes. Thanks @kennesawstate!
37,Mon Oct 19 14:11:04 +0000 2020,@kennesawstate What move will KSU make when students return in Jan? Will we see a more focused data-driven strategy in place? Numbers across the US are on the rise &amp; students will be at home w/ family/friends for roughly 2 months - what move can we expect in 2021 to keep KSU safe &amp; informed?
38,Mon Oct 19 00:46:15 +0000 2020,@kennesawstate can we get cable back
