,created_at,full_text
0,Fri Oct 23 02:07:28 +0000 2020,Just had a great mixer with the Disability Working Group @LawrenceUni! Thanks to everyone who came and to Jojo '21 for coming up with the fabulous discussion questions! #DiversityLU #DiversityandInclusion
1,Wed Oct 21 23:59:43 +0000 2020,@GosneyChelsea @LawrenceUni Thanks for coming! So exciting to see you (virtually)!
2,Wed Oct 21 23:58:28 +0000 2020,"So cool to watch @lmclesterdavis, a fellow @LawrenceUni ‘18 alum, present at #SACNAS2020!"
3,Tue Oct 20 20:08:59 +0000 2020,"@KenAnselment @LawrenceUni Ah, the a Windsor tie!....always impressive!"
4,Tue Oct 20 17:59:43 +0000 2020,@KenAnselment @LawrenceUni Your first tie is better than any of the ties I've ever use tied.
5,Tue Oct 20 17:20:19 +0000 2020,@KenAnselment @LawrenceUni Power tie. 🔋
6,Tue Oct 20 17:05:10 +0000 2020,@jotamjota @LawrenceUni My dearth of charm necessitates the tie. 😉
7,Tue Oct 20 17:02:56 +0000 2020,@KenAnselment @LawrenceUni I really suck at tying good tie knots. I hope my charm makes up for it...
8,Tue Oct 20 15:18:44 +0000 2020,@constancekassor @LawrenceUni @JohnHolidayLive Absolutely stunning- gosh I miss @LawrenceUni concerts
9,Tue Oct 20 04:27:14 +0000 2020,@constancekassor @LawrenceUni @JohnHolidayLive And he’s from Texas 😊
10,Tue Oct 20 04:19:14 +0000 2020,@constancekassor @LawrenceUni @JohnHolidayLive Woohoo!
11,Tue Oct 20 03:41:28 +0000 2020,@constancekassor @LawrenceUni @JohnHolidayLive Wow! That was amaaaaazing!
12,Tue Oct 20 03:06:10 +0000 2020,@constancekassor @LawrenceUni @JohnHolidayLive Hooray!
13,Tue Oct 20 03:02:42 +0000 2020,@LawrenceUni @JohnHolidayLive @NBCTheVoice That's amazing!!
14,Tue Oct 20 02:08:05 +0000 2020,@constancekassor @LawrenceUni @JohnHolidayLive This guy blew me away singing this a Johnny Mercer classic.
15,Tue Oct 20 02:05:38 +0000 2020,@KenAnselment @JohnHolidayLive @LawrenceUni I thought I recognized that stage/chapel!!
16,Tue Oct 20 02:00:42 +0000 2020,There it is. @JohnHolidayLive on #TheVoice @LawrenceUni represented. Here we go.
17,Tue Oct 20 01:58:09 +0000 2020,RT @KenAnselment: They turned for @JohnHolidayLive!!! #TheVoice @LawrenceUni
18,Tue Oct 20 01:56:50 +0000 2020,They turned for @JohnHolidayLive!!! #TheVoice @LawrenceUni
19,Mon Oct 19 18:32:09 +0000 2020,(Thanks to @LawrenceUni and freshman studies for this one.)
20,Sun Oct 18 22:45:16 +0000 2020,"@ReeInspired @GoodwinVianna If she settles on music, and she can handle the climate, @LawrenceUni has an excellent conservatory. No guaranteed jobs, but definitely guaranteed winters."
