,created_at,full_text
0,Mon Oct 26 16:33:22 +0000 2020,@MylesTooNice @CoachAllenLU @LehighU @WhitefieldFBall @CoachCJoiner @Mansell247 @ChadSimmons_ @RecruitGeorgia Well deserved 👏 hard work paying off!! Combined with a lot of God-given ability!! The future is bright for @MylesTooNice ☀️ ⭐️ 💯🏈🏆💪
1,Mon Oct 26 14:28:22 +0000 2020,@Kelly_F_Austin @LehighU @vkberndt Congratulations!
2,Mon Oct 26 13:54:25 +0000 2020,@LehighFootball @Scott_Brisson @haffnerpete @LehighU @LehighAlumni @BrysonSinger 6’3 205 athlete PHS Parkersburg WV 2022
3,Mon Oct 26 13:03:29 +0000 2020,"Assistant Director of Admissions, Eric Glover, will be participating in @MoravianCollege's virtual #LehighValley Law Day on 10/27 from 3:00 PM to 6:00 PM ET! @cedarcrestcolle @DeSales @LafCol @LehighU @Muhlenberg #FordhamLaw #prelaw #lawschool #NYC #Pennsylvania"
4,Mon Oct 26 10:08:26 +0000 2020,@MylesTooNice @CoachAllenLU @LehighU @WhitefieldFBall @CoachCJoiner @Mansell247 @ChadSimmons_ @RecruitGeorgia Congratulations!!!!
5,Sun Oct 25 23:15:06 +0000 2020,@MylesTooNice @CoachAllenLU @LehighU @WhitefieldFBall @CoachCJoiner @Mansell247 @ChadSimmons_ @RecruitGeorgia Yessir‼️
6,Sun Oct 25 23:14:37 +0000 2020,@MylesTooNice @CoachAllenLU @LehighU @WhitefieldFBall @CoachCJoiner @Mansell247 @ChadSimmons_ @RecruitGeorgia my guy!!
7,Sun Oct 25 23:11:09 +0000 2020,@MylesTooNice @CoachAllenLU @LehighU @WhitefieldFBall @CoachCJoiner @Mansell247 @ChadSimmons_ @RecruitGeorgia First of many!🖤🆙
8,Sun Oct 25 23:10:40 +0000 2020,@MylesTooNice @therealkwat @CoachAllenLU @LehighU @WhitefieldFBall @CoachCJoiner @Mansell247 @ChadSimmons_ @RecruitGeorgia Congrats!
9,Sun Oct 25 17:00:00 +0000 2020,"On this date in 1884, Lafayette 56 Lehigh 0, 1st game of the longest uninterrupted college football rivalry. #collegegameday @LafCol @LehighU #CollegeFootball"
10,Sat Oct 24 01:54:05 +0000 2020,Hi Lehigh University‼️ We would appreciate a repost to support @CJMcCollum @LehighU @LehighSports @LehighMBB #Mov
11,Sat Oct 24 01:42:56 +0000 2020,"@ProfAlang @uche_blackstock @LehighU I’m so, so sorry!!!!"
12,Sat Oct 24 01:24:17 +0000 2020,"RT @ProfAlang: I’ve received so much support from people around the WORLD that I don’t even know &amp; @LehighU colleagues, students &amp; fellow a…"
