,created_at,full_text
0,Sat Oct 24 00:10:59 +0000 2020,@LLUHPhysicians @karen_studer @AmericanCancer @LLUHealth @azim_mansoor @HVillarrealMD @JulioSilvestre3 @valomalinda @molly_estes @viamdinh Great work Dr. @karen_studer
1,Sat Oct 24 00:10:17 +0000 2020,@LLUHPhysicians @akshatdoctor @AAPIUSA @LLUChildrens @LLUHealth @AmericanCancer @AAHilliardMD Congratulations @akshatdoctor
2,Fri Oct 23 17:18:46 +0000 2020,"@LLUHPhysicians Thank you so much ☺️ 
Blessed to know many #womeninmedicine at @LLUHealth who support one another!"
3,Thu Oct 22 18:08:35 +0000 2020,"We look forward to having @LLUHealth host an information session on internship, residency and fellowship opportunities that begin July 2021.

Wednesday, October 28
Pechero Hall Room 128 at noon

 Make sure to mark your calendars!"
4,Wed Oct 21 16:41:09 +0000 2020,@LLUHPhysicians @purviparwani @SaifCardsMD @adityadoc1 @AAHilliardMD @LLUHealth @NIH @NCBI @mrjesusnavarro @Syrsid congratulations to you and the team @purviparwani for leading this
5,Tue Oct 20 05:18:39 +0000 2020,@nateyblue @LLUHealth Agree. This is not true.
6,Tue Oct 20 03:45:01 +0000 2020,@nateyblue @Onemanriddle @LLUHealth Unwieldy. Great word! Describes my life at times as well.
7,Tue Oct 20 03:43:26 +0000 2020,"@CaptREC @Onemanriddle @LLUHealth Thanks for chiming in. I have faith in the people I know and respect there, even as I know institutions can be unwieldy. Good to hear."
8,Tue Oct 20 03:33:45 +0000 2020,@Onemanriddle @nateyblue @LLUHealth There is more to the story. Hard to describe in 140 characters. Your Alma Mater is still what you remember.
9,Mon Oct 19 22:02:54 +0000 2020,RT @DrJukesNamm: @sternvascular @JBMatthews @uchicagosurgery Trying to start this tradition at @LLUHealth. And Chopped! Loved everything ab…
10,Mon Oct 19 20:48:02 +0000 2020,@sternvascular @JBMatthews @uchicagosurgery Trying to start this tradition at @LLUHealth. And Chopped! Loved everything about @uchicagosurgery.
