,created_at,full_text
0,Mon Oct 26 18:25:32 +0000 2020,@LSU @LSUOursoCollege Congrats Dr. Llorens!
1,Mon Oct 26 18:04:08 +0000 2020,"@AmyJBrittain @CrimeWritersOn @reblavoie @LSU That makes sense. It’s the Indiana influence. I’m from the Pittsburgh area &amp; people can usually tell because of the “o”.   My mom is from the Philly area so I don’t sound completely Pittsburgh, which is COMPLETELY distinctive, if you’ve never heard it. Anyway, love your work!!!"
2,Mon Oct 26 17:43:59 +0000 2020,@mkline @CrimeWritersOn @reblavoie I was born and raised in Shreveport! Went to college @LSU. My dad is from Indiana. I had no idea I was even saying “Post” in a weird way until I heard from several listeners asking if I was from the Philly area. 😂 I guess I’ve adopted some mid-Atlantic speech patterns.
3,Mon Oct 26 15:52:13 +0000 2020,RT @DFarley1k: 7 on 7 today  @lsu @ 4 #su #lsu
4,Mon Oct 26 15:36:41 +0000 2020,RT @DFarley1k: 7 on 7 today  @lsu @ 4 #su #lsu
5,Mon Oct 26 15:31:28 +0000 2020,Please @lsu @LSUsports @LSUShop save me from this pain
6,Mon Oct 26 15:29:53 +0000 2020,RT @DFarley1k: 7 on 7 today  @lsu @ 4 #su #lsu
7,Mon Oct 26 15:28:09 +0000 2020,7 on 7 today  @lsu @ 4 #su #lsu
8,Mon Oct 26 12:37:43 +0000 2020,Peep the tweets I been told y’all bout @TJFinleyStan goin to @LSU
9,Mon Oct 26 00:15:13 +0000 2020,@wdunlap @Mike_Pence @jjdpower1970 @Coach_EdOrgeron @LSU The AAP actually said children under 10 are able to spread Covid-19 just as easily as adults.
10,Sun Oct 25 23:12:52 +0000 2020,"215,784-San Bernardino, CA
217,827-Tacoma, WA
220,236-Baton Rouge, LA (capital city of Louisiana and home of @LSU)
222,081-Spokane, WA
228,959-Boise, ID (capital city of Idaho and home of @BoiseState)
230,436-Richmond, VA (capital city of VA &amp; home of @VCU &amp; @URichmond)"
11,Sun Oct 25 22:29:21 +0000 2020,@jnorth_3 @LSU should’ve come to ul
12,Sun Oct 25 22:16:35 +0000 2020,"I’m so glad this is the last time I have to deal with your outdated, clunky ass scheduling system @LSU"
13,Sun Oct 25 20:23:40 +0000 2020,"RT @LSU_FOOTBALL_: Hey @Saints , Sean Payton and Mickey Loomis you look like idiots for passing over @Clydro_22  now....I hate your guts !…"
14,Sun Oct 25 20:19:56 +0000 2020,@LSUfootball @LSU Yessir Fellas would be awesome if you guys check this out on Instagram
15,Sun Oct 25 18:08:29 +0000 2020,@indyfromspace @PREAUX_FISH @NMGasparini @500womensci @reneehlozek @LSU Agree
16,Sun Oct 25 16:34:09 +0000 2020,"@eliasricks CONGRATULATIONS ON PICX~6 TO HOUSE, WE SO HAPPY 4 YOU KEEP UP GOOD GO @LSU"
17,Sun Oct 25 14:43:41 +0000 2020,@PREAUX_FISH @NMGasparini @500womensci @DNLee5 @reneehlozek @LSU I'm here for this twitter magic (Prosanta is one of the Best Humans🥰)
18,Sun Oct 25 14:42:26 +0000 2020,@NMGasparini @indyfromspace @500womensci @DNLee5 @reneehlozek Please email me - first name @LSU.edu
19,Sun Oct 25 12:38:15 +0000 2020,@MrBonnington @kristennpaynee @LSU @MrBonnington Your opinion is not a “NEWSFLASH.”
20,Sun Oct 25 12:27:28 +0000 2020,"@WhoDatLisa @kristennpaynee @LSU @WhoDatLisa It seems like you are sincere and empathic; you needed 3 tweets to convey your thoughts. Yet, your #2 spectator statement contradicts your #3 justification for not holding graduation."
21,Sun Oct 25 11:48:40 +0000 2020,"@kristennpaynee @LSU Sorry for you and all grads! My guess, it is a faculty decision and not Tom Galligan’s. LSU’s faculty doesn’t control ATH Dept. decisions. [C-19 and politics]"
22,Sun Oct 25 08:34:49 +0000 2020,"Someone ask me if I wanted to be the Vice President with them?!?
I would do it too!!!😎Since I was in Student govt in high school &amp; college dems @LSU(helping w/political functions &amp; meeting the Louisiana Politicians)

im from Illinois the LAND OF THE LINCOLN so im breaded as good"
23,Sun Oct 25 04:51:05 +0000 2020,"@LSU Y’all don’t give a damn about your students, just the money that comes with them"
24,Sun Oct 25 03:48:34 +0000 2020,Really @LSU? You have people in the stands for football games but can’t have a commencement for your students that pay for years for a degree? I guess LSU sports is more important than LSU students...
25,Sun Oct 25 03:29:46 +0000 2020,@Creole1Queen @LSU Cool
26,Sun Oct 25 02:54:15 +0000 2020,My @LSU tigers won tonight. #geauxtigers
27,Sun Oct 25 02:52:26 +0000 2020,RT @MurdockResists: @SteveBenjaminSC @LSU @GamecockFB We all need free access to rapid #COVID19 testing too!
28,Sun Oct 25 02:43:30 +0000 2020,RT @Cambrynnc: Let the band play WAP @LSU
29,Sun Oct 25 02:29:00 +0000 2020,RT @Cambrynnc: Let the band play WAP @LSU
30,Sun Oct 25 02:11:52 +0000 2020,@MikeTaylorUSC82 @PrimeTime1014 @LSU offense has been good all year. The defense had two weeks to prepare for this game so i wouldn't be that upset if i was a gamecock fan. Plus they never won in Baton Rouge since 94😂😂
31,Sun Oct 25 02:06:40 +0000 2020,"@LSU Love how I was told at 3:30am that I schedule tomorrow, giving me no time to schedule w my advisor and having to wing my final semester on my own"
32,Sun Oct 25 02:00:00 +0000 2020,"as this game comes to an end, i'd like to thank @LSU for the help they gave us during the hurricanes and floods in columbia a few years back. none of it was required, and they did it anyways. class act. 💕"
33,Sun Oct 25 01:59:17 +0000 2020,so how many retweets for TJ Finley to be our starting QB from here on out @LSU ?
34,Sun Oct 25 01:47:13 +0000 2020,RT @Cambrynnc: Let the band play WAP @LSU
35,Sun Oct 25 01:45:09 +0000 2020,RT @Cambrynnc: Let the band play WAP @LSU
36,Sun Oct 25 01:42:36 +0000 2020,RT @cjlake: This is a @jawaun826 appreciation tweet because I just know somewhere in that @LSU student section he’s out there doing a prais…
37,Sun Oct 25 01:39:22 +0000 2020,RT @Cambrynnc: Let the band play WAP @LSU
38,Sun Oct 25 01:34:19 +0000 2020,"@brandonrpowell @Unthinkable_ye @GamecockFB @LSU @Saints Yeah well i have cousins that play,played and coach @LSU so I've seen a the ugly years"
