,created_at,full_text
0,Mon Oct 26 13:11:58 +0000 2020,"Don’t forget, @LATech advising begins today!"
1,Mon Oct 26 05:56:46 +0000 2020,@Jeff_Sharon @EWOOD_UCF @LATech I like to schedule some games with @latech just saying
2,Mon Oct 26 00:40:48 +0000 2020,"@laurenrob4 @starlajg_97 @LATech 😭 Gracious, you two know how to make a person feel loved. ❤️❤️ Thank you! I am blessed because of my students."
3,Sun Oct 25 23:18:27 +0000 2020,"@starlajg_97 @LATech @jrobertslatech Happy birthday, Dr. Roberts!!!!"
4,Sun Oct 25 20:18:32 +0000 2020,@starlajg_97 @LATech @jrobertslatech The best woman ever
5,Sun Oct 25 19:10:35 +0000 2020,"Happy birthday to the best professor at @LATech, the wonderful @jrobertslatech! She is probably the only reason I graduated, if I’m being totally honest."
6,Sun Oct 25 16:36:17 +0000 2020,@jrobertslatech @LATech I’ll visit as soon as Covid settles down. If it ever does :/
7,Sun Oct 25 16:23:07 +0000 2020,"@kendalllewis611 @LATech Thank you, Kendall!! I miss your sweet face!! ❤️❤️"
8,Sun Oct 25 16:13:47 +0000 2020,Happy Birthday to the best professor at @LATech ! Thank you for always believing and supporting me! I couldn’t have done it without you! @jrobertslatech
9,Sun Oct 25 10:25:22 +0000 2020,Just up thinking when they go notice 99 a man @HailStateFB @ULLafayette @LATech
10,Sun Oct 25 03:35:31 +0000 2020,So you are down 1 with a minute to go. And you put a QB in who hasn’t played all night?  @CoachSHoltz needs to be fired immediately @LATechFB @LATech Just wow. I used to love watching LA Tech. What a shit show.
11,Sat Oct 24 22:40:59 +0000 2020,@LATech @EWOOD_UCF @LATechSports Congrats to you and the family!
12,Sat Oct 24 17:14:54 +0000 2020,@LATech @EWOOD_UCF @LATechSports omgosh what a precious family
13,Sat Oct 24 14:37:38 +0000 2020,@LATech @EWOOD_UCF @LATechSports One of the very best!
14,Sat Oct 24 13:59:31 +0000 2020,@LATech @EWOOD_UCF @LATechSports Welcome Dr. Wood. Best to you and your family.
15,Sat Oct 24 11:34:48 +0000 2020,@LATech @EWOOD_UCF @LATechSports Ruston take of that family. UCF will miss them.
16,Sat Oct 24 04:19:33 +0000 2020,@LATechSports @NACDA @EWOOD_UCF @LATech Congratulations
17,Sat Oct 24 02:56:50 +0000 2020,@A_Henderson31 @nfoura @EWOOD_UCF @LATech @LATechSports Awesome!
18,Sat Oct 24 02:04:34 +0000 2020,@LATech @EWOOD_UCF @LATechSports Louisiana Tech is getting one hell of a man. Congrats @EWOOD_UCF
19,Sat Oct 24 01:34:21 +0000 2020,@LATechSports @EWOOD_UCF @LATech Congratulations to my friend @EWOOD_UCF! He is a man of faith and principles. Will be a great leader for @LATechSports. Best of luck!
20,Fri Oct 23 22:34:36 +0000 2020,"@UCFDannyWhite @EWOOD_UCF @LATech @LATechSports Congratulations, Eric! So happy to have gotten to work with you. We’ll miss your family, too!"
21,Fri Oct 23 22:25:30 +0000 2020,@LATechSports @okingcoach @EWOOD_UCF @LATech Congratulations
22,Fri Oct 23 21:42:59 +0000 2020,@JeffSkversky @6abc @BostonScott2 @NFL_Stats @BleedingGreen @ESPNStatsInfo @MySportsUpdate @Tim_McManus @LATech @EaglesInsider @36westbrook does he have 5 or 6 career touchdowns?
23,Fri Oct 23 19:54:33 +0000 2020,@LATech @EWOOD_UCF @LATechSports DUDE!!! Super congrats!! Praise God!!
24,Fri Oct 23 19:18:52 +0000 2020,@LATechSports @NACDA @EWOOD_UCF @LATech Congratulations!
25,Fri Oct 23 18:52:28 +0000 2020,@LATech @EWOOD_UCF @LATechSports Congratulations from @Grambling1901 #GramFam.
26,Fri Oct 23 18:51:05 +0000 2020,"@LATechSports @EWOOD_UCF @LATech We at UCF are really going to miss him, and La Tech is getting a rising star. It was was only a matter of time before someone was going to swoop down and give him the opportunity he deserves!"
27,Fri Oct 23 18:41:18 +0000 2020,@LATech @EWOOD_UCF @LATechSports Love this whole family!! ❤️
28,Fri Oct 23 18:33:37 +0000 2020,@lkguice @EWOOD_UCF @LATech Precious family! Welcome to Tech! ❤️💙
29,Fri Oct 23 17:31:22 +0000 2020,@LATechSports @NACDA @EWOOD_UCF @LATech Congrats
30,Fri Oct 23 15:53:01 +0000 2020,Trump supporters the main ones that think like this too so I’m gonna blame him for these groups of highly uneducated students at @LATech that refuse to wear a mask on campus.
31,Fri Oct 23 04:56:11 +0000 2020,@TerryPrentice @LATech @LATechSports @EWOOD_UCF He truly is a servant Leader. LaTech got it right.   He will do great and mighty things there.  The best is yet to come for Dr. Eric Wood.
32,Fri Oct 23 03:41:36 +0000 2020,RT @PaulKabbes: Remove potential. Game winner confirmed for the 2020 @LATech Young Alum of the Year. Great day for the Dogs.
33,Fri Oct 23 03:39:05 +0000 2020,Remove potential. Game winner confirmed for the 2020 @LATech Young Alum of the Year. Great day for the Dogs.
34,Thu Oct 22 21:06:00 +0000 2020,"@UCFDannyWhite @EWOOD_UCF @LATech @LATechSports Congratulations, @EWOOD_UCF !!!! You’re the BEST!!! Thank you for making UCF GREAT!!! Charge on!!!! 🖤💛🙌🏼"
35,Thu Oct 22 20:40:38 +0000 2020,@UCFDannyWhite @EWOOD_UCF @LATech @LATechSports Congratulations Dr. Wood! We will miss you! Best of luck!
36,Thu Oct 22 19:52:44 +0000 2020,@UCFDannyWhite @EWOOD_UCF @LATech @LATechSports Congrats @EWOOD_UCF! Thank you for all you've done at UCF and good luck in this next chapter!
37,Thu Oct 22 19:03:20 +0000 2020,@TerryPrentice @LATech @LATechSports @EWOOD_UCF Agree! Congratulations Eric.
38,Thu Oct 22 18:50:59 +0000 2020,@UCFDannyWhite @EWOOD_UCF @LATech @LATechSports Congratulations and best of luck.
39,Thu Oct 22 18:44:04 +0000 2020,"@UCFDannyWhite @EWOOD_UCF @LATech @LATechSports Good luck @EWOOD_UCF 
#OnceaKnightAlwaysaKnight"
40,Thu Oct 22 18:24:11 +0000 2020,@TerryPrentice @LATech @LATechSports @EWOOD_UCF Love this! Congrats @EWOOD_UCF!
41,Thu Oct 22 18:16:47 +0000 2020,@LATechSports Congratulations @EWOOD_UCF!! Well deserved and heck of a hire by @LATech!
42,Thu Oct 22 17:53:10 +0000 2020,"RT @DrBryanZygmont: Welcome to the @LATech team, @EWOOD_UCF! Looking forward to having you on campus (and a new Twitter handle). :)"
43,Thu Oct 22 17:51:35 +0000 2020,"Welcome to the @LATech team, @EWOOD_UCF! Looking forward to having you on campus (and a new Twitter handle). :)"
44,Thu Oct 22 11:52:13 +0000 2020,@DrJBHenderson @LATech @lkguice Looks like a catcher
45,Thu Oct 22 09:56:18 +0000 2020,@DrJBHenderson @LATech @lkguice I will keep an eye on him at SLU 👍🏻
46,Thu Oct 22 03:12:13 +0000 2020,@DrJBHenderson @LATech @lkguice 👏🏾👏🏾👏🏾 Kudos to the social media manager!  Somebody deserves a bonus.
47,Thu Oct 22 02:05:37 +0000 2020,"@DrJBHenderson @LATech @lkguice Come on @DrJBHenderson, as if this kid's not going to understand the value of the @LATech  education. 
🧠over💪 #BrainsvsBrawn"
48,Thu Oct 22 01:24:43 +0000 2020,@DrJBHenderson @LATech @lkguice What a cutie!
49,Thu Oct 22 01:24:23 +0000 2020,"@DrJBHenderson @LATech Well, we are ready to offer an all-sport scholarship for him! #ContinuetheLegacy"
50,Wed Oct 21 14:13:11 +0000 2020,"RT @jrobertslatech: A few things:
1. @LATech advising is next week. 2. Get your flu shot. 
3. Go vote.
4. Wash your hands, mask up, social…"
51,Wed Oct 21 13:43:52 +0000 2020,"A few things:
1. @LATech advising is next week. 2. Get your flu shot. 
3. Go vote.
4. Wash your hands, mask up, social distance.

And happy Wednesday to you all."
