,created_at,full_text
0,Mon Oct 26 16:41:41 +0000 2020,Charise received her BA in Criminal Justice with a Minor in English and a BA in African American Studies from @LoyolaChicago . She is currently working to complete a Masters in Accounting at @Concordia  with a minor in Non Profit Business Management.
1,Mon Oct 26 04:08:28 +0000 2020,@AmeetRKini @LoyolaHSD @LoyolaChicago @KMirza @Vijuananthan @ashleyiann Welcome to the ASN fam!
2,Sun Oct 25 22:09:17 +0000 2020,"In Chicago a parent who happens to be a microbiology &amp; immunology professor at @LoyolaChicago developed a testing plan for his child’s school district @lagrange_102 saying “if you have the opportunity to engage in a process of surveillance like this-obviously, I'm a big believer”"
3,Sun Oct 25 21:55:15 +0000 2020,@AmeetRKini @LoyolaHSD @LoyolaChicago @Vijuananthan @ashleyiann Congratulations!! 👏🏽👏🏽👏🏽
4,Sun Oct 25 20:45:23 +0000 2020,@AmeetRKini @LoyolaHSD @LoyolaChicago @KMirza @Vijuananthan Thank you Dr Kini!
5,Sun Oct 25 17:09:14 +0000 2020,"@chicagosmayor WHAT ARE YOU DOING ABOUT THE SEX RING AT @LoyolaChicago 

@realDonaldTrump PLEASE HELP @LoyolaChicago AND THE CITY OF @ChooseChicago"
6,Sun Oct 25 16:55:59 +0000 2020,@chicagosmayor what are you doing about the SEX RING GOING ON AROUND @LoyolaChicago !!!!
7,Sun Oct 25 14:36:43 +0000 2020,@IndivisibleChi Great work from @LoyolaChicago students. #VOTE
8,Sun Oct 25 02:47:48 +0000 2020,"@MeganEddy @LoyolaChicago @loyolaforus To be clear, it would be wonderful to fund doctoral students like Loyola’s neighbors to the north and south, but being much more tuition-dependent than them poses financial constraints."
9,Sat Oct 24 22:09:29 +0000 2020,@amofarrellharp @CMCIreland @LoyolaChicago Thank you for tuning in! It is our pleasure to have presented Jane O’Leary’s work!
10,Sat Oct 24 22:03:11 +0000 2020,"@CMCIreland @KaleidoMusArt @LoyolaChicago Congratulations, Jane on a wonderful concert! Doing Ireland proud as ever! #nationaltreasure #magnificentBagatelles"
11,Sat Oct 24 14:13:09 +0000 2020,"@Tim_Classen @LoyolaChicago @loyolaforus Loyola grad students current stipends are below a living wage for Chicago and that is a problem. Our stipends are also are far lower than our colleagues at other institutions in Chicago. Also, that an adjunct would have to teach 6 classes to get that much is also a problem."
12,Fri Oct 23 22:37:26 +0000 2020,"@EverJudson @LoyolaChicago @chicagotribune Thanks, Judson! I have dreams of analyzing these data from an inhabited institutions perspective."
13,Fri Oct 23 16:30:50 +0000 2020,"@WC4BLStritchSOM @jessicaleanice @LoyolaMedMD @loyolabioethics @LoyolaIMRES @LoyolaHSD @HSCMinistry @LoyolaMedDH @LoyolaOnc @LoyolaVascular @LoyolaHealth @LoyolaChicago @t_reed_t @tiffku @MelissaDAndrea4 @ZaidiRabab @MedTootMD @KMirza @kristenak003 @kristinekhieu @antiracistnow @AmeetRKini @AbbyOttoMD @jsabbott33 @nmcodispoti @TZimmermanED @ghschweitzer @em_stranges @S_Glick716 @HinesVAH @citywolf26 Thank you so much for organizing this, I can't wait!"
14,Fri Oct 23 01:55:55 +0000 2020,@debates @OwlsJournalism @MuBeta_AKAs @IndianaAMSA @egeroulis @LoyolaChicago @busboysandpoets CUT the Mic as YOU said you would. Rules only apply to none Trumps?
15,Thu Oct 22 16:57:41 +0000 2020,@TheDocMack @LoyolaChicago I enjoyed it. It was great to get 40 min. worth of questions afterwards!  You have a good group there.
16,Thu Oct 22 16:03:50 +0000 2020,@DonaldJTrumpJr @LoyolaChicago FIX IT
17,Wed Oct 21 20:10:22 +0000 2020,Thankful for @LoyolaChicago since @OSFHealthCare doesn’t care
18,Wed Oct 21 12:29:34 +0000 2020,@DocZo All these words about “allegations”... I haven’t been keeping track but too many issues and instances of racism and hostility @LoyolaChicago every year- that are hidden &amp; ignored. All these words about “discrimination” and nothing on toxicity. We don’t initiatives we need change.
19,Wed Oct 21 05:05:36 +0000 2020,"RT @jessicaleanice: The first step in addressing racism, diversity, equity &amp; inclusion, is acknowledging the associated problem &amp; making a…"
20,Wed Oct 21 02:46:02 +0000 2020,"@ARCSIllinois @LoyolaChicago @ARCSFoundation Thank you! I’m a PhD student at UChicago, where can I find out more?"
21,Tue Oct 20 20:23:07 +0000 2020,"@LoyolaChicago feel free to give your students an answer:

 People going to LUC do you think next semester will be..."
22,Tue Oct 20 18:22:39 +0000 2020,"The first step in addressing racism, diversity, equity &amp; inclusion, is acknowledging the associated problem &amp; making a commitment for change.

Thank you, President Rooney for stating clearly that “Black Lives Matter” to @LoyolaChicago and to you personally. Now let’s get to work!"
