,created_at,full_text
0,Mon Oct 26 14:02:43 +0000 2020,"@AnonymousEagle @MarquetteU @MUSpiritShop no, because I knew someone would for me"
1,Mon Oct 26 13:55:37 +0000 2020,@MarquetteU You are Marquette
2,Mon Oct 26 13:28:01 +0000 2020,"This week, the bus will make its way to college campuses around the state encouraging young people to get out and vote! 

First up, @MarquetteU and @UWM! 🚌"
3,Mon Oct 26 00:12:01 +0000 2020,@jmcadams @MarquetteAlumni @MarquetteU Yas but don't neglect the boys
4,Sun Oct 25 23:54:15 +0000 2020,"@ShermanJeff @CoachKillingsDK @CoachGainey @thechuckswoboda @coaches4action @MarquetteU @MarquetteMBB Glad you enjoyed! Thanks for listening, @ShermanJeff 👏"
5,Sun Oct 25 18:04:30 +0000 2020,@jmcadams @MarquetteAlumni @MarquetteU Her proper title is Based Mom.
6,Sun Oct 25 08:24:41 +0000 2020,@aluthern @TMJ4Steve @MilwaukeePolice @DAJohnChisholm And I’m not ‘q’anon’ or an unfounded conspiracist or radical anything. I am a concerned citizen that was there and saw what happened. I took @mdesisti’s photojournalism course at @MarquetteU And maybe he could verify that I’m not some random trying to make things worse or troll.
7,Sun Oct 25 00:37:22 +0000 2020,@MarquetteMBB @MarquetteU False positives are common with certain testing techniques.
8,Sat Oct 24 18:04:54 +0000 2020,@GDBJr5 @MarquetteU It’s pretty crazy. Moving them in after doing it with my roommate 30 yrs ago was surreal. They are a great family so lucky they are rooming together at such an awesome school!
9,Sat Oct 24 17:09:38 +0000 2020,@mack_oxenden @MarquetteU Wowza! Very cool! WI Rules even in #Smalltimore
10,Sat Oct 24 15:14:12 +0000 2020,"Just in case you were wondering, I do have a PhD in SCIENCE from the actual Harvard of the Midwest, @MarquetteU"
11,Sat Oct 24 11:59:08 +0000 2020,@AmeliaJonesTV @MarquetteU @fox6now Welcome to MKE!
12,Sat Oct 24 08:27:01 +0000 2020,@michaelzimmer @MarquetteU This blows my mind that there’s no testing. We’re going to hit 100k tests this coming week.
13,Sat Oct 24 03:17:57 +0000 2020,@wadekaps @MarquetteU @Pontifex @EqualityToledo @DioceseToledo The governor's shut their states down not Trump. Your statements to me were not just a mistake they were out right lies.
14,Sat Oct 24 03:15:28 +0000 2020,@wadekaps @MarquetteU @Pontifex @EqualityToledo @DioceseToledo I didn't didn't know this. I watched you on the news today talking about the jobs lost. I am an independent voter. But your comments have made it clear to me that voting for a Democrat is voting for liars. You know the job loss is totally due to the COVID 19 and the governor's.
15,Sat Oct 24 03:06:17 +0000 2020,"""Caught up in those emotions, a gust of wind swept me and the tree above me, sending a wave of leaves through the air, and one landed right in my spiritual journal, covering all but one phrase: let go. This one moment truly embodied finding God in everything for me."""
16,Sat Oct 24 02:47:55 +0000 2020,"@profjsg @MarquetteU We have conducted 2,726."
17,Sat Oct 24 01:43:56 +0000 2020,@michaelzimmer @MarquetteU Irresponsible. SU has conducted 70k tests since the start of the term.
18,Sat Oct 24 01:35:05 +0000 2020,@michaelzimmer @MarquetteU Are you guys in competition with BGSU for least responsible and least ethical COVID response? We will kick your ass!
19,Sat Oct 24 00:35:32 +0000 2020,@alvie_barr Ignatian Spirituality at @MarquetteU .  Hands down one of the best courses ever.
20,Sat Oct 24 00:13:45 +0000 2020,Today on a walk I somehow managed to run into someone I was friends with freshman year @MarquetteU who moved to Baltimore a few weeks ago and I can’t get over how crazy it is!!!!Smalltimore is TOO TRUE
21,Fri Oct 23 23:42:56 +0000 2020,@AmeliaJonesTV @MarquetteU @fox6now Good Luck to you!
22,Fri Oct 23 21:08:46 +0000 2020,@MarquetteMBB @MarquetteU Not a good week for MUHoops
23,Fri Oct 23 20:49:23 +0000 2020,@DanRShafer @Amy__Bailey @MarquetteU Thank you both!
