,created_at,full_text
0,Mon Oct 26 18:34:50 +0000 2020,@WSAZColegrove @marshallu Old school snorting Marco... always a winner
1,Mon Oct 26 02:02:41 +0000 2020,"@couple_suburban @marshallu @BreitbartNews Sorry
Never got to this last month...
Suspension is bs"
2,Mon Oct 26 01:51:13 +0000 2020,"@marshallucohp @marshallu We are the Mobile PCR Container Lab factory for the testing of COVID-19,which can avoid and prevent the infection..."
3,Sun Oct 25 15:49:55 +0000 2020,PUT @marshallu IN THE @American_Conf !!!!!!!!!!!!!!
4,Sat Oct 24 21:58:10 +0000 2020,My Alma mater @marshallu is a football school!  @HerdFB 5-0 💚 🏈 💚
5,Sat Oct 24 21:11:57 +0000 2020,There have been more flags in this game than at Arlington National Cemetery on Veterans Day. 🤦‍♀️ #MUvsFAU @Marshallu @herdfb #GoGreen
6,Sat Oct 24 21:08:12 +0000 2020,@ms_stealyofood @MattJamesMU @MarshalluPres @marshallu @marshallustuaff @HerdAlumni @johnnydesciple Thank you! ❤️🤩
7,Sat Oct 24 20:56:21 +0000 2020,@ddsportsology @Kerrymagro @marshallu Thanks for your interest! This fundraiser is already set up for content. I hope there will be an opportunity in the future
8,Sat Oct 24 19:36:21 +0000 2020,@ms_stealyofood @MattJamesMU @MarshalluPres @marshallu @HerdAlumni @johnnydesciple @ZahavaE712 Yeah she does!!
9,Sat Oct 24 19:34:47 +0000 2020,@MattJamesMU @MarshalluPres @marshallu @marshallustuaff @HerdAlumni @johnnydesciple @ZahavaE712 stays gettin the money shots! 💚
10,Sat Oct 24 17:38:19 +0000 2020,@LMarcEllison @Kerrymagro @marshallu I would love to speak at your event virtually on 12/5/20
11,Sat Oct 24 16:46:12 +0000 2020,@MissMend @marshallu Ha! Same! This made me laugh out loud. That’s hard to do.
12,Sat Oct 24 14:46:04 +0000 2020,"@marshallu homecoming this year is bittersweet. My mom won’t be reunited w/ her old MU majorette friends, my dad and brothers won’t get to meet up with their fraternity bros and I won’t get to see the 3 people from one of my accounting group projects."
