,created_at,full_text
0,Mon Oct 26 18:06:27 +0000 2020,"RT @lsusskind: Shekhar’s masterful encapsulation of our extended conversations include videos, letters and commentaries from more than a do…"
1,Mon Oct 26 17:44:21 +0000 2020,"Shekhar’s masterful encapsulation of our extended conversations include videos, letters and commentaries from more than a dozen colleagues, coauthors and former @MIT students."
2,Mon Oct 26 17:18:25 +0000 2020,"@Santiag78758327 @XrpAda2 @RealVision @gverdian @quant_network @MIT @Bitso Does it have any point of value in using the interledger , does it put any layer of extra security ? There is not much i can find on the utility , so many videos"
3,Mon Oct 26 16:56:34 +0000 2020,@Roodjood1 @XrpAda2 @RealVision @gverdian @quant_network @MIT @Bitso The token allows for cross-border value transfer. It's a proxy for liquidity between fiat pairings. For example USD ($) -&gt; XRP -&gt; MEX (peso). This arrangement negates the need for corresponding accounts (Nostro/Vostro) between FI's by using a high performing supra-national DA.
4,Mon Oct 26 16:41:51 +0000 2020,@Santiag78758327 @XrpAda2 @RealVision @gverdian @quant_network @MIT @Bitso For what is the xrp token needed if i nay ask?
5,Mon Oct 26 16:35:54 +0000 2020,"@MIT Waooo great work ..
🙌👍❤"
6,Mon Oct 26 16:28:38 +0000 2020,"RT @adamcohen: Today we announced that @Accenture is joining forces with @MIT to explore, ideate, and learn about the convergence of indust…"
7,Mon Oct 26 16:20:14 +0000 2020,RT @brianringley: @NatGMac @CITAcph @icdstuttgart @ETH_en would be my tier 1 followed by @BartlettArchUCL @CarnegieMellon @MIT. if you don'…
8,Mon Oct 26 16:20:01 +0000 2020,@MIT Good or bad!?
9,Mon Oct 26 16:15:14 +0000 2020,@MIT @NPR Fine. Remember this when Trump wins and the left starts claiming voter fraud.
10,Mon Oct 26 16:09:25 +0000 2020,@bansodeashish24 @IBM @qubitbyqubit @MIT @UniofOxford Thanks a lot!!! 😃 You're so kind!
11,Mon Oct 26 15:48:50 +0000 2020,"@fjsanchezrivera @MIT @kochinstitute Agreed. Tyler is an amazing scientist, mentor, and leader. He's the latest in a great line of leaders they've had @kochinstitute / CCR. Congrats to him on all his success!"
12,Mon Oct 26 15:31:56 +0000 2020,@GallenoGiovanna @IBM @qubitbyqubit @MIT @UniofOxford Thank you @GallenoGiovanna! Congratulations to you too🎊
13,Mon Oct 26 15:11:07 +0000 2020,@MIT Helpful
14,Mon Oct 26 15:06:45 +0000 2020,@MIT Amazing Research!
15,Mon Oct 26 14:48:24 +0000 2020,@bansodeashish24 @IBM @qubitbyqubit @MIT @UniofOxford Congratulations 🎉🎉🎉
16,Mon Oct 26 14:07:11 +0000 2020,@MIT interesting!
