,created_at,full_text
0,Thu Oct 22 07:42:33 +0000 2020,@DrNicteMejia @MayoClinic @elevatemedinc @PorterAlyx @MassGeneralNews @MGHNeurology @MayoClinicSOM @AANMember @SpelmanCollege @TempleUniv @MayoClinicNeuro May we have the honor to send you the device publication and introduction per mail for further cooperation discussion? Our contact is info@delicasz.com; What is your hospital/institution and email contact?
1,Thu Oct 22 07:42:16 +0000 2020,@DrNicteMejia @MayoClinic @elevatemedinc @PorterAlyx @MassGeneralNews @MGHNeurology @MayoClinicSOM @AANMember @SpelmanCollege @TempleUniv @MayoClinicNeuro Dear Sir/Madam. This is Delica Medical who is working on robotic-TCD for neuro ICU cerebral automatic monitoring and multimodal solutions. We have reference sites across Europe and USA.
2,Thu Oct 22 04:20:07 +0000 2020,@chapougnier @MayoClinicSOM That picture will have to come later. Still convincing him that jackets and gloves are not torture equipment.
3,Thu Oct 22 02:34:54 +0000 2020,@jffmchm @MayoClinicSOM Where are the pics of Theo in a snowsuit?!
4,Wed Oct 21 17:12:43 +0000 2020,@SarahMerrillms @MayoClinicSOM So cool he replied to you @SarahMerrillms 😲
5,Wed Oct 21 16:45:39 +0000 2020,"RT @SarahMerrillms: When asked what makes a good #neurosurgery resident, @drdavidlanger shares, “Be humble. Be willing to say ‘I don’t know…"
6,Wed Oct 21 16:43:22 +0000 2020,"RT @SarahMerrillms: When asked what makes a good #neurosurgery resident, @drdavidlanger shares, “Be humble. Be willing to say ‘I don’t know…"
7,Wed Oct 21 15:05:24 +0000 2020,"RT @SarahMerrillms: When asked what makes a good #neurosurgery resident, @drdavidlanger shares, “Be humble. Be willing to say ‘I don’t know…"
8,Wed Oct 21 10:58:50 +0000 2020,"RT @SarahMerrillms: When asked what makes a good #neurosurgery resident, @drdavidlanger shares, “Be humble. Be willing to say ‘I don’t know…"
9,Wed Oct 21 10:17:03 +0000 2020,"RT @SarahMerrillms: When asked what makes a good #neurosurgery resident, @drdavidlanger shares, “Be humble. Be willing to say ‘I don’t know…"
10,Wed Oct 21 07:26:57 +0000 2020,"RT @SarahMerrillms: When asked what makes a good #neurosurgery resident, @drdavidlanger shares, “Be humble. Be willing to say ‘I don’t know…"
11,Wed Oct 21 06:11:37 +0000 2020,"RT @SarahMerrillms: When asked what makes a good #neurosurgery resident, @drdavidlanger shares, “Be humble. Be willing to say ‘I don’t know…"
12,Wed Oct 21 05:30:52 +0000 2020,"When asked what makes a good #neurosurgery resident, @drdavidlanger shares, “Be humble. Be willing to say ‘I don’t know.’ Be willing to ask for help and to admit when you’ve made a mistake.” Thank you Dr Langer for taking time to share your wisdom with us tonight! @MayoClinicSOM"
13,Tue Oct 20 01:04:06 +0000 2020,"@ysaralee @MayoClinicSOM Alright pack it up, Netters"
14,Mon Oct 19 17:32:16 +0000 2020,@ConorSheahan7 @traumaicurounds @MayoClinicSOM Haha thank you! 🙂
15,Mon Oct 19 17:30:41 +0000 2020,@ela201333 @MayoClinicSOM Thank you 🙂
16,Mon Oct 19 17:30:32 +0000 2020,@RichardFerro @MayoClinicSOM Thank you! 🙂
17,Mon Oct 19 17:30:20 +0000 2020,@MoekoNagatsuka @MayoClinicSOM Thank you @MoekoNagatsuka!
18,Mon Oct 19 15:34:52 +0000 2020,@ysaralee @MayoClinicSOM Those drawings!! 🔥🔥🔥
19,Mon Oct 19 15:25:18 +0000 2020,@ysaralee @traumaicurounds @MayoClinicSOM Anatomy note goals
20,Mon Oct 19 15:16:26 +0000 2020,@ysaralee @MayoClinicSOM You are so talented!
21,Mon Oct 19 14:53:47 +0000 2020,"@ysaralee @MayoClinicSOM Lady, you are pure talent!"
22,Mon Oct 19 00:35:08 +0000 2020,@reininsarcoma @MayoClinicSOM @MayoCancerCare Well deserved!!!
23,Sun Oct 18 06:29:09 +0000 2020,"@DrLaPrincess @MayoClinicSOM @Tomi_Ifelayo @ABCardio1 Um, @Tomi_Ifelayo should I be calling you DR. IFELAYO yet?! Sorry, genuine q because I’ve seen other M4s with this “,MD” and I want to make sure I am clapping as loud as I should be!"
