,created_at,full_text
0,Sat Oct 24 01:07:03 +0000 2020,@MCWmsgc @MedicalCollege @mcwgradschool Congratulations!!
1,Sat Oct 24 00:43:11 +0000 2020,@MCWmsgc @MedicalCollege @mcwgradschool Congratulations
2,Fri Oct 23 18:20:09 +0000 2020,@sciencescarves @JBruno312 @MedicalCollege Gideon?
3,Fri Oct 23 17:19:34 +0000 2020,@JBruno312 @MedicalCollege @MCWCancerCenter Can we name him?
4,Fri Oct 23 17:18:03 +0000 2020,RT @mmteacherdoc: Thanks to Dr. @OdinakachukwuE5 for presenting a virtual workshop on microaggressions in medicine at @MedicalCollege tonig…
5,Fri Oct 23 16:47:38 +0000 2020,A @MedicalCollege epidemiology professor who researches tribal health issues points to changing weather and the opening of universities and schools in the fall as a catalyst that contributed to the rise in COVID-19 cases among American Indians in Wisconsin.
6,Fri Oct 23 16:37:54 +0000 2020,@mmteacherdoc @MedicalCollege @LouiseAronson @UCSFMedicine is there a video link?
7,Fri Oct 23 16:09:49 +0000 2020,"RT @mmteacherdoc: Outstanding @MedicalCollege Dept of Medicine Grand Rounds from Dr. @LouiseAronson @UCSFMedicine - ""COVID-19, Older Adults…"
8,Fri Oct 23 13:50:51 +0000 2020,"RT @mmteacherdoc: Outstanding @MedicalCollege Dept of Medicine Grand Rounds from Dr. @LouiseAronson @UCSFMedicine - ""COVID-19, Older Adults…"
9,Fri Oct 23 13:45:09 +0000 2020,"RT @mmteacherdoc: Outstanding @MedicalCollege Dept of Medicine Grand Rounds from Dr. @LouiseAronson @UCSFMedicine - ""COVID-19, Older Adults…"
10,Fri Oct 23 13:25:55 +0000 2020,"Outstanding @MedicalCollege Dept of Medicine Grand Rounds from Dr. @LouiseAronson @UCSFMedicine - ""COVID-19, Older Adults, and the Future of Elderhood"" - starting with a review of the progression from January 2020 through current date. Heartbreaking stories and data."
11,Fri Oct 23 01:49:31 +0000 2020,"@MedicalCollege Why isn't the med community speaking up about the disinformation from the GOP.   Make the GOP legislature who won't convene, and their supporters who don't wear masks, dig the graves of the dead."
12,Fri Oct 23 01:26:34 +0000 2020,"@EthicalStudents @MedicalCollege How empathetic of them to help us after months. So helpful, I guess?"
13,Wed Oct 21 21:37:50 +0000 2020,"@BreckLandscape @MCWPresident @MKEBizJournal @MedicalCollege @GovEvers Just scroll up a little bit, that isn't what happened. I really doubt anyone will care, I certainly don't."
14,Wed Oct 21 21:27:15 +0000 2020,"@BreckLandscape @MCWPresident @MKEBizJournal @MedicalCollege @GovEvers I did not draw a conclusion, I made a observation and then asked a question. I'm sorry if you feel like I mocked you I didn't mean to hurt your feelings."
15,Wed Oct 21 20:49:42 +0000 2020,"@BreckLandscape @MCWPresident @MKEBizJournal @MedicalCollege @GovEvers It wasn't an assumption, I was in northern Wisconsin last week for work."
16,Wed Oct 21 20:30:02 +0000 2020,"@BreckLandscape @MCWPresident @MKEBizJournal @MedicalCollege @GovEvers 🤣🤣LMAO, asking a question means that you are drawing a conclusion. That is hilarious."
17,Wed Oct 21 20:12:02 +0000 2020,@BreckLandscape @MCWPresident @MKEBizJournal @MedicalCollege @GovEvers Who was drawing conclusions?
18,Wed Oct 21 18:58:46 +0000 2020,"Explored the @MedicalCollege #ProfessionalismWeek theme (""Looking Inward, Outward, and Forward"") with our 2nd #CulturalComplications module on #diversity. 

Thanks @eastrong16 and #jackieblank for leading discussion and to all the faculty, residents, and staff who participated!"
19,Wed Oct 21 18:53:30 +0000 2020,"@BreckLandscape @MCWPresident @MKEBizJournal @MedicalCollege @GovEvers What study said that 40% compliance is the magic number?

It could be testing, cycles, and data point aggregation, but at this point it is just conjecture and not scientific analysis."
20,Wed Oct 21 18:15:24 +0000 2020,@BreckLandscape @MCWPresident @MKEBizJournal @MedicalCollege @GovEvers It is mainly spread through respiratory droplets. So the other variable would be if you spend time within 6 feet of someone who is infected. Since masks are effective at capturing respiratory droplets they help to reduce the viral load.
21,Wed Oct 21 17:37:29 +0000 2020,@BreckLandscape @MCWPresident @MKEBizJournal @MedicalCollege @GovEvers In the study everything is normalized to 1 based on no mask wearing.
22,Wed Oct 21 17:21:36 +0000 2020,@DoctorJesseMD @AmerMedicalAssn @ASALifeline @ahwendowment @MedicalCollege Congratulations!🎊🎉🎈
23,Wed Oct 21 16:48:57 +0000 2020,"@MDardanius @MCWPresident @MKEBizJournal @MedicalCollege @GovEvers Analyzing the materials used in masks to determine their porosity is fine scientific data. 

My question, however, revolves around the assumption that even though we implemented these measures, cases rose and the cause was improper or non compliance. 

Where’s the control group?"
24,Wed Oct 21 16:38:45 +0000 2020,@BreckLandscape @MCWPresident @MDardanius @MKEBizJournal @MedicalCollege @GovEvers So you know more than the president of one of the top 500 universities on the planet now? This is peak Twitter.
25,Wed Oct 21 16:07:30 +0000 2020,"@MCWPresident @MDardanius @MKEBizJournal @MedicalCollege @GovEvers I’m sorry but this is not scientific analysis, it’s conjecture. 

There are an infinite number of variables therefore no way to determine how many people wore masks in various parts of the state, how often/long they wore them and if they wore them properly."
