,created_at,full_text
0,Mon Oct 26 17:35:28 +0000 2020,"""I literally watched every second of the game,"" the governor said of @RFootball win over @michiganstateu Saturday."
1,Mon Oct 26 17:17:29 +0000 2020,@JayScottSmith @JLBfromDVM @michiganstateu I was in 4th grade lol
2,Mon Oct 26 17:15:08 +0000 2020,@JLBfromDVM Fam. I was a Freshman at @MichiganStateU in November 1997 🤣
3,Mon Oct 26 16:58:45 +0000 2020,"RT @Anikadrawls: again because they had lost two games and they wanted me back on the team.”
Lois Youngen played in the @AAGPBL from 1951-5…"
4,Mon Oct 26 16:55:39 +0000 2020,@MonkeyZemonki @michiganstateu i am monkey
5,Mon Oct 26 16:47:35 +0000 2020,"again because they had lost two games and they wanted me back on the team.”
Lois Youngen played in the @AAGPBL from 1951-54, after which she earned her degree in P.E. from @michiganstateu, became a professor emeritus at @uoregon, earned her doctorate @OhioState &amp; returned to"
6,Mon Oct 26 16:01:39 +0000 2020,@michiganstateu reject humanity ❌ embrace monkey 🐒
7,Mon Oct 26 14:50:52 +0000 2020,"RT @michiganstateu: MSU is ranked among the country’s top institutions for affordability, graduation rate and alumni career earnings."
8,Mon Oct 26 14:49:14 +0000 2020,@Bmosallam63 @KamalaHarris @DebDingell @michiganstateu I think you were trying to outdo @KamalaHarris shoes 😉. GoGreen!
9,Mon Oct 26 14:32:00 +0000 2020,"RT @michiganstateu: Some of the most renowned plant scientists in the world can be found at MSU, where many are studying plants to understa…"
10,Mon Oct 26 03:04:33 +0000 2020,RT @Dr_VanHandel: TFW your former institution (where you worked for 15 years) bills you $160 for health insurance because your separation d…
11,Mon Oct 26 02:20:20 +0000 2020,@facilitiesmsu @michiganstateu @msualumni @HorticultureMSU @CityofEL Looks awesome. So much great GREEN!
12,Mon Oct 26 02:13:53 +0000 2020,@michiganstateu Go white
13,Mon Oct 26 01:46:33 +0000 2020,@AllisonZahorec @michiganstateu Sis you know they ain’t got no plan but to update those cardboard signs on campus
14,Mon Oct 26 01:46:04 +0000 2020,"RT @AllisonZahorec: @michiganstateu are there plans to significantly expand the mental health services available to students, postdocs, fac…"
15,Mon Oct 26 01:45:34 +0000 2020,"@michiganstateu are there plans to significantly expand the mental health services available to students, postdocs, faculty, and staff? Or more clear policies for professors, TA's, and their students to better navigate when infections inevitably occur? Contact tracing?"
16,Mon Oct 26 01:38:36 +0000 2020,@BiffMixalot @michiganstateu They would probably use those to (under)pay someone else now that I'm gone. 😏
17,Mon Oct 26 01:36:18 +0000 2020,"@danielshanahan @michiganstateu They let me pick my separation date, which I thought was nice, but turns out they never bothered to say they would be charging for health insurance ... although since I got paid on a nine month schedule, at least part of my summer insurance $ should have been taken out already!"
18,Mon Oct 26 01:29:11 +0000 2020,"@Dr_VanHandel @michiganstateu My previous employer preferred to just drop me and my family in May. We had to be on Cobra until the fall, and that was with a newborn who needed special medical attention"
19,Mon Oct 26 01:18:05 +0000 2020,@MichiganSedits @couchburn3r @michiganstateu Yea that’s why the Governor had rules in place but republicans are idiots and don’t care about public health.
20,Mon Oct 26 01:17:18 +0000 2020,"@mitch_steur @couchburn3r @michiganstateu Every off campus gym has been open for a month +. Trying to get ~50,000 students to not go out and do anything is an absolute losing battle for MSU. I honestly think most people have simply given up on quarantining now."
21,Mon Oct 26 01:12:42 +0000 2020,@OdellBretthamJr @MichiganSedits @couchburn3r @michiganstateu Harpers has nothing to do with MSU. Also I don’t think Harpers should be open. So that’s a losing argument
22,Mon Oct 26 01:12:04 +0000 2020,@BiffMixalot @Dr_VanHandel @michiganstateu In the middle of a pandemic no less. Ghouls.
23,Mon Oct 26 01:12:04 +0000 2020,@mitch_steur @MichiganSedits @couchburn3r @michiganstateu Then why is Harpers allowed to be open?
24,Mon Oct 26 01:09:03 +0000 2020,@MichiganSedits @couchburn3r @michiganstateu If it was too unsafe to open IM West in the beginning of the semester the numbers have only gone up. Meaning it’s still not safe to open IM West now.
25,Mon Oct 26 01:07:23 +0000 2020,"@mitch_steur @couchburn3r @michiganstateu Well what do you want? Classes are already all online, the format during this semester is no longer shiftable to in-person learning. My prof's worked through the summer to design their courses specifically for online learning."
26,Mon Oct 26 01:01:33 +0000 2020,@couchburn3r @MichiganSedits @michiganstateu My point is if you can take indoor group exercise classes then I don’t see why you can have in-person socially distanced learning.
27,Mon Oct 26 00:56:32 +0000 2020,@MichiganSedits @michiganstateu So go for a run.
28,Mon Oct 26 00:56:12 +0000 2020,@mitch_steur @michiganstateu Physical health is an important thing too
29,Mon Oct 26 00:37:31 +0000 2020,@Dr_VanHandel @michiganstateu Pay it with rolls of Canadian quarters.
