,created_at,full_text
0,Mon Oct 26 17:54:31 +0000 2020,@PeterBiomed47 @michigantech @BiomedMtu I love this picture lol
1,Fri Oct 23 20:34:47 +0000 2020,Ugh please @michigantech let the gym open back up ‼️‼️🙏🏽 I got shoot this rock 🏀🏀🏀
2,Fri Oct 23 15:43:01 +0000 2020,"When I heard this as a ugrad my response was '🤷‍♀️ okay' but since I've seen it on the other side, letters that reflect poorly on a student submitted as part of an app package, and I truly appreciate my mentor @MichiganTech sharing this with me early in my career."
3,Fri Oct 23 13:00:13 +0000 2020,"RT @NorthernMichU: The Center for Rural Health at NMU is bringing together students, staff and faculty from @FinlandiaU, @LifeatLSSU, @mich…"
4,Fri Oct 23 00:07:20 +0000 2020,"@WSU_Noel_Schulz @michigantech @ASEE_DC @mtu_engineering Very honored, thank you."
5,Wed Oct 21 17:48:10 +0000 2020,"RT @NorthernMichU: The Center for Rural Health at NMU is bringing together students, staff and faculty from @FinlandiaU, @LifeatLSSU, @mich…"
6,Wed Oct 21 16:03:24 +0000 2020,I find myself counting down the days until I go home because of how insane the student body has become. The insufferable restrictions and prison life don't help either. @michigantech has done a great job making campus a place of anger and unrest. It breaks my heart a little.
7,Wed Oct 21 13:44:05 +0000 2020,@michigantech I don't miss the cold and snow. I was born and raised in Michigan. I lived in Northern Michigan most of my life. Now I live in Southern Ky.
8,Wed Oct 21 13:41:25 +0000 2020,"RT @NorthernMichU: The Center for Rural Health at NMU is bringing together students, staff and faculty from @FinlandiaU, @LifeatLSSU, @mich…"
9,Wed Oct 21 13:32:38 +0000 2020,"The Center for Rural Health at NMU is bringing together students, staff and faculty from @FinlandiaU, @LifeatLSSU, @michigantech and Northern to see which school can get the highest percentage of its total population vaccinated against the #flu."
10,Tue Oct 20 15:38:45 +0000 2020,@michigantech take me
11,Tue Oct 20 06:19:00 +0000 2020,@doescience @ENERGY @APSphysics @Fermilab @JLab_News @BerkeleyLab @ORNL @PPPLab @SLAClab 👏 Congrats to @argonne scientist and @michigantech PhD alumni Dr. Peter Zapol
12,Mon Oct 19 23:05:00 +0000 2020,"RT @MPAPanthers: Henry will be competing in Nordic Skiing and CC running (@MTUCCNSTF) at @michigantech in Houghton, Michigan!  #MPA2020"
13,Mon Oct 19 20:29:33 +0000 2020,@mtu_engineering @michigantech @BassHavens @mtualum @mtu_computing @mtuECE Where are the cats?
14,Mon Oct 19 20:29:12 +0000 2020,@mtuarchives @michigantech Can't wait to visit again!
15,Mon Oct 19 20:28:50 +0000 2020,"RT @mtuarchives: @e_buoy @michigantech That's the Continental Fire Company building, still standing at the northwest corner of Montezuma an…"
16,Mon Oct 19 19:30:16 +0000 2020,@mtuarchives @michigantech That is awesome. I will check it out next time I can get over the bridge.
17,Mon Oct 19 19:26:49 +0000 2020,"@e_buoy @michigantech That's the Continental Fire Company building, still standing at the northwest corner of Montezuma and Huron in Houghton."
18,Mon Oct 19 19:24:31 +0000 2020,@mtuarchives @michigantech Any idea where that building was/is?
19,Sun Oct 18 05:42:06 +0000 2020,@WeatherNation @michigantech Can this come to Colorado? Help fight fires with moisture
20,Sun Oct 18 01:28:51 +0000 2020,@michigantech Fond memories!
21,Sat Oct 17 19:31:31 +0000 2020,"@DrJSchramm @michigantech But if you're a skier, you can't wait! I'm excited. I'd love to start skiing in Oct instead of Nov"
22,Sat Oct 17 19:25:50 +0000 2020,@Dizzayee @michigantech @mtuEsports @onevoltage Sounds good! What time are you leaving tomorrow?
