,created_at,full_text
0,Mon Oct 26 18:10:16 +0000 2020,@Elmore_Ecology @msstate Time for some educational signs planted around campus?
1,Mon Oct 26 13:55:28 +0000 2020,@achievedee @TNGolfFnd @TheFirstTee @msstate You already know! @achievedee
2,Mon Oct 26 13:50:27 +0000 2020,@TNGolfFnd @TheFirstTee @msstate @Carey_Ray96 congrats bro! This is what we do it for ✅
3,Mon Oct 26 09:14:45 +0000 2020,@MSStateGrads Thank you very much! I am willing to make the best use of time here at @msstate @chem_msstate @msstategsa
4,Mon Oct 26 05:09:27 +0000 2020,@msstate y’all gone do pass or fail this semester or nah ?🤷🏽‍♂️
5,Sun Oct 25 21:45:08 +0000 2020,@DavidFWolf @msstate @Coach_Leach Yes. Coach wanted to know what the students take on the season with covid etc.
6,Sun Oct 25 20:47:51 +0000 2020,@drscottbelshaw @msstate Did he get any @Coach_Leach philosophical awakening wisdom?
7,Sun Oct 25 20:15:31 +0000 2020,So cool. My son was driving Uber and picked up Mike Leach as a passenger.  @msstate
8,Sun Oct 25 20:11:24 +0000 2020,"Way to go @allymc10!!!! I know Itawamba County, MS and @msstate is proud of your first win at the #LPGA DriveOn Championship @reynoldsgolf, the first of many to come I’m sure."
9,Sun Oct 25 05:10:48 +0000 2020,"@msstate Dawgs I’m an MSU alumnus and now live in Tuscaloosa amidst all these crazy (but justified) Bama fans. All my in-laws are rabid Bama fans. Please, please let’s win this weekend! I need SOMETHING besides the LSU win to brag about! 😎 All kidding aside I LOVE MY DAWGS so woof woof!"
10,Sat Oct 24 23:22:09 +0000 2020,@bertkreischer @OleMissRebels and @msstate definitely have top 3 talent every year.
11,Sat Oct 24 21:37:10 +0000 2020,@alumnidawg @MSStateAlumni @msstate Love the placard attachment method 😂
12,Fri Oct 23 22:22:35 +0000 2020,@CoachShiffman @Coach_Leach @msstate @HailStateFB I wrote him while he was at washington state. Swing Your Sword is a book that really resonated with me and i keep close by because i still refer to it !
13,Fri Oct 23 21:35:04 +0000 2020,Im pretty sure that if @msstate can find a way to have a graduation ceremony for students @LSU can do the same
14,Fri Oct 23 01:16:47 +0000 2020,One in four students of @msstate are BIPOC. Why is there absolutely no representation in your “most prestigious” scholarship? I expect more from my hometown. This is frankly embarrassing.
15,Thu Oct 22 23:03:08 +0000 2020,@DopplerJess @msstate @NSCS @msstateonline Congratulations Jessica (: 🎉
16,Thu Oct 22 22:15:21 +0000 2020,@OreboundImages @msstate @NSCS @msstateonline Thank you Jason!!
17,Thu Oct 22 21:19:46 +0000 2020,@wtva9news @msstate Yeah.  We need more super spreader events during a covid surge.  Fucking brilliant.
18,Thu Oct 22 21:07:53 +0000 2020,Also.... I want this helmet for my office.  @msstate @DOSxGoRebs 😜
19,Thu Oct 22 20:12:57 +0000 2020,"@DopplerJess @msstate @NSCS @msstateonline Congratulations Jessica, a fantastic achievement 👍"
20,Thu Oct 22 20:08:42 +0000 2020,@COLOStormChaser @msstate @NSCS @msstateonline Thank you Eric!!
21,Thu Oct 22 19:29:57 +0000 2020,@DopplerJess @msstate @NSCS @msstateonline CONGRATS!!!
22,Thu Oct 22 19:08:54 +0000 2020,@brianmc_arch @msstate @NSCS @msstateonline Thank you!
23,Thu Oct 22 19:08:47 +0000 2020,@ThomasWLePage @msstate @NSCS @msstateonline Thank you Tom!!
24,Thu Oct 22 19:08:36 +0000 2020,@shannbil @msstate @NSCS @msstateonline Thank you so much!! 🤗
25,Thu Oct 22 19:08:07 +0000 2020,@msstateonline @msstate @NSCS Thank you!!! 😁
26,Thu Oct 22 17:12:22 +0000 2020,Missing @msstate student Nick Smith of Lucedale has been found safe in Columbus and has been reunited with his family. @WLOX
27,Thu Oct 22 15:19:01 +0000 2020,"@DopplerJess @msstate @NSCS @msstateonline Congratulations, Jessica!  Very happy and excited for you"
28,Thu Oct 22 15:06:18 +0000 2020,@DopplerJess @msstate @NSCS @msstateonline Congrats!
