,created_at,full_text
0,Mon Oct 26 18:23:20 +0000 2020,@francaoi @PaleoSoc @geosociety @MissouriSandT @SandTGGPE So proud of you! Way to go!
1,Mon Oct 26 18:21:20 +0000 2020,@francaoi @PaleoSoc @geosociety @MissouriSandT @SandTGGPE @sandtcec Hey congratulations!
2,Mon Oct 26 18:19:38 +0000 2020,@Fossilsndcoffee @PaleoSoc @geosociety @MissouriSandT @SandTGGPE @sandtcec Thank you!
3,Mon Oct 26 18:18:23 +0000 2020,@deadsnails @PaleoSoc @geosociety @MissouriSandT @SandTGGPE @sandtcec Thanks Jon!
4,Mon Oct 26 18:17:58 +0000 2020,@ozarkswriter @PaleoSoc @geosociety @MissouriSandT @SandTGGPE @sandtcec Thank you Martha!
5,Mon Oct 26 16:55:18 +0000 2020,@francaoi @PaleoSoc @geosociety @MissouriSandT @SandTGGPE @sandtcec Well-deserved award. Congrats! 🥳
6,Mon Oct 26 16:47:04 +0000 2020,@francaoi @PaleoSoc @geosociety @MissouriSandT @SandTGGPE @sandtcec congratulations!
7,Mon Oct 26 16:46:15 +0000 2020,"@francaoi @PaleoSoc @geosociety @MissouriSandT @SandTGGPE @sandtcec Congratulations on becoming a @PaleoSoc Fellow, Francisca!"
8,Mon Oct 26 15:21:23 +0000 2020,"When Travis graduates from OTC in 2022, he will transfer to @MissouriSandT to pursue a degree in engineering."
9,Mon Oct 26 14:40:12 +0000 2020,@DrJSchramm @MissouriSandT I’ve heard it’s lovely in Arkham.
10,Mon Oct 26 00:40:55 +0000 2020,@HistoryBrian @MissouriSandT Great Cthulhu will allow us a brief moment of celebration before eternal damnation. ;)
11,Mon Oct 26 00:36:06 +0000 2020,"@DrJSchramm @MissouriSandT That's wonderful news, congratulations!! Although it totally screws up our plans to throw one back on Rolla😁"
12,Sun Oct 25 23:57:59 +0000 2020,"@RogerTurner13 @MissouriSandT Arkham, MA. Lovecraft country."
13,Sun Oct 25 23:56:29 +0000 2020,@DrJSchramm @MissouriSandT That’s in Connecticut right?
14,Sun Oct 25 23:03:45 +0000 2020,"@ozarkswriter @MissouriSandT To be determined. Working with as local realtor. She’s a bit, odd."
15,Sun Oct 25 22:39:00 +0000 2020,@DrJSchramm @MissouriSandT Will you be living in uptown Arkham or downtown Arkham?
16,Sun Oct 25 22:30:53 +0000 2020,I announce that I have accepted at job as professor of history and arcane knowledge at Miskatonic University. I will always remember fondly my time @MissouriSandT but there is a mysterious force that calls me to Miskatonic. Ph'nglui mglw'nafh Cthulhu R'lyeh wgah'nagl fhtagn.
17,Sun Oct 25 20:49:05 +0000 2020,"@JGB_Burken @StanfordEng @SIUE_SoEngr @WUSTL @MissouriSandT @Mizzou @SLU_Official @SIUC I always remember the Mid American Environmental Engineering Conference dearly (an amazing way to network and share fascinating research), what a great tradition!"
18,Sun Oct 25 15:01:27 +0000 2020,@MissouriSandT Can some of that 300 million go towards WiFi
19,Sun Oct 25 14:39:29 +0000 2020,"@andrewcareaga @MissouriSandT Indeed, they do! That’s a stunning piece of work! And it was a beautiful morning...slightly chilly, but with a mask &amp; hoodie on, it felt great."
20,Sun Oct 25 14:15:00 +0000 2020,@simoptim @MissouriSandT Beautiful! Many thanks for sharing!
21,Sat Oct 24 23:40:49 +0000 2020,"@JGB_Burken @carlwangyang @NSF @SandT_CArE @MissouriSandT Thanks a lot, Dr.Burken!😊"
22,Sat Oct 24 22:32:28 +0000 2020,"@JGB_Burken @SandT_CArE @sandtcec @MissouriSandT @SIUC @SIUE @WUSTL @Mizzou @SLU_Official Really interesting work, Rahel. Keep up the good work."
23,Sat Oct 24 19:55:52 +0000 2020,@JGB_Burken @StanfordEng @SIUE_SoEngr @WUSTL @MissouriSandT @Mizzou @SLU_Official @SIUC Enjoyed the talk. Thanks for making it happen.
24,Sat Oct 24 01:21:50 +0000 2020,@JGB_Burken @SandT_CArE @carlwangyang @AEESProfs @MissouriSandT @sandtcec @carlwangyang was great today with presentation and with questions. I could have chimed in to emphasize how you’ve tested materials for mask makers like auntie sewing squad which adds a whole other dimension to populations without PPE who are essential.
25,Fri Oct 23 04:12:11 +0000 2020,@folklauren_ @MissouriSandT Real friends liven up the food scene of worthy towns together.
26,Fri Oct 23 04:00:57 +0000 2020,@innithoughts @MissouriSandT The friend is me
27,Fri Oct 23 03:43:18 +0000 2020,"RT @UncoverRolla: @innithoughts @MissouriSandT @ChipotleTweets has been on my list, too! And it is time for @Target and Trader Joe’s to che…"
28,Fri Oct 23 03:42:39 +0000 2020,"@innithoughts @MissouriSandT @ChipotleTweets has been on my list, too! And it is time for @Target and Trader Joe’s to check out #RollaMO. 🙌"
29,Fri Oct 23 02:32:17 +0000 2020,".@MissouriSandT is it possible to use the $300M donation to open a single Chipotle on campus? With kind of money we could open up almost 300 🥱

Asking for a friend."
30,Fri Oct 23 00:18:18 +0000 2020,@matrotz @carlwangyang @MissouriSandT @AEESProfs @naughtoncc @EngineeringUSF @AAEESdotORG This shows @naughtoncc video
31,Thu Oct 22 18:40:53 +0000 2020,RT @MissouriSandT: S&amp;T IT UPDATE: Network services have now been fully restored. The rescheduled date and time of the State of the Universi…
32,Thu Oct 22 18:13:38 +0000 2020,RT @MissouriSandT: S&amp;T IT UPDATE: Network services have now been fully restored. The rescheduled date and time of the State of the Universi…
33,Thu Oct 22 14:56:32 +0000 2020,RT @MissouriSandT: We're looking into a possible network outage that is affecting campus email. We will provide more information as it beco…
