,created_at,full_text
0,Sun Oct 25 19:17:12 +0000 2020,@montclairstateu can y’all please turn the heat on? 🙄
1,Fri Oct 23 17:30:22 +0000 2020,@montclairstateu @HollyGera So... pass/fail??
2,Fri Oct 23 15:49:44 +0000 2020,@jlobianc @JoeyHPE @SHAPEAmerica_ED @montclairstateu I cheated this week too...had a personal and a professional
3,Thu Oct 22 15:47:20 +0000 2020,RT @RutgersAltRoute: It's been a busy morning! Our Director @HeatherNgoma &amp; Asst Director @shadualz presented on a panel with Dr. Jennifer…
4,Thu Oct 22 15:39:42 +0000 2020,It's been a busy morning! Our Director @HeatherNgoma &amp; Asst Director @shadualz presented on a panel with Dr. Jennifer Robinson from @montclairstateu on sharing our grant findings on diversifying the teacher workforce for school boards @NewJerseyDOE #TeachLikeMeNJ
5,Wed Oct 21 17:37:25 +0000 2020,"They are Having This Seminar At @montclairstateu  ""Sustainability Series: Improved Sustainability of Bridges through Better Diagnostics and Deeper Understanding of Deterioration Processes with Dr. Nenad Gucunski""
@Charles_HRH @KanyeWest @POTUS"
6,Tue Oct 20 18:54:30 +0000 2020,@FutureDrDeeJ @nehajgoel28 @montclairstateu Many congratulations on making your grandmother and many others very proud!
7,Tue Oct 20 16:02:52 +0000 2020,@FutureDrDeeJ @montclairstateu To God be the glory.
8,Tue Oct 20 14:19:06 +0000 2020,RT @_akhinthemidst: @montclairstateu needs to diversify its staff immediately. The search to replace President Cole needs to include an ind…
9,Tue Oct 20 14:18:33 +0000 2020,Out of the entire social work department at @montclairstateu we only have one Black faculty member. Do fuckin better
10,Tue Oct 20 14:16:40 +0000 2020,@montclairstateu needs to diversify its staff immediately. The search to replace President Cole needs to include an indepth look at the universities history of being a POC and its shift to now include Black&amp;Brown students. I say all this to say the new President shouldnt be white
11,Tue Oct 20 01:16:43 +0000 2020,@FutureDrDeeJ @montclairstateu Congrats!
12,Tue Oct 20 00:43:50 +0000 2020,"@FutureDrDeeJ @montclairstateu Congrats, bruh!!!"
13,Tue Oct 20 00:32:27 +0000 2020,@FutureDrDeeJ @montclairstateu Congratulations!
14,Mon Oct 19 23:49:39 +0000 2020,"@FutureDrDeeJ @montclairstateu Congratulations, bro!"
15,Mon Oct 19 23:36:38 +0000 2020,@PARKERCOIN @montclairstateu Thanks 😊
16,Mon Oct 19 23:15:56 +0000 2020,@FutureDrDeeJ @montclairstateu Congratulations! 🎉 You’re amazing!
17,Mon Oct 19 17:19:00 +0000 2020,"@montclairstateu The phone number associated with your school (per website) says it is no longer accepting calls. Is there an alternate phone number to discuss scholarship requirements for incomingfreshmen? Can you send to me? If you don't want to promote publicly, follow me &amp; DM me. Many thanks!"
18,Sun Oct 18 12:54:40 +0000 2020,40 degrees outside and can’t even get heat in the apartment i pay $1700 a month for. Highly do not recommend @montclairstateu
