,created_at,full_text
0,Fri Oct 23 16:26:55 +0000 2020,"RT @JPAM_DC: We are happy to announce the winners of JPAM’s annual “Excellence in Refereeing Awards”: @ericwchan @babson, @ Amy Farrell @NU…"
1,Fri Oct 23 16:17:37 +0000 2020,"RT @JPAM_DC: We are happy to announce the winners of JPAM’s annual “Excellence in Refereeing Awards”: @ericwchan @babson, @ Amy Farrell @NU…"
2,Fri Oct 23 16:16:39 +0000 2020,@JPAM_DC @ericwchan @babson @NU_SCCJ @jenniheissel @NPS_Monterey Congrats! It means a lot to have helpful referees!
3,Fri Oct 23 16:07:16 +0000 2020,"@JPAM_DC @ericwchan @babson @NU_SCCJ @jenniheissel @NPS_Monterey Congrats winners!

As a person who is trying to do a good job refereeing but never really knowing for sure if I am, I was curious if you have tip or two that you think could improve referee reports? (totally understand if not or if ""tips"" don't translate well for refereeing)"
4,Fri Oct 23 15:54:15 +0000 2020,"RT @JPAM_DC: We are happy to announce the winners of JPAM’s annual “Excellence in Refereeing Awards”: @ericwchan @babson, @ Amy Farrell @NU…"
5,Fri Oct 23 15:45:00 +0000 2020,"RT @JPAM_DC: We are happy to announce the winners of JPAM’s annual “Excellence in Refereeing Awards”: @ericwchan @babson, @ Amy Farrell @NU…"
6,Fri Oct 23 15:35:51 +0000 2020,"We are happy to announce the winners of JPAM’s annual “Excellence in Refereeing Awards”: @ericwchan @babson, @ Amy Farrell @NU_SCCJ, @jenniheissel @NPS_Monterey. Each winner will be awarded with a $500 cash prize and receive a letter of commendation from the journal."
7,Wed Oct 21 17:26:47 +0000 2020,RT @WaterTechAll_SD: @ASA_JASA @acousticsorg @NPS_Monterey @Scripps_Ocean Is this why whales' sounds have been significantly dropping to lo…
8,Wed Oct 21 03:58:22 +0000 2020,@daniel_bilar @NPS_Monterey he covers the background and his waves concept starts in 1979.
9,Wed Oct 21 02:30:51 +0000 2020,@CraigAWhiteside @NPS_Monterey Ordered. Looks fascinating.
10,Wed Oct 21 02:21:32 +0000 2020,@mikenelson586 @CraigAWhiteside @NPS_Monterey He taught at MIIS which is where we met. I took his class
11,Wed Oct 21 02:07:15 +0000 2020,@CraigAWhiteside @NPS_Monterey Good dude
12,Wed Oct 21 01:24:03 +0000 2020,@CraigAWhiteside @NPS_Monterey What time periods does it cover?
13,Tue Oct 20 00:10:21 +0000 2020,@ASA_JASA @acousticsorg @NPS_Monterey @Scripps_Ocean Is this why whales' sounds have been significantly dropping to lower registers over the past decade?
