,created_at,full_text
0,Mon Oct 26 17:04:04 +0000 2020,@Princeton @NJIT @nyuniversity @NBCNewYork I've heard this before. Let it into the wild.
1,Mon Oct 26 17:02:24 +0000 2020,RT @guidancenorth1: Virtual college visits this week @GeorgeMasonU  @MarywoodU  @Georgiancourt @binghamtonu @MoravianCollege @LycomingColle…
2,Mon Oct 26 15:51:24 +0000 2020,Virtual college visits this week @GeorgeMasonU  @MarywoodU  @Georgiancourt @binghamtonu @MoravianCollege @LycomingCollege @NJIT ...just to name a few SIGN UP IN NAVIANCE!!
3,Mon Oct 26 15:26:21 +0000 2020,"@ChooseNJ @NewJerseyII @BioNJ_Org @DebbieHartBioNJ @KathleenCoviell @NewJerseyEDA @NJIT @CSLANJIT Document all New Jersey usa / London ips that reduced DNA testing parameters . This thread chose 23 to media harass Lebron James . 
Reinstate all parameters for all DNA testing .
WHO do you think you are ?"
4,Mon Oct 26 15:22:09 +0000 2020,"@ChooseNJ @NewJerseyII @BioNJ_Org @DebbieHartBioNJ @KathleenCoviell @NewJerseyEDA @NJIT @CSLANJIT Will London Aviv thread bankrupt New Jersey with LGBTQ school bathroom issues ? Or will they step back , allow the BOE to renovate all schools and install banks of single use bathrooms ?"
5,Mon Oct 26 12:43:12 +0000 2020,RT @mdotus: @novogratz @NJIT @mcinnovative @ceceilia0502 @jimcramer @MadMoneyOnCNBC @CNBC @SquawkCNBC @JoeSquawk @BeckyQuick I am also a go…
6,Mon Oct 26 12:43:04 +0000 2020,RT @mdotus: @novogratz Thanks Mike - I am hopeful that you can be our first business investor - or sponsor our intern team @njit for this s…
7,Mon Oct 26 12:42:34 +0000 2020,RT @mdotus: @novogratz @NJIT @mcinnovative @ceceilia0502 @jimcramer @marKatRoss @MadMoneyOnCNBC @cnbc @SquawkCNBC @JoeSquawk @BeckyQuick Or…
8,Mon Oct 26 12:39:35 +0000 2020,RT @mdotus: @novogratz @NJIT @mcinnovative @ceceilia0502 I am also a good candidate for Secretary of Treasury. Many of our college friends…
9,Sun Oct 25 13:31:07 +0000 2020,@njithighlanders @NJIT @njitwvb @NJTechBaseball @NJITWSoccer @njitMVB @NJITlacrosse_ @NJITXCTF @NJITWBB @NJITSwimDive @AmericaEast Nice View
10,Fri Oct 23 14:32:20 +0000 2020,"New Jersey Core Facilities Showcase, this year at #PrincetonEngage

Features sessions and virtual exhibit booths that highlight research services and equipment offered by academic institutions from around the Garden State @rutgers @rowan @NJIT @FollowStevens 4/"
11,Fri Oct 23 05:04:43 +0000 2020,@DustinMulvaney @NJIT thanks- will check it out--
12,Thu Oct 22 23:12:07 +0000 2020,@Perreault_ASU @NirupamAich @NJIT_Civil @NJIT @CSLANJIT Yes! I'll DM you the link
13,Thu Oct 22 22:07:52 +0000 2020,@LuciaRodFreire @NirupamAich @NJIT_Civil @NJIT @CSLANJIT open to all?
14,Wed Oct 21 15:47:19 +0000 2020,@njit Love it when mail room employees are laid off so I can have my privacy violated by third parties. Really great stuff.
15,Wed Oct 21 15:18:10 +0000 2020,@NJIT was Twitch headquarters in the computer science center and I can guarantee you she @AOC is not influencing any voice of anyone.  She needs to get to those ignorant fucking people in her country that think caging children is good messing with 45 endorsing a US property.
16,Tue Oct 20 10:19:07 +0000 2020,@HanBoRam_Lee @ChemMater @CSLANJIT @NJIT Thank you very much!
17,Tue Oct 20 07:17:25 +0000 2020,@F_A_Shakib @ChemMater @CSLANJIT @NJIT Congrats!
18,Mon Oct 19 13:30:39 +0000 2020,@HhRed123456 @ChemMater @CSLANJIT @NJIT Thanks!
19,Mon Oct 19 13:03:34 +0000 2020,@F_A_Shakib @ChemMater @CSLANJIT @NJIT Congrats!
20,Sun Oct 18 22:44:24 +0000 2020,@FarzaneJp @ChemMater @CSLANJIT @NJIT Thanks!
21,Sun Oct 18 22:23:12 +0000 2020,@F_A_Shakib @ChemMater @CSLANJIT @NJIT Congratulations 🎉🎉🎉
22,Sun Oct 18 20:48:15 +0000 2020,"RT @fartelengelbert: @phl43 In development time, Python beats compiled languages - those header files are a killer. Also Python is much fas…"
23,Sun Oct 18 20:40:22 +0000 2020,"RT @fartelengelbert: @phl43 In development time, Python beats compiled languages - those header files are a killer. Also Python is much fas…"
24,Sun Oct 18 20:34:47 +0000 2020,"@phl43 In development time, Python beats compiled languages - those header files are a killer. Also Python is much faster if you use Numpy and can vectorise calculations. If you want more you can use numba and stick @njit before a Python function and it's almost as fast as C."
