,created_at,full_text
0,Sun Oct 25 16:38:15 +0000 2020,@CBBonFOX @NMSU Aggies
1,Sun Oct 25 06:30:28 +0000 2020,"@nmsu @ASU @wyo_football 
I'm sure u guys like science."
2,Sat Oct 24 23:38:10 +0000 2020,@Jhillboy23 @Fchavezeptimes @Prep1USA @EPTimesSports @UTEPAthletics @nmsu Way toooo goo! I’m speechless🥰 Congrats to your baby girl
3,Sat Oct 24 02:32:13 +0000 2020,"@Dbacks @Avalanche @nmsu 
Let me scout? 
 kinda crazy.
But hey that heat when ur a child."
4,Fri Oct 23 15:25:54 +0000 2020,"💻 Which Online Schools give you the best bang for your buck? 💰

🏫 @UMass, @UF, @nmsu and more offer top online programs at affordable prices! 💰

#onlinecollege #onlinedegree #onlineschool #onlinelearning #distanceeducation #distancelearning"
5,Thu Oct 22 23:45:24 +0000 2020,"@diannaeanderson 12,000 a year at @nmsu and no tuition waivers. And my hubby and I were both stupidly grateful for it. Theres a certain amount of being a schmuck in going to grad school"
6,Thu Oct 22 17:16:50 +0000 2020,@nmsu needs to get there payment plan together.
7,Thu Oct 22 16:13:54 +0000 2020,@lizzybizzy__ @nmsu Aww tell Liam happy birthday 🎈🎉🎂
8,Thu Oct 22 15:34:23 +0000 2020,RT @andyzapien: @lizzybizzy__ @nmsu Ahh the coolest kid on the planet was ready for his arrival !
9,Thu Oct 22 15:34:02 +0000 2020,@FIashMobOfOne @nmsu Ahhh a ghostbusters reference. I like it ☺️
10,Thu Oct 22 15:15:12 +0000 2020,@lizzybizzy__ @nmsu Ahh the coolest kid on the planet was ready for his arrival !
11,Thu Oct 22 15:05:03 +0000 2020,@lizzybizzy__ @nmsu Would be a whole lot cooler if it were named Zuul Library.
12,Thu Oct 22 15:04:38 +0000 2020,"7 years ago today, my water broke at Zuhl library at @nmsu 🙃"
13,Thu Oct 22 14:34:11 +0000 2020,"@MariRodPhD @nmsu @LasCruces @TeamELPS @UTSA @UTSACOEHD @UTSAnewsroom @UTSAGradSchool @UTSAFacultyCntr @UTSAResearch @DivA_EdLead @UCEA Congratulations Dr. Rodríguez.  What an honor for a fellow Brownsville, TX native and Roadrunner.  This is so awesome!  #BrownsvilleProud #RGVTX #UTSA"
14,Thu Oct 22 14:20:41 +0000 2020,@nmsu Don’t remember the name but someone lady tried kicking me out because I didn’t have a class there but I was waiting for my roommate so we could grab lunch. 🤷🏽‍♀️
15,Thu Oct 22 13:24:45 +0000 2020,@MariRodPhD @nmsu @LasCruces @TeamELPS @UTSA @UTSACOEHD @UTSAnewsroom @UTSAGradSchool @UTSAFacultyCntr @UTSAResearch @DivA_EdLead @UCEA Yes! so well deserved! ✊🏼❤️
16,Thu Oct 22 05:07:54 +0000 2020,@MariRodPhD @nmsu @LasCruces @TeamELPS @UTSA @UTSACOEHD @UTSAnewsroom @UTSAGradSchool @UTSAFacultyCntr @UTSAResearch @DivA_EdLead @UCEA Congratulations my friend
17,Thu Oct 22 01:11:11 +0000 2020,@MariRodPhD @nmsu @LasCruces @TeamELPS @UTSA @UTSACOEHD @UTSAnewsroom @UTSAGradSchool @UTSAFacultyCntr @UTSAResearch @DivA_EdLead @UCEA Congratulations my dear friend and mentor!
18,Wed Oct 21 22:26:51 +0000 2020,@MariRodPhD @nmsu @LasCruces @TeamELPS @UTSA @UTSACOEHD @UTSAnewsroom @UTSAGradSchool @UTSAFacultyCntr @UTSAResearch @DivA_EdLead @UCEA Congratulations to my Academic Mom!♥️
19,Wed Oct 21 18:48:09 +0000 2020,@GaryIvory @nmsu @LasCruces @TeamELPS @UTSA @UTSACOEHD @UTSAnewsroom @UTSAGradSchool @UTSAFacultyCntr @UTSAResearch @DivA_EdLead @UCEA Thanks Gary! You’ve been a dear friend and professor. Hugs to you and Irma.
20,Wed Oct 21 17:01:06 +0000 2020,"@MariRodPhD @nmsu @LasCruces @TeamELPS @UTSA @UTSACOEHD @UTSAnewsroom @UTSAGradSchool @UTSAFacultyCntr @UTSAResearch @DivA_EdLead @UCEA So happy to hear of you earning this honor, Mari! Heartiest congratulations."
21,Wed Oct 21 16:58:38 +0000 2020,@MariRodPhD @nmsu @LasCruces @TeamELPS @UTSA @UTSACOEHD @UTSAnewsroom @UTSAGradSchool @UTSAFacultyCntr @UTSAResearch @DivA_EdLead @UCEA Congratulations! So wonderful!
22,Wed Oct 21 12:00:17 +0000 2020,@salasphorus @SeedyRanges @TheJornada @nmsugradschool @nmsu @nmsu_aces @USLTER Yes exactly like that!
23,Wed Oct 21 03:02:41 +0000 2020,"@tylergturk @TheJornada @m2r_eco @nmsugradschool @nmsu @nmsu_aces @USLTER Old tires and rough Jornada road, the washboards have gotten pretty bad the past couple weeks."
24,Wed Oct 21 02:56:20 +0000 2020,@SeedyRanges @TheJornada @m2r_eco @nmsugradschool @nmsu @nmsu_aces @USLTER How did that happen??
25,Wed Oct 21 02:55:22 +0000 2020,@SeedyRanges @TheJornada @m2r_eco @nmsugradschool @nmsu @nmsu_aces @USLTER holy cow!!!!
26,Tue Oct 20 18:44:59 +0000 2020,"Strap in for our next #Aspire20 session “Powered by Publics: One Cluster’s Focus on Streamlining Degree Programs” as @APLU_News, @uarizona, and @nmsu share their focus on student friendly structures and data around degree complexity, course bottlenecks, and time to degree."
27,Tue Oct 20 15:56:23 +0000 2020,@nmsu Great shots. Good job!
28,Tue Oct 20 03:55:49 +0000 2020,@salasphorus @TheJornada @m2r_eco @nmsugradschool @nmsu @nmsu_aces @USLTER Jumpin into the end of the day like.... 🤣🤣🤣
29,Mon Oct 19 22:26:41 +0000 2020,@nmsu It is one of my favorite hikes when visiting Las Crudes! ❤️
30,Mon Oct 19 01:12:44 +0000 2020,"So the last time the Steelers started a season 5-0, I was a sophomore at New Mexico State University in Las Cruces, NM. 

What a long strange trip it's been. 

Also, I'm old. 

@nmsu @NMStateAggies @steelers @SteelersUnite 
#HereWeGo"
31,Sun Oct 18 12:27:01 +0000 2020,@nmsu Nope because I attended online.
32,Sun Oct 18 02:04:26 +0000 2020,@nmsu College of Health and Social Services
33,Sun Oct 18 01:27:28 +0000 2020,@jaketapper Dave Matthews and Blues Traveler at Horde Festival '96 @NMSU
34,Sat Oct 17 22:49:00 +0000 2020,RT @zack_mp4: @nmsu Greg
35,Sat Oct 17 21:59:51 +0000 2020,"@Razafirme 2 hours in line at @nmsu. Most of the waiting was outdoors in the sun, so it was not too bad. It was good to see a lot of young people voting. One young person that I saw came and did same-day registration. There was a supervised absentee ballot drop box outside. Everyone masked."
36,Sat Oct 17 19:57:48 +0000 2020,@nmsu Memorial tower and College of Health and Social Services
37,Sat Oct 17 19:56:10 +0000 2020,@nmsu Certainly isn’t Breland 💀
38,Sat Oct 17 19:55:51 +0000 2020,@nmsu Greg
39,Sat Oct 17 18:44:18 +0000 2020,"@nmsu hello, is it true that I can vote at corbett center ?"
