,created_at,full_text
0,Mon Oct 26 18:18:55 +0000 2020,@srussolillo @nyuniversity Keep up the efforts to expose FB!! Thank you!
1,Mon Oct 26 18:17:54 +0000 2020,"RT @flush_wash: #uncwaterandhealth 
@nyuniversity also tested something similar in #NYC at 14 #wastewater plants. They see an uptick of #CO…"
2,Mon Oct 26 18:17:08 +0000 2020,"RT @flush_wash: #uncwaterandhealth 
@nyuniversity also tested something similar in #NYC at 14 #wastewater plants. They see an uptick of #CO…"
3,Mon Oct 26 18:05:32 +0000 2020,"#uncwaterandhealth 
@nyuniversity also tested something similar in #NYC at 14 #wastewater plants. They see an uptick of #COVID19 cases in some areas w/ testing case spikes. BUT! They find different mechanisms for testing can change results a bit. Not all methods work everywhere."
4,Mon Oct 26 17:29:58 +0000 2020,@NYUGrey @nyukevo @DukeMideast @omar_alghazzi @MediaLSE @benthanaa @mosireen @IYAli @nyu @Penn @GloJo_NYU @nyuniversity Thanks this works!
5,Mon Oct 26 17:16:51 +0000 2020,@NYUGrey @koenleurs @nyukevo @DukeMideast @MediaLSE @benthanaa @mosireen @IYAli @nyu @Penn @GloJo_NYU @nyuniversity *Hello
6,Mon Oct 26 17:14:50 +0000 2020,"@realDonaldTrump @CNN @ScottMorrisonMP(Pt1)Why are @FBI letting Mary Signor(NorthHaven,CT)Dennis DiLorenzo(NYC)Patricia Arbib(NYC)Anna Condoulis(Bklyn,NY)all working for @nyuniversity/@NYUSPS,Richard Anderson(Bklyn,NY) @usedgov,Adele Ambrose,Gregory Blatto(Bklyn,NY),Karen Szot,"
7,Mon Oct 26 17:04:04 +0000 2020,@Princeton @NJIT @nyuniversity @NBCNewYork I've heard this before. Let it into the wild.
8,Mon Oct 26 16:41:46 +0000 2020,just submitted my app to @nyuniversity 😁😁
9,Mon Oct 26 16:29:24 +0000 2020,@nyuniversity @NYUEntrepreneur Discrimination is good as long as it achieves the outcome we've predetermined as moral.
10,Mon Oct 26 16:10:16 +0000 2020,"@nyuniversity @NYUEntrepreneur After all, equality is women getting extra special privileges!"
11,Mon Oct 26 16:08:09 +0000 2020,"@nyukevo @NYUGrey @DukeMideast @omar_alghazzi @MediaLSE @benthanaa @mosireen @IYAli @nyu @Penn @GloJo_NYU @nyuniversity This looks fascinating, however the link appears broken on my side?"
12,Mon Oct 26 15:27:36 +0000 2020,@obigriffith @ZDaniloski @virusninja @nygenome @IcahnMountSinai @nyuniversity @DGI_db @biorxivpreprint Thank you for this fantastic resource. It was a tremendous help in our project (and credit to @ZDaniloski for finding and using @DGI_db). Will look forward to using this with future CRISPR screens too!
13,Mon Oct 26 15:14:13 +0000 2020,So stoked when the next generation proactively reaches out + asks for the order. It was an @nyuniversity student so bet a dollar she was a student of @profgalloway. No doubt  he helps the next generation understand + apply this concept. #HustleHarderThanThem
14,Mon Oct 26 15:02:08 +0000 2020,@ConceptualJames @nyuniversity Exactly. Don't be queer.
15,Mon Oct 26 14:55:48 +0000 2020,@ConceptualJames @nyuniversity Out-woking the woke!
16,Mon Oct 26 14:51:03 +0000 2020,@nyuniversity @NYUEntrepreneur A university misused words or intentionally mislead its audience?! What’s the point to go to an university anymore!
17,Mon Oct 26 14:50:15 +0000 2020,@ConceptualJames @nyuniversity Cant let good alliteration go to waste
18,Mon Oct 26 14:47:00 +0000 2020,"@nyuniversity @NYUEntrepreneur Forced equity isn't equality.

It's pity."
19,Mon Oct 26 14:46:16 +0000 2020,RT @Tzivers: Sad news: the man in front of gristides (“one penny is all we ask”) had a heart attack on Friday and is on life support. His b…
20,Mon Oct 26 14:43:53 +0000 2020,"@ConceptualJames @nyuniversity They probalby did this on purpose as @SwipeWright might know better. They drop words in, similar or not, so they can keep moving the goal post and pusshing their agenda because people unconsciously make the association they want."
21,Mon Oct 26 14:41:38 +0000 2020,@nyuniversity @NYUEntrepreneur 2 unwoke words in 1 tweet: female&amp;equality. i wonder how long before this is taken down
22,Mon Oct 26 14:41:01 +0000 2020,"@ConceptualJames @nyuniversity I understand.

Wouldn't do it myself, but..."
23,Mon Oct 26 14:40:31 +0000 2020,@N7Kopper @nyuniversity Strategically.
24,Mon Oct 26 14:40:07 +0000 2020,"@ConceptualJames @nyuniversity James, did you really adopt John Money's definition of gender?

That man forcibly transitioned a baby to invent that definition."
25,Mon Oct 26 14:40:04 +0000 2020,@nyuniversity @NYUEntrepreneur 🤡 Sex based privilege for equality! 🤡
