,created_at,full_text
0,Mon Oct 26 18:40:18 +0000 2020,@NCState @NCStateWellRec #ncsuwakefellows22 I am wondering if we have access to this?
1,Mon Oct 26 13:44:15 +0000 2020,@tre_dennis @NCState Thank you! 🤘 Hope to see you again soon.
2,Mon Oct 26 13:15:36 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
3,Mon Oct 26 11:39:59 +0000 2020,"@DiamontDavid @NCState Jim Donnell, Surry County native, I think, was the West Montgomery principal in my time. Another fine man!"
4,Mon Oct 26 06:39:29 +0000 2020,Special salute to our troops overseas and at home. @realDonaldTrump @NCState @FLOTUS @HillaryClinton @TheDemocrats @SecPompeo @JoeBiden @SenSanders @USArmy @usairforce @USAirForceNCO @usmc @SecretService @DukeU @senatemajldr @MittRomney @HoustonRockets @USTreasury @espn @yale @UN
5,Mon Oct 26 02:54:34 +0000 2020,@george_hess @TownofClayton @NCState @ParkScholarship So cool! My music-obsessed older son would have loved this (we used to belong to the Durham Museum of Life &amp; Science--there were days we never made it out of the music playground they have...).
6,Mon Oct 26 00:29:48 +0000 2020,@DiamontDavid @NCState James Garmon
7,Mon Oct 26 00:26:00 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
8,Mon Oct 26 00:25:41 +0000 2020,@WarrenBingham @NCState Who was the head football coach at West Montgomery when you attended??
9,Sun Oct 25 23:42:06 +0000 2020,@NCStateAlumni @MuOmicronDst @NCState Congratulations Sorors! 🥰
10,Sun Oct 25 23:18:03 +0000 2020,"@MGBaxendale @UNC @NCState @TarHeelFootball Oh no, I totally hate Dook. Well, at least losing to them on the hardwood. 🤣"
11,Sun Oct 25 22:36:25 +0000 2020,@ltfrederick @MuOmicronDst @NCState This is outstanding news!! Thanks for setting the next generation of scholars up for success at NC State!
12,Sun Oct 25 22:09:11 +0000 2020,@NCStateWellRec @NCState Are parking fees around the rec center still being enforced?
13,Sun Oct 25 20:04:04 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
14,Sun Oct 25 19:51:22 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
15,Sun Oct 25 18:15:48 +0000 2020,"You know what's whack?

@NDFootball CRUSHES @Pitt_FB, but it gets passed in the @AP_Top25 by @OhioStateFB.

But @TarHeelFootball defeats the No. 23 team handily, @NCState, &amp; stays even in the Polls.

I. Don't. Understand."
16,Sun Oct 25 17:33:12 +0000 2020,@LeahMcGrathRD @RRobDunn @NCState Just reserved it at the library! Thanks for the suggestion. It looks fascinating!
17,Sun Oct 25 16:54:31 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
18,Sun Oct 25 16:41:43 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
19,Sun Oct 25 16:41:04 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
20,Sun Oct 25 16:36:22 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
21,Sun Oct 25 16:35:20 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
22,Sun Oct 25 16:12:10 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
23,Sun Oct 25 16:08:48 +0000 2020,@EddieBa17337465 @AliVelshi @voteblackpac @AdrianneShrop @NCState @profblmkelley you can probably guess to a pretty high degree of accuracy if you know the voter's last name and what precinct they live in
24,Sun Oct 25 16:07:53 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
25,Sun Oct 25 16:04:44 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
26,Sun Oct 25 15:54:22 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
27,Sun Oct 25 15:51:04 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
28,Sun Oct 25 15:50:24 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
29,Sun Oct 25 15:49:39 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
30,Sun Oct 25 15:43:15 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
31,Sun Oct 25 15:36:59 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
32,Sun Oct 25 15:31:57 +0000 2020,"RT @Follow24Hodge: @BamaStateAD_JT @NCState Dang, stall me out Deebo lol. Good game. Hard fought win. Blah, blah, blah🙄
It’s still #GoPack🐺"
33,Sun Oct 25 14:22:50 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
34,Sun Oct 25 14:03:43 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
35,Sun Oct 25 13:57:30 +0000 2020,"@AliVelshi @voteblackpac @AdrianneShrop @NCState @profblmkelley Love ya, Ali!!!  The hardest working man on MSNBC!"
36,Sun Oct 25 13:44:05 +0000 2020,"RT @DaneshuSaumya: @AliVelshi @voteblackpac @AdrianneShrop @NCState @profblmkelley They registered with an address &amp; phone number, so there…"
37,Sun Oct 25 13:26:02 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
38,Sun Oct 25 13:23:54 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
39,Sun Oct 25 12:50:41 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
40,Sun Oct 25 12:50:36 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
41,Sun Oct 25 12:49:10 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
42,Sun Oct 25 12:46:40 +0000 2020,@onedarkheart1 @AliVelshi @voteblackpac @AdrianneShrop @NCState @profblmkelley I’m speculating on the latter but suspect I’m on target
43,Sun Oct 25 12:38:26 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
44,Sun Oct 25 12:35:55 +0000 2020,RT @AliVelshi: 31% of Black voters in NC have already voted. Research shows their mail-in ballots are more likely to be rejected. @voteblac…
45,Sun Oct 25 12:33:07 +0000 2020,@FreudIsAnnoyed @AliVelshi @voteblackpac @AdrianneShrop @NCState @profblmkelley Thank you for clarifying!
46,Sun Oct 25 12:31:58 +0000 2020,"@AliVelshi @voteblackpac @AdrianneShrop @NCState @profblmkelley It’s crazy when you think of it because it just doesn’t get the reputation it has so definitively earned, but NC is one of the most absolutely corrupt &amp; racist govt structures in all of the US. The cancer has metastasized &amp; extends to the furthest tips of govt reach. #voteblue"
