,created_at,full_text
0,Mon Oct 26 17:12:38 +0000 2020,"""they were supposed to be sent back from @Northeastern or @BU_Tweets , but instead, they're down there in @GlobeMcGrory's dungeon. Not that @John_W_Henry would ever have a room where people were having sex and he was watching it. That's absurd. To even suggest. Absurd..."" -KM"
1,Mon Oct 26 14:14:11 +0000 2020,"And telling my older colleagues that age - in and of itself - won’t be considered in decisions about who can teach remotely seems totally unethical. Well done burning up all of the goodwill your flexibility this term created with one single email, @Northeastern"
2,Mon Oct 26 07:04:09 +0000 2020,@Northeastern How much will those positive tests increase when you force professors back in person?
3,Mon Oct 26 05:13:45 +0000 2020,@foucaultwelles @Hkevoefeldman @Northeastern Which is why you all should announce to do it. Let's see if the uni administration finds a better solution.
4,Mon Oct 26 00:08:10 +0000 2020,@Carter_PE @Northeastern @UCLA I had no idea about Dukakis becoming a teacher. That is awesome!
5,Sun Oct 25 22:33:15 +0000 2020,"@bayouwilson 💯. Michael Dukakis did much the same thing, passing up the Ivies to teach at @Northeastern and @UCLA. Thousands of students (including me) have benefited over nearly 3 decades. It’s a great way for these pols to continue serving, and inspire others to serve too."
6,Sun Oct 25 21:42:11 +0000 2020,"@keapuolani @DanielPAldrich @Northeastern @AAUP Oh, they went through the motions..."
7,Sun Oct 25 21:34:06 +0000 2020,"RT @foucaultwelles: I'm proud of what a good job @Northeastern is doing to manage outbreaks. It's impressive, a model for other universitie…"
8,Sun Oct 25 20:51:50 +0000 2020,@DanielPAldrich @Northeastern @AAUP With no faculty input or faculty governance in sight.
9,Sun Oct 25 19:50:39 +0000 2020,@Northeastern @TEDxNEU @TEDx @hopinofficial Congrats and kudos to the entire TEDxNortheasternU team for a very professionally run and well planned event. The speakers were engaging and the separate breakout sessions were compelling.
10,Sun Oct 25 18:12:19 +0000 2020,@nstarluna @DanielPAldrich @Northeastern @AAUP I never did grasp performance art as a genre...
11,Sun Oct 25 18:04:05 +0000 2020,"@cjbossoBoston @DanielPAldrich @Northeastern @AAUP You mean you don't want to be a part of Aoun's performance of ""having it all figured out and under control"" so that he can sell his book. 😉"
12,Sun Oct 25 17:47:48 +0000 2020,"@DanielPAldrich @Northeastern @AAUP I'm teaching a fully online course next semester. I doubt we'll have in-person meetings, and I won't be able to sit with students or colleagues in my office, so me coming to campus will prove exactly what?"
13,Sun Oct 25 15:53:56 +0000 2020,@foucaultwelles This is obscene. Shame on @Northeastern!
14,Sun Oct 25 14:41:13 +0000 2020,@BostonDotCom @Northeastern took actions against non-compliant students...will @Harvard?
15,Sun Oct 25 13:41:43 +0000 2020,"RT @foucaultwelles: I'm proud of what a good job @Northeastern is doing to manage outbreaks. It's impressive, a model for other universitie…"
