,created_at,full_text
0,Mon Oct 26 13:54:46 +0000 2020,@Shelcrafting @NAU Hi Shelby. The 2 biggest tips are to take the #CoETaIL course as it's incredible learning and to look into coaching training such as Cognitive Coaching. Looking into anything related to innovation and particularly Computer science could help too. Good luck!
1,Mon Oct 26 08:03:10 +0000 2020,"@Shelcrafting @NAU Also, build your #PLN! Connect and build relationships with educators o. twitter!"
2,Mon Oct 26 07:44:39 +0000 2020,@megankuemmerlin Hello! I'm currently an ESL teacher in Southeast Asia while attending @NAU online. I was wondering if you had any general advice or tips on what paths you took to get where you are careerwise? Always looking to gain insight from professionals in the field.
3,Mon Oct 26 07:33:40 +0000 2020,@CherylMTerry Hello! I'm currently an ESL teacher in Southeast Asia while attending @NAU online. I was wondering if you had any general advice or tips on how you came into the career you have? What paths did you take to get where you are? Thanks!
4,Mon Oct 26 07:25:22 +0000 2020,"@MadForMaple @NAU Thank you for the advice, appreciate it!"
5,Mon Oct 26 06:43:33 +0000 2020,"@Shelcrafting @NAU I’m sure you could do that online. The. Have a willingness to go where opportunity is. A few years back we made the move to Beijing. I didn’t really want to, but it really helped my career!"
6,Mon Oct 26 06:42:22 +0000 2020,"@Shelcrafting @NAU First thing, get your teaching credentials. I was an ESL teacher in Korea. I liked teaching so much I decided to become and elementary teacher. I went back to Canada and completed my B.Ed at age 30."
7,Mon Oct 26 06:24:23 +0000 2020,@MadForMaple Hello! I'm currently an English Teacher in Southeast Asia and a Student @NAU online looking to further grow my career. Any tips or general thoughts on how you came to do what you do?
8,Mon Oct 26 01:41:37 +0000 2020,@ASUBiodesign @AZDHS @CityofFlagstaff @NAU @CityofPhoenixAZ @Tempegov @cityoftucson @GlendaleAZ @9thFloorAZ @ASU @ASUResearch @dougducey Are you guys working in conjunction with Halberd Corporation?
9,Sun Oct 25 20:21:16 +0000 2020,@CalebTaylor2468 @NAU Great photos!
10,Sun Oct 25 17:14:27 +0000 2020,"Thank you for all the support! We love that @DocMarek is our 800th follower. Dr Ora Marek-Martinez is an Assistant Professor in Anthropology, and the Director of the Native American Cultural Center at Northern Arizona University @NAU. Give her a follow! #IndigenousArchaeology"
11,Sun Oct 25 15:18:53 +0000 2020,@NAU Good morning.  Is there frost on the pumpkin this morning? 🎃 #NAU @NAU
12,Sun Oct 25 04:23:00 +0000 2020,RT @meadow_brooke: nau parking services can suck my ass @NAU @NAUPresident y’all stealing money from broke college kids during a pandemic
13,Sat Oct 24 15:02:00 +0000 2020,"Six @NAU -related accounts to follow on Twitter: 

@NAUAlumni 
@NAUResearch 
@NAUPolice
@GreenNAU 
@NAUYuma 
@NAUCompliance 

:::"
14,Sat Oct 24 03:15:15 +0000 2020,@NAU Health and science building
15,Fri Oct 23 16:54:31 +0000 2020,@NAU can y’all get it together and send me my other degree please??? This has gotten ridiculous
16,Fri Oct 23 14:39:58 +0000 2020,Just in another warehouse found in ilorin kwara state 🔥 🔥 Airport Road @DeeOneAyekooto @davido @scarfizal @APCUKingdom @RealAARahman @AsiwajuTinubu @AsisatOshoala @NAU @officialnairam1 @MobilePunch
17,Fri Oct 23 02:48:58 +0000 2020,@AngeleOutWest @NAUAlumni @cheymumph @samklakulak @NAU I’ll always give back to @NAU! Thank you for having us!
18,Fri Oct 23 02:33:47 +0000 2020,"@AngeleOutWest @NAUAlumni @alexarvagnozzi @samklakulak @NAU Such a great group, thank you for bringing us together @AngeleOutWest 🙏🏾"
19,Fri Oct 23 02:30:51 +0000 2020,nau parking services can suck my ass @NAU @NAUPresident y’all stealing money from broke college kids during a pandemic
20,Fri Oct 23 01:53:12 +0000 2020,@NAU The most amazing star gazing I've ever seen #Flagstaff
21,Fri Oct 23 00:38:17 +0000 2020,"@NAU Arizona is a beautiful state ,all ,of Mark Kelly’s past matters ,Kelly’s character is just wrong for Arizona,, Kelly’s past character does matter!! Vote for McSally Love Arizona."
22,Thu Oct 22 23:44:28 +0000 2020,@bmcmontana74 @ShawnInArizona @nicolepasteur @RobbieSherwood @NAU @JoeBiden Don't you mean on the winning diet...
23,Thu Oct 22 22:44:53 +0000 2020,@NAU I know Spanish it’s my favorite language to learn  I hope to continue learning this wonderful language at NAU my goal is to be fluent in Spanish so I can travel to Spain 🇪🇸
24,Thu Oct 22 22:37:51 +0000 2020,"@bigfiggo @NAU Yay!! And with the new investments we've made into career development, we're happy to be encouraging engaged citizens and preparing students to have the skills to move into a 21st century work environment."
25,Thu Oct 22 22:37:39 +0000 2020,"RT @JnrOloba: When you people are traveling out like this , have you forgotten that we still have homeless People, where will they be if yo…"
26,Thu Oct 22 22:36:42 +0000 2020,"RT @JnrOloba: When you people are traveling out like this , have you forgotten that we still have homeless People, where will they be if yo…"
27,Thu Oct 22 22:36:36 +0000 2020,"When you people are traveling out like this , have you forgotten that we still have homeless People, where will they be if you left? 😭💔
#LetsFightForOurRight @NAU @rudeboypsquare @Mbahdeyforyou @SAMKLEF @davido @TundeEddnut @TeniEntertainer @djkaywise @wizkidayo @Iamrolletino"
28,Thu Oct 22 22:19:56 +0000 2020,@bigfiggo @NAU hope the student enjoys  their student debt and not being able to find a job - should have went to trade school
29,Thu Oct 22 22:14:12 +0000 2020,RT @bigfiggo: One of my students @NAU just emailed me a picture of himself putting his ballot in the early voting drop off box and I’m abou…
30,Thu Oct 22 21:52:32 +0000 2020,One of my students @NAU just emailed me a picture of himself putting his ballot in the early voting drop off box and I’m about to cry happy tears. It’s without a doubt the best email I’ve received all semester! #vote #polisci
31,Thu Oct 22 19:57:45 +0000 2020,@Aerin_J @NAU Looks like an okay place to work
