,created_at,full_text
0,Mon Oct 26 11:18:37 +0000 2020,@Reuters @NIUlive  or from campuses.
1,Fri Oct 23 15:14:48 +0000 2020,"Thank you to Pres. Freeman (@NIUlive) &amp; Pres. Sanders (@dsanders923)(@MX_College) for your insights &amp; observations this morning on getting this work done. Thank you for your leadership.

#2020ILEAfallsummit #ILEA #ILequity"
2,Fri Oct 23 14:08:12 +0000 2020,"Day 3 of #2020ILEAFallSummit kicking off w/State of ILEA by Lisa Castillo Richmond @Lili_Castille, followed by Presidential Panel w/Dr. Lisa Freeman from NIU @niulive and David Sanders from MXC @MX_College &amp; we close w/Dr. Bensimon's workshop for faculty @Center4UrbanEd"
3,Fri Oct 23 01:23:40 +0000 2020,RT @mwp72: @drvewalden @NIUlive Expanding the Circle of Human Concern!  Embrace “BELONGING” in our neighborhoods and community! #Opportunit…
4,Fri Oct 23 01:19:37 +0000 2020,@drvewalden @NIUlive Expanding the Circle of Human Concern!  Embrace “BELONGING” in our neighborhoods and community! #OpportunityDeKalb #AGN @NIU @cityofdekalb_IL
5,Fri Oct 23 00:47:31 +0000 2020,RT @drvewalden: Can't police people you dont love!!! john powell #belongingdekalb @NIUlive @slopez1 @NIU_CBS
6,Fri Oct 23 00:41:43 +0000 2020,Can't police people you dont love!!! john powell #belongingdekalb @NIUlive @slopez1 @NIU_CBS
7,Fri Oct 23 00:23:34 +0000 2020,Hard to hate up close when you see a person's humanity....dr john powell #belongingdekalb @NIUlive
8,Thu Oct 22 23:13:11 +0000 2020,"Excited to hear from Dr. john a. powell  in tonight's webinar. Belonging is a critical topic for us right now, eager to learn more about building the community we want to be a part of! Thanks @NIUlive and @cityofdekalb_IL #belongingdekalb"
9,Thu Oct 22 21:55:25 +0000 2020,@HBerganRoller @NIUlive Thanks for having me! I enjoyed getting to share our work and having some excellent discussion!
10,Thu Oct 22 20:55:00 +0000 2020,(3/3) @NIUlive Pres. Dr. Lisa Freeman &amp; @MX_College Pres. David Sanders meet w/ Dr. Julian Williams to share reflections on their institutional equity work &amp; @ebensimon will follow w/ a presentation on how the course syllabus can be used as an instrument for racial equity.
11,Thu Oct 22 17:12:17 +0000 2020,@MACSports @SeanTFrazier @NIUlive Congratulations!
12,Thu Oct 22 13:43:06 +0000 2020,RT @Lili_Castille: Thank you for leading this conversation @drvewalden @RepChrisWelch @SenatorCelina @NIUlive @JolietJrCollege @ChicagoStat…
13,Thu Oct 22 13:40:43 +0000 2020,Thank you for leading this conversation @drvewalden @RepChrisWelch @SenatorCelina @NIUlive @JolietJrCollege @ChicagoState @repsmith34
14,Wed Oct 21 20:45:19 +0000 2020,"Equity plans are dynamic -- they aren't static and shouldnt' be. -Dr. Renique Kersh, @NIUlive Associate Vice Provost for Student Engagement and Success 

#2020ILEAFallSummit #ILEA #ILequity"
15,Wed Oct 21 17:38:25 +0000 2020,"Currently submitting an application for my Bachelors to @NIUlive 💁🏼‍♀️ 

I always said that I wanted to be a Husky, so here’s hoping I can make that happen."
16,Tue Oct 20 21:09:02 +0000 2020,"@ScottWalker well... 
#BlueLivesMatter 
@NIUlive"
17,Tue Oct 20 20:26:59 +0000 2020,@NIUlive Just an FYI “all lives matter” and “blue lives matter” isn’t anti-black.
18,Tue Oct 20 02:06:21 +0000 2020,RT @SRice498: @EWilkinsNIU @RoutledgeEd @kdP @NIUlive I can’t wait to see it in print! #newteachersguide
19,Mon Oct 19 21:29:46 +0000 2020,@m_semati @NIU_DeptofComm @NIUlive @DeKalbPL Thank you!!! 🤗🤗🤗
20,Sun Oct 18 22:38:58 +0000 2020,I’m convinced NIUdosent care about black people @NIU_SGA @NIUlive
21,Sun Oct 18 19:08:52 +0000 2020,@jenniferahkoop @VicUniWgtn @NIUlive @UMNews @unccharlotte Congratulations Jen! And thank you for your contribution to the conservation of #Galapagos
22,Sun Oct 18 15:40:11 +0000 2020,"@MrAlexEddy @NIUlive @NIUBusiness Thanks, Alex. I agree 💯."
23,Sun Oct 18 15:39:28 +0000 2020,@rebekah_tilley This is great! Compassion and empathy is needed more than ever in higher ed right now. CC @NIUlive @NIUBusiness
