,created_at,full_text
0,Mon Oct 26 18:05:22 +0000 2020,"@erwincoumans @NorthwesternU @UnitreeRobotics Thanks! Yup, position controlled servos with a loop of ~600Hz on a raspberry pi. Great suggestion and awesome implementation on your part!"
1,Mon Oct 26 16:42:00 +0000 2020,@nimlothdecuba @thedailynu @NorthwesternU @futureconsf @nimlothdecuba remind me that I'm a @NorthwesternU #alumni ... OUGH YEAGH!!!
2,Mon Oct 26 16:36:50 +0000 2020,"@MeganEddy @NorthwesternU Yeah, about all I can do is say I was a football season ticket holder but am not anymore"
3,Mon Oct 26 15:23:53 +0000 2020,"@niki_neuro maintaining a bare minimum level of transparency is, apparently, too difficult for @NorthwesternU"
4,Mon Oct 26 15:10:57 +0000 2020,"@NorthwesternU any comment on this despicable behavior? I hope you are investigating and LISTENING to your students, who are practicing their rights as enumerated in the first amendment."
5,Mon Oct 26 15:09:40 +0000 2020,RT @MurgesJohn: #NFL SIMULATED TEASERS 10/25 YTD (6-0)! Congratulations to my TEAMS @NorthwesternU and @Stanford!(2-0) for the day yesterda…
6,Mon Oct 26 14:20:31 +0000 2020,"@JBuchdahl Ours did as well. Spending his first quarter as a freshman @NorthwesternU in Seoul. Outside of the overnight classes, he is thriving!"
7,Mon Oct 26 11:53:49 +0000 2020,@chris89187812 @NorthwesternU @Stanford @SGDNation @SwiftBetSports @TTSportsLines @TheBetCrushers @smoothturn2 Thanks for the kind words! Best of luck!!!
8,Mon Oct 26 11:49:32 +0000 2020,@MurgesJohn @NorthwesternU @Stanford @SGDNation @TexSR_Brandon @AlphaDogBets @BlaiseBets @TTSportsLines It’s an awesome opportunity. And thanks for letting us tail!
9,Mon Oct 26 11:47:04 +0000 2020,@MurgesJohn @NorthwesternU @Stanford @SGDNation @SwiftBetSports @TTSportsLines @TheBetCrushers @smoothturn2 Great work .... nice to see some hard work paying off....love the sharing of plays....giving everyone a little edge.....and even a little money during these times! .... good luck and good work .....keep it up!
10,Mon Oct 26 11:44:54 +0000 2020,RT @UrsaMajor0017: @MurgesJohn @NorthwesternU @Stanford @SGDNation @TexSR_Brandon @AlphaDogBets @BlaiseBets @TTSportsLines Yeah so far (eve…
11,Mon Oct 26 11:44:41 +0000 2020,"@UrsaMajor0017 @NorthwesternU @Stanford @SGDNation @TexSR_Brandon @AlphaDogBets @BlaiseBets @TTSportsLines They really do. They use their own equipment, for now, and if they prove success at the end of the year, I’ll invest in some upgrades for them. It’s a win/win the way I look at it."
12,Mon Oct 26 11:44:25 +0000 2020,@coachfitz51 @NorthwesternU congrats coach.... you are a role model
13,Mon Oct 26 11:39:04 +0000 2020,@MurgesJohn @NorthwesternU @Stanford @SGDNation @TexSR_Brandon @AlphaDogBets @BlaiseBets @TTSportsLines Yeah so far (even with some of the screwy games we’ve seen) they look to be on the right track.
14,Mon Oct 26 11:24:15 +0000 2020,"@UrsaMajor0017 @NorthwesternU @Stanford @SGDNation @TexSR_Brandon @AlphaDogBets @BlaiseBets @TTSportsLines I basically give them 6 or 7 NFL games, they run teaser simulations on a program they are developing, and then they give me the teaser or teasers with the highest winning percentage. Still a work in progress, but it looks promising."
15,Mon Oct 26 11:23:13 +0000 2020,@emrazz @NUQatar what happens when this is a flight bound for Chicago with NUQ students? @NorthwesternU
16,Mon Oct 26 11:19:44 +0000 2020,@MurgesJohn @NorthwesternU @Stanford @SGDNation @TexSR_Brandon @AlphaDogBets @BlaiseBets @TTSportsLines Do they only focus on select games or how does that work?
17,Mon Oct 26 11:19:13 +0000 2020,RT @UrsaMajor0017: @MurgesJohn @NorthwesternU @Stanford @SGDNation @TexSR_Brandon @AlphaDogBets @BlaiseBets @TTSportsLines These teasers ar…
18,Mon Oct 26 11:15:53 +0000 2020,"@UrsaMajor0017 @NorthwesternU @Stanford @SGDNation @TexSR_Brandon @AlphaDogBets @BlaiseBets @TTSportsLines They really are Sara. I feel lucky to have such good, young and smart guys, and lady, with the passion they do. They kept their promise...to provide me the results. I kept mine...to get them out there. 100% success rate so far. Thank you!"
19,Mon Oct 26 11:11:03 +0000 2020,RT @MurgesJohn: #NFL TEASERS 10/25: Teasers are from my handicapping teams @NorthwesternU and @Stanford YTD They’re ( 4-0 )  I’ll play them…
20,Mon Oct 26 11:08:28 +0000 2020,#NFL SIMULATED TEASERS 10/25 YTD (6-0)! Congratulations to my TEAMS @NorthwesternU and @Stanford!(2-0) for the day yesterday! All (6) TEASERS were tweeted as #freepicks for the good people of #GamblingTwitter @SGDNation @SwiftBetSports @TTSportsLines @TheBetCrushers @smoothturn2
21,Mon Oct 26 11:00:50 +0000 2020,@MurgesJohn @NorthwesternU @Stanford @SGDNation @TexSR_Brandon @AlphaDogBets @BlaiseBets @TTSportsLines These teasers are money!
22,Mon Oct 26 08:35:32 +0000 2020,RT @HelenTilley15: I'm a prof @NorthwesternU &amp; joined our students last night for a peaceful march highlighting dangers of police violence…
23,Mon Oct 26 04:32:57 +0000 2020,"@janetfgrau @MTV @sxsw @NorthwesternU @MedillSchool @Kartemquin @AADocNetwork @jiayanjennyshi @dmquon @timhorsburgh @sundanceorg @CAAM @Brent_Huffman Thank you so much, Janet!!"
24,Mon Oct 26 04:32:43 +0000 2020,RT @janetfgrau: @YingyingFilm @MTV @sxsw @NorthwesternU @MedillSchool @Kartemquin @AADocNetwork @jiayanjennyshi @dmquon @timhorsburgh @sund…
25,Mon Oct 26 04:03:57 +0000 2020,@YingyingFilm @MTV @sxsw @NorthwesternU @MedillSchool @Kartemquin @AADocNetwork @jiayanjennyshi @dmquon @timhorsburgh @sundanceorg @CAAM @Brent_Huffman This is a well done documentary and also a great tribute to Yingying's life. Thank you for presenting her story in such detail and thoroughness. May her spirit live on.
26,Mon Oct 26 03:27:52 +0000 2020,"@joshtpm I'd like to see data on university towns vs. non-university towns. Here in Evanston K-12 is remote, but we are seeing a spike as @NorthwesternU  students came back (in limited numbers) and indulge in off-campus super spreader events."
27,Mon Oct 26 03:11:57 +0000 2020,@coachfitz51 @NU_Sports @NorthwesternU What a great humble response. Congrats Coach! Your list will be longer with 100 more!
28,Mon Oct 26 03:04:25 +0000 2020,@hrbartender @NorthwesternU This was written six months ago and there is no end in sight. I worry what another six months of it will do for mental well-being.
29,Mon Oct 26 02:43:56 +0000 2020,@coachfitz51 @NU_Sports @NorthwesternU Pat Fitzgerald had sex with rapist pedophile Michael Chukwu and will be going to prison for being an accessory to the fact.
30,Mon Oct 26 02:43:08 +0000 2020,"@MattSakumoto @NiuSanford @ranjitbindra @theabzlab @SteveJiangPhD @OHSUInformatics @Columbia @NorthwesternU @Stanford Sir, I would be happy if you do the same for me. Interested more in using bioinformatics tools to study antimicrobial resistance among nosocomial pathogens/host-pathogen interactions."
31,Mon Oct 26 02:25:54 +0000 2020,@coachfitz51 @NorthwesternU Congratulations!!! #d230 proud!
32,Mon Oct 26 02:16:20 +0000 2020,@coachfitz51 @NUFBFamily @NorthwesternU Congrats Coach!!!
33,Mon Oct 26 02:14:58 +0000 2020,@coachfitz51 @NorthwesternU Congratulations Coach Fitz!!  Well deserved. You are an inspiration to every one of those young men that attend Northwestern!   #orlandparkpride
34,Mon Oct 26 01:18:16 +0000 2020,"RT @jaimeblack: Two months ago I started the cybersecurity bootcamp program @NorthwesternU, and I'm really glad that I did. This has been t…"
35,Mon Oct 26 00:29:31 +0000 2020,@Stayin_Hungry @JButing @ZellnerLaw @TManitowoc @SandyGreenman @hoddinottm @Rookie1082 @josephreyesg @carmino_paul @JJohnson2u @NorthwesternU @EricEatsBananas @Lilmisty84 @averydassey @BigJeff13401710 @TracyKeogh2 You are right! #truthwins
36,Sun Oct 25 23:32:52 +0000 2020,Can’t forget my TEAM @NorthwesternU and @Stanford !!! They’ve already hit the first TEASER and only need ARIZONA to hit the second!!! Let’s get that record to (6-0) YTD with these simulations!!!
37,Sun Oct 25 22:20:47 +0000 2020,"RT @skominers: Last week, two of my extraordinary @HarvardEcon colleagues received major economics prizes:

Congratulations to @S_Stantchev…"
38,Sun Oct 25 20:46:08 +0000 2020,@coachfitz51 @NUFBFamily @NUOnBTN @NorthwesternU Congrats Coach! Great game last night! Cats looked great!
39,Sun Oct 25 19:15:35 +0000 2020,"@CassidyHubbarth @NU_Sports @NorthwesternU @NUFBFamily 🤔Have you ever felt so far from black people but yet so close, and then eventually all people but yet even closer , and then eventually, N represents Nothing, in particular, but yet the future understands, in detail ... ? Keep the heritage in your eyes, kidz ...😕"
40,Sun Oct 25 18:58:39 +0000 2020,"@NorthwesternU @WeinbergCollege @gerry_cadava But @NorthwesternU is very happy to lump latino people into a group as often as possible, especially when touting their ""diversity"""
41,Sun Oct 25 18:56:41 +0000 2020,"@NorthwesternU @proseb4bros @NewYorker Dolly Parton is awesome, but @NorthwesternU looks down on and despises working class people like her, she just happens to be famous..."
42,Sun Oct 25 18:55:27 +0000 2020,"@Espngreeny @NorthwesternU @NUFBFamily @StacyGSG @NU_Sports We're not N this together, you're a millionaire, current NU students are paying $35,000 for zoom classes and driving for grub hub to pay rent...."
43,Sun Oct 25 18:35:39 +0000 2020,@coachfitz51 @suntimes_sports @P_Rams12 @NUFBFamily @NorthwesternU Nice win Fitz 👏 👍  Way to get the boys rolling
44,Sun Oct 25 17:45:07 +0000 2020,"RT @MurgesJohn: #NFL PLAYS FOR TODAY: As I tweeted out yesterday, I played the teasers provided through Game Simulations from my teams @Nor…"
45,Sun Oct 25 17:32:23 +0000 2020,"RT @MurgesJohn: #NFL PLAYS FOR TODAY: As I tweeted out yesterday, I played the teasers provided through Game Simulations from my teams @Nor…"
46,Sun Oct 25 17:03:54 +0000 2020,@Espngreeny @NorthwesternU @NUFBFamily @StacyGSG @NU_Sports I need one too!!!  Great masks
47,Sun Oct 25 16:59:47 +0000 2020,"Two months ago I started the cybersecurity bootcamp program @NorthwesternU, and I'm really glad that I did. This has been the best way that I can spend what is obviously an unconventional year. If there's a silver lining to 2020, it's that this is a great time to learn new skills"
48,Sun Oct 25 16:57:48 +0000 2020,RT @NUforLife: Today is the 10th annual - and first virtual - Wildcat Professional Excellence Program! Junior student-athletes will have th…
49,Sun Oct 25 16:54:41 +0000 2020,Today is the 10th annual - and first virtual - Wildcat Professional Excellence Program! Junior student-athletes will have the opportunity to learn from and network with preeminent professionals and @NorthwesternU alumni through 3 sessions of speed networking.
50,Sun Oct 25 16:28:47 +0000 2020,@NUFBRecruiting @coachfitz51 @NUFBFamily @NUOnBTN @NorthwesternU Makes it hard to believe they almost didn’t get to play this year...
51,Sun Oct 25 16:04:10 +0000 2020,"@TerpsFootball with all this hype when @CoachLocks came back to Maryland, new training facility, and recruits that suppose to be the best, tell me how the hell you only get 3 points against @NorthwesternU. That is sad, You all are sad, No motivation. Don't quit your day job!"
52,Sun Oct 25 15:52:26 +0000 2020,"I'm a prof @NorthwesternU &amp; joined our students last night for a peaceful march highlighting dangers of police violence &amp; structural racism. 

They rightly insist that world &amp; NU can be more just &amp; equitable. 

They are visionaries &amp; their tools are non-violent.

@copsoutofNU"
53,Sun Oct 25 15:22:35 +0000 2020,@CassidyHubbarth @NU_Sports @NorthwesternU @NUFBFamily Beautiful eyes wowwwww
54,Sun Oct 25 15:17:40 +0000 2020,@coachfitz51 @NU_Sports @suntimes_sports @P_Rams12 @NUFBFamily @NorthwesternU Who were these people running around in NU uniforms?
55,Sun Oct 25 15:03:37 +0000 2020,@coachfitz51 @suntimes_sports @P_Rams12 @NUFBFamily @NorthwesternU I’ve waited a lifetime to enjoy such a Wildcat blowout!  Great team with superb coaching and recruitment!! Thank you coaches and players 👏
56,Sun Oct 25 15:00:00 +0000 2020,RT @LukeDonald: @coachfitz51 @NUFBFamily @NUOnBTN @NorthwesternU 100 wins for you and your boys - congrats Coach 💪🏼💯
57,Sun Oct 25 14:47:31 +0000 2020,@coachfitz51 @suntimes_sports @P_Rams12 @NUFBFamily @NorthwesternU Impressive!
58,Sun Oct 25 14:24:36 +0000 2020,RT @LukeDonald: @coachfitz51 @NUFBFamily @NUOnBTN @NorthwesternU 100 wins for you and your boys - congrats Coach 💪🏼💯
59,Sun Oct 25 14:23:27 +0000 2020,@coachfitz51 @suntimes_sports @P_Rams12 @NUFBFamily @NorthwesternU Great win 💜💜
60,Sun Oct 25 14:14:21 +0000 2020,"@coachfitz51 @NUFBFamily @suntimes_sports @P_Rams12 @NorthwesternU Nice win, Coach! Keep it rolling."
61,Sun Oct 25 14:07:47 +0000 2020,"@LukeDonald @NUFBFamily @NUOnBTN @NorthwesternU As @patgossnugolf knows, they deserve a lot more credit than me, Luke!"
62,Sun Oct 25 14:07:46 +0000 2020,@coachfitz51 @suntimes_sports @P_Rams12 @NUFBFamily @NorthwesternU Way to go Coach!
63,Sun Oct 25 14:07:25 +0000 2020,@coachfitz51 @NUFBFamily @NUOnBTN @NorthwesternU Way to start the season in a huge way Coach! Keep up the good work. Keep being a positive leader for your guys and your program.
64,Sun Oct 25 14:02:56 +0000 2020,@coachfitz51 @suntimes_sports @P_Rams12 @NUFBFamily @NorthwesternU Great game Coach!!
65,Sun Oct 25 13:57:32 +0000 2020,"RT @MurgesJohn: #NFL PLAYS FOR TODAY: As I tweeted out yesterday, I played the teasers provided through Game Simulations from my teams @Nor…"
66,Sun Oct 25 13:47:01 +0000 2020,@coachfitz51 @suntimes_sports @P_Rams12 @NUFBFamily @NorthwesternU Congrats on 100 Ws.
67,Sun Oct 25 13:44:50 +0000 2020,"@coachfitz51 @J_ManPrime21 @suntimes_sports @P_Rams12 @NUFBFamily @NorthwesternU Good morning, Covid. #GoCats"
68,Sun Oct 25 13:40:16 +0000 2020,@coachfitz51 @suntimes_sports @P_Rams12 @NUFBFamily @NorthwesternU Congrats on the win Coach!
69,Sun Oct 25 13:18:55 +0000 2020,@coachfitz51 @NUFBFamily @NUOnBTN @NorthwesternU Congratulations @coachfitz51 #GoCats
70,Sun Oct 25 13:10:55 +0000 2020,RT @MurgesJohn: #NFL TEASERS 10/25: Teasers are from my handicapping teams @NorthwesternU and @Stanford YTD They’re ( 4-0 )  I’ll play them…
71,Sun Oct 25 13:08:19 +0000 2020,@TheBetCrushers @NorthwesternU @Stanford @SGDNation Much appreciated Crushers!!! Let’s get em today!!! Keep up the fantastic content! It’s excellent!!!
72,Sun Oct 25 13:06:43 +0000 2020,"@MurgesJohn @NorthwesternU @Stanford @SGDNation BOL, John...let's get this💰  👊🏈"
