,created_at,full_text
0,Mon Oct 26 05:22:11 +0000 2020,".@nsuhcas .@NSUFlorida How do you roll out priority registration on a new platform with NO ONE on the help desk?

If you aren't going to have live help for a midnight roll out then hold it until 8AM when you have support.

Tonight was an embarrassment."
1,Sat Oct 24 22:40:15 +0000 2020,"Can’t wait to start this Phycology class @NSUFlorida 2021 been studying heavy on Exercise,Sports &amp; Science here"
2,Sat Oct 24 16:27:07 +0000 2020,@DrValleJ @NSUFlorida Congrats
3,Sat Oct 24 13:47:21 +0000 2020,@Vincethewriter @NSUFlorida Thank you! 😇
4,Sat Oct 24 07:20:46 +0000 2020,@DrValleJ @NSUFlorida Major accomplishment!! I in know your families extremely proud of you.
5,Sat Oct 24 01:35:23 +0000 2020,RT @BlackWomenPhDs: Sherese is a successful entrepreneur &amp; inventor. She earned her BSN @UMich &amp; her MSN @IndianaState. She is in her 2nd y…
6,Sat Oct 24 00:48:59 +0000 2020,Sherese is a successful entrepreneur &amp; inventor. She earned her BSN @UMich &amp; her MSN @IndianaState. She is in her 2nd yr of her PhD in Nursing @NSUFlorida. She would like to run a biotechnology company or become a Chief Clinical Officer or Dean of a nursing school.
7,Fri Oct 23 16:47:14 +0000 2020,@tarah @TayPark_ @FAMU_1887 @BrownUniversity @brown_sp @NSUFlorida I think you’d be an excellent CISO!! We need your representation in that space 💯
8,Fri Oct 23 15:58:41 +0000 2020,"@TayPark_ @FAMU_1887 @BrownUniversity @brown_sp @NSUFlorida I aspire to grow into a CISO within the next 2-5 years. In the meantime, I’m currently studying for the CISSP and building my network.. Special thank you to my Ally, @Tarah for joining my network and amplifying my voice.  - - @TayPark_ #ShareTheMicInCyber"
9,Fri Oct 23 15:48:19 +0000 2020,"RT @tarah: @TayPark_ @FAMU_1887 @BrownUniversity @brown_sp @NSUFlorida I spoke at RSA in San Fran, earlier this year. I shared my personal…"
10,Fri Oct 23 15:48:13 +0000 2020,RT @tarah: @TayPark_ @FAMU_1887 @BrownUniversity @brown_sp @NSUFlorida Companies should avoid the risk of groupthink and create a more dive…
11,Fri Oct 23 15:46:16 +0000 2020,"@TayPark_ @FAMU_1887 @BrownUniversity @brown_sp @NSUFlorida I spoke at RSA in San Fran, earlier this year. I shared my personal views on the health and state of #CyberDiversity alongside other #WomenInCybersecurity via InfoSecurity Magazine."
12,Fri Oct 23 15:45:50 +0000 2020,RT @tarah: @TayPark_ @FAMU_1887 @BrownUniversity @brown_sp @NSUFlorida I was curious to learn more about cloud platforms and how to impleme…
13,Fri Oct 23 15:45:49 +0000 2020,@TayPark_ @FAMU_1887 @BrownUniversity @brown_sp @NSUFlorida Companies should avoid the risk of groupthink and create a more diverse and wider perspective that different groups may bring. - @TayPark_ #ShareTheMicInCyber
14,Fri Oct 23 15:44:14 +0000 2020,@TayPark_ @FAMU_1887 @BrownUniversity @brown_sp @NSUFlorida I was curious to learn more about cloud platforms and how to implement security; now I’m scheduled to take the cloud practitioner exam. #LikeATrueGeek - @TayPark_ #ShareTheMicInCyber
15,Fri Oct 23 15:43:38 +0000 2020,"@TayPark_ @FAMU_1887 @BrownUniversity @brown_sp @NSUFlorida In my current role, I drive the implementation of GRC solutions in order to track and measure regulatory compliance against our AWS Cloud Platform. You can learn more about my work here - @TayPark_ #ShareTheMicInCyber"
16,Fri Oct 23 14:13:27 +0000 2020,@craignewmark @arthurbarbato @FAMU_1887 @BrownUniversity @brown_sp @NSUFlorida @TayPark_ Oh..I see
17,Thu Oct 22 14:14:23 +0000 2020,"From high school drop out, to @NSUFlorida graduate student 👩🏾‍🎓 The day I stopped being a victim, I turned into a butterfly 🦋 Thankful for my advisor, Tosheta Webb 🙏🏽 She’s a gem 💎"
18,Tue Oct 20 00:00:48 +0000 2020,"@williamctaylor My pleasure 👊

We should thank Dr. John Joos from @NSUFlorida for telling us to read @FastCompany as every issue was full of golden nuggets 🌟"
19,Mon Oct 19 13:01:38 +0000 2020,Any Broward county voters out there. The early voting site @NSUFlorida is open and has very short lines. Go Vote and make your voice heard.
