,created_at,full_text
0,Mon Oct 26 16:54:18 +0000 2020,@CoachEricPogue @OaklandMSOC @OaklandWSOC @ousoccerfield @oaklandu @GoldenGrizzlies We do love that the soccer field has a Twitter account.
1,Mon Oct 26 14:08:13 +0000 2020,RT @OCCollege: @DreaTheReal @rosemarybayer @MariManoogian @OaklandSchools @OaklandDems @SchoolsMichigan @TheOaklandPress @BridgeMichigan @o…
2,Mon Oct 26 13:18:10 +0000 2020,"I HATE @oaklandu AND I WISH I NEVER CAME BACK TO THIS RACIST ASS SCHOOL🤷🏾‍♀️💯
Should have went to @HowardU where my intelligence isn’t insulted as a black woman. #thisisongoingforYEARS"
3,Mon Oct 26 13:11:32 +0000 2020,"@DreaTheReal @rosemarybayer @MariManoogian @OaklandSchools @OaklandDems @SchoolsMichigan @TheOaklandPress @BridgeMichigan @oaklandu OCC has been offering majority remote classes since March, and we have announced that our upcoming winter semester will be the same. We do not have residential housing, nor are students or staff allowed on campus for anything other than pre-approved academic activities."
4,Sun Oct 25 09:28:53 +0000 2020,@rosemarybayer @MariManoogian @OaklandSchools @OaklandDems are u paying attention to #climbing #COVID19 numbers? What’s the plan? Allow each district 2 struggle w their schl board &amp; parent community? #miched @SchoolsMichigan @TheOaklandPress @BridgeMichigan @oaklandu @OCCollege
5,Sat Oct 24 01:45:08 +0000 2020,@TFordATC @oaklandu @GoldenGrizzlies It’s been a honor to provide a quality pitch from day 1. Thank you for your support throughout the years! #OUProud
6,Fri Oct 23 17:20:53 +0000 2020,@PGerzema @oaklandu @dROP_Aquatics Is that you?
7,Fri Oct 23 13:42:14 +0000 2020,"RT @christianwuerth: Had fun speaking with @oaklandu MPA students tonight about life in #localgov, peer support, &amp; networking. Also got to…"
8,Fri Oct 23 01:43:06 +0000 2020,@christianwuerth @oaklandu @MIMunicipalExec @ICMA @ELGL50 @1650Project Thank you for taking the time to talk to the next generation of local government leaders.
9,Fri Oct 23 01:02:05 +0000 2020,"Had fun speaking with @oaklandu MPA students tonight about life in #localgov, peer support, &amp; networking. Also got to highlight some of the great orgs &amp; programs out there via @MIMunicipalExec, @ICMA, @ELGL50, &amp; @1650Project. Thank you for the invite @matt_baumgarten!"
10,Thu Oct 22 12:13:17 +0000 2020,@oaklandu Please make this flier ada compliant. That yellow text is v hard to read.
11,Thu Oct 22 01:04:09 +0000 2020,@JoeShivelyOUCAS @OURecWell @oaklandu Is there a virtual bandana we can put in our profile? We're all here for this!
12,Wed Oct 21 21:34:51 +0000 2020,@oaklandu what’s wrong with the OU web homepage
13,Wed Oct 21 14:51:19 +0000 2020,@MEDC @ENERGY Interesting read.  Great opportunities for our State to lead the nation in some of these areas.  @OaklandU has some strong assets in several of the innovation clusters. We are here to work with industry to ensure the talent in our region is ready and competitive #ThisIsOU
14,Tue Oct 20 21:22:17 +0000 2020,"@CupcakeSuz @freep This mama bear wants her kid back on campus for in person learning at @oaklandu   Paying $12k tuition and not one prof has had a live class or even recorded one. Assign chapters to read, write papers, takes exams. A lot of money to teach themselves.  Kids not learning a thing."
15,Tue Oct 20 18:39:04 +0000 2020,@GoldenGrizzlies @oaklandu @KampeOU It's listed as Wild 106.7 on iheart radio.
16,Tue Oct 20 15:14:42 +0000 2020,RT @oaklandu: We have seen the video and we deem his behavior unacceptable. The employee has been notified that his employment has been ter…
17,Tue Oct 20 13:23:23 +0000 2020,@oaklandu I really wish I chose another school. Why did I come back here?😫😫😫 not for US. At all.
18,Mon Oct 19 22:59:45 +0000 2020,"@oaklandu Glenn McIntosh @DAC_Detroit Forum on the Future: “The thing that we’re missing is we’re not listening. And If we’re not listening, we’re not learning.” #fotf."
19,Mon Oct 19 04:06:03 +0000 2020,"@oaklandu absolutely disgraceful behaviour from you guys. Pandering to the media and ""cancel culture"" I hope Eric Wuestenberg sues you for unfair dismissal."
