,created_at,full_text
0,Sun Oct 25 15:56:50 +0000 2020,@andthatrhymeswi @NoteArtHerstory @AllenArtMuseum @oberlincollege Thank you for the review @BrittanyMHudak. I felt like I was there.
1,Sat Oct 24 23:41:39 +0000 2020,@oberlincollege we cannot hear the choir concert.  No sound!
2,Sat Oct 24 11:09:33 +0000 2020,"RT @onlybornonce: Had a great time with the Oberlin College Black Student Athlete Group.

Being an @oberlincollege @NCAA student athlete wa…"
3,Sat Oct 24 07:14:19 +0000 2020,RT @Lawdan69: Here is the timeline prooving #Mahallati lied in his statement to @oberlincollege categorically denying our allegations based…
4,Sat Oct 24 07:14:08 +0000 2020,"RT @Lawdan69: @oberlincollege must answer: Does #Mahallati, #Oberlincollege's peace professor!!!, still believes “Mohareb” (who is at war w…"
5,Sat Oct 24 00:39:27 +0000 2020,"RT @onlybornonce: Had a great time with the Oberlin College Black Student Athlete Group.

Being an @oberlincollege @NCAA student athlete wa…"
6,Fri Oct 23 23:36:29 +0000 2020,"RT @onlybornonce: Had a great time with the Oberlin College Black Student Athlete Group.

Being an @oberlincollege @NCAA student athlete wa…"
7,Fri Oct 23 23:32:01 +0000 2020,"RT @onlybornonce: Had a great time with the Oberlin College Black Student Athlete Group.

Being an @oberlincollege @NCAA student athlete wa…"
8,Fri Oct 23 23:04:59 +0000 2020,"Had a great time with the Oberlin College Black Student Athlete Group.

Being an @oberlincollege @NCAA student athlete was both a challenge and a privilege. 

S/o to the true Oberlin 🐐s like @cvo_monique @JadaKennerly @VanAllenNews @MomOfAllCapes @kof_asare15 and many more!"
9,Fri Oct 23 18:06:56 +0000 2020,"@oberlincollege must answer: Does #Mahallati, #Oberlincollege's peace professor!!!, still believes “Mohareb” (who is at war w/God meaning has a different view about Isalm than the Islamic government) and “Mortad”(an apostate) deserve to die?"
10,Fri Oct 23 14:49:01 +0000 2020,"@kshahrooz @AlirezaNader @oberlincollege @Princeton @ShorensteinCtr @lunduniversity This is absolutely shocking! unf..kingblievable, the guy actually says he was working for the regime not long ago on his profile!"
11,Fri Oct 23 14:18:07 +0000 2020,"@kshahrooz @oberlincollege @Princeton @ShorensteinCtr @lunduniversity fyi this is not new, he was one of those who defended Zarifs visit a few years back, is buddies with the Parsi Company and yeah you know the rest"
12,Fri Oct 23 14:16:04 +0000 2020,@kshahrooz @oberlincollege @Princeton @ShorensteinCtr @lunduniversity Dude worked for the regime during the 2009 protests with Mr Jeans Minister
13,Fri Oct 23 11:00:03 +0000 2020,"Wait, I live in the Mid Hudson Valley. Where is this @RichardHaass v @FareedZakaria death match going down? Also of note, @JoeNBC, they were @oberlincollege commencement speakers in consecutive years."
14,Thu Oct 22 19:20:48 +0000 2020,Here is the timeline prooving #Mahallati lied in his statement to @oberlincollege categorically denying our allegations based on Ms. @AbadiDeljou research from UN &amp; Amnesty archiveshttps://www.tribunezamaneh.com/archives/243262
15,Wed Oct 21 17:19:59 +0000 2020,@oberlincollege Oberlin city stood up for the right of ONE FUGITIVE SLAVE back in the 18th century but now ignores the unjust hanging of more than 5000 POLITICAL PRISONERS who had sentences and were in prison for years.
16,Tue Oct 20 19:38:21 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
17,Tue Oct 20 19:34:45 +0000 2020,thinking about decafe @oberlincollege
18,Tue Oct 20 18:49:50 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
19,Tue Oct 20 18:35:07 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
20,Tue Oct 20 18:22:28 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
21,Tue Oct 20 18:14:10 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
22,Tue Oct 20 18:09:01 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
23,Tue Oct 20 17:38:34 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
24,Tue Oct 20 17:36:10 +0000 2020,"@baabbaash @oberlincollege @gurobi Thank you! What I think I love most about this is how you could give both separated images to someone, printed on transparencies, and all they’d recognize in either is Dracula. Until the instant reveal when you put them together. Such a great effect."
25,Tue Oct 20 17:01:48 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
26,Tue Oct 20 17:00:59 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
27,Tue Oct 20 16:48:01 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
28,Tue Oct 20 16:45:58 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
29,Tue Oct 20 16:44:13 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
30,Tue Oct 20 16:42:11 +0000 2020,"RT @zendehbadazadi: @MGh_Survivor @BarAndazAbadani @gcaw @BenWeinthal @oberlincollege Your Voice Matters.
🚨Silence Kills Iranian Opposition…"
31,Tue Oct 20 16:41:25 +0000 2020,"RT @zendehbadazadi: @MGh_Survivor @BarAndazAbadani @gcaw @BenWeinthal @oberlincollege Your Voice Matters.
🚨Silence Kills Iranian Opposition…"
32,Tue Oct 20 16:39:43 +0000 2020,"@MGh_Survivor @BarAndazAbadani @gcaw @BenWeinthal @oberlincollege Your Voice Matters.
🚨Silence Kills Iranian Opposition Journalist: Zam.
Please demand fascist Islamic regime of Iran : #DontExecuteZam
@AP @WSJ @CBCAlerts @globalnewsto @CTVNews @TIME @CNN @BBCWorld @nytimes @Reuters @TorontoStar @guardian @dwnews @France24_en @cnni @SkyNews"
33,Tue Oct 20 16:39:35 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
34,Tue Oct 20 16:35:58 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
35,Tue Oct 20 16:34:54 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
36,Tue Oct 20 16:33:50 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
37,Tue Oct 20 16:33:40 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
38,Tue Oct 20 16:32:51 +0000 2020,"RT @MGh_Survivor: @gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movem…"
39,Tue Oct 20 16:32:20 +0000 2020,"@gcaw @BenWeinthal @oberlincollege Iranian journalist,Zam was sentenced to death.he was voice of Iranian liberation movement&amp;had been abducted in Iraq.He had gone to Iraq at Sistani's invitation which the meeting was a trap.He needs strong support among international journalists.pls be his voice. #DontExecuteZam"
40,Tue Oct 20 15:00:51 +0000 2020,Pretty terrific visit to @oberlincollege this weekend. So impressed with the college and athletic program. Thanks @Yeo_Football and @CoachO_YEOFB.
41,Tue Oct 20 14:50:08 +0000 2020,@baabbaash @oberlincollege @gurobi These absolutely fascinate me every time you post them - I think it was the original reason I started following you. Would you maybe share an image of the horizontals only? I’d love to see how much of the image is recognizable in that.
42,Tue Oct 20 10:56:37 +0000 2020,"RT @kshahrooz: I have again today written to @ctambar, president of @oberlincollege asking (i) what investigation she's undertaking w/r/t I…"
43,Tue Oct 20 06:47:32 +0000 2020,"1/I sent this letter today to @oberlincollege regarding #Mahallati, the current Chair of its MENA Dept. The initiative for addressing #Mahallati's responsibility as Iran's UN ambassador in regard to the mass summary executions that took place from late July until early Sept.1988"
44,Tue Oct 20 06:43:36 +0000 2020,RT @BenWeinthal: Over a week has passed since @kshahrooz published an open letter  to @oberlincollege 's president Carmen Twillie Ambar @ct…
45,Tue Oct 20 02:38:42 +0000 2020,"RT @gcaw: @oberlincollege Even if Mahallati did not know about the atrocities, he was the plenipotentiary representative of the government…"
46,Tue Oct 20 02:23:33 +0000 2020,RT @BenWeinthal: Over a week has passed since @kshahrooz published an open letter  to @oberlincollege 's president Carmen Twillie Ambar @ct…
47,Tue Oct 20 02:14:55 +0000 2020,RT @BenWeinthal: Over a week has passed since @kshahrooz published an open letter  to @oberlincollege 's president Carmen Twillie Ambar @ct…
48,Mon Oct 19 22:20:37 +0000 2020,"RT @kshahrooz: I have again today written to @ctambar, president of @oberlincollege asking (i) what investigation she's undertaking w/r/t I…"
49,Mon Oct 19 21:52:55 +0000 2020,"RT @kshahrooz: I have again today written to @ctambar, president of @oberlincollege asking (i) what investigation she's undertaking w/r/t I…"
50,Mon Oct 19 19:45:16 +0000 2020,"RT @kshahrooz: I have again today written to @ctambar, president of @oberlincollege asking (i) what investigation she's undertaking w/r/t I…"
51,Mon Oct 19 19:07:33 +0000 2020,"RT @kshahrooz: I have again today written to @ctambar, president of @oberlincollege asking (i) what investigation she's undertaking w/r/t I…"
52,Mon Oct 19 18:54:07 +0000 2020,"RT @kshahrooz: I have again today written to @ctambar, president of @oberlincollege asking (i) what investigation she's undertaking w/r/t I…"
53,Mon Oct 19 18:25:54 +0000 2020,"RT @kshahrooz: I have again today written to @ctambar, president of @oberlincollege asking (i) what investigation she's undertaking w/r/t I…"
54,Mon Oct 19 18:21:42 +0000 2020,"RT @kshahrooz: I have again today written to @ctambar, president of @oberlincollege asking (i) what investigation she's undertaking w/r/t I…"
55,Mon Oct 19 18:21:11 +0000 2020,"RT @kshahrooz: I have again today written to @ctambar, president of @oberlincollege asking (i) what investigation she's undertaking w/r/t I…"
56,Mon Oct 19 18:18:56 +0000 2020,"RT @kshahrooz: I have again today written to @ctambar, president of @oberlincollege asking (i) what investigation she's undertaking w/r/t I…"
57,Mon Oct 19 18:08:45 +0000 2020,"RT @kshahrooz: I have again today written to @ctambar, president of @oberlincollege asking (i) what investigation she's undertaking w/r/t I…"
