,created_at,full_text
0,Mon Oct 26 18:16:13 +0000 2020,@SportsCenter @ESPNCFB @TBDBITL @FAMU_1887 &gt; @OhioState band !!!!
1,Mon Oct 26 17:42:35 +0000 2020,@BrxlzFreak @OhioState @FOCOusa @OhioStAthletics @OhioStateFB Definitely helps when the pieces fit securely
2,Mon Oct 26 17:42:06 +0000 2020,"@Jim_Jordan How much energy did you have when Strauss was raping kids under your watch for year @OhioState and you said nothing!!  Those encased in glass shouldn't toss stones, right #GymJordan ?"
3,Mon Oct 26 17:41:44 +0000 2020,"@Testa23 @OhioState @FOCOusa @OhioStAthletics @OhioStateFB Thanks! It honestly wasn’t too bad and went together without a problem, although I can see it’s delicate. The pieces in this whole set fit pretty tight, so it made it easier."
4,Mon Oct 26 17:40:27 +0000 2020,@casey62975 @OhioState @FOCOusa @OhioStAthletics @OhioStateFB Thanks!
5,Mon Oct 26 17:33:15 +0000 2020,"@rivalsmike Given time, Smith Njigba from THE will be on this list. @OhioState #BuckeyeNation"
6,Mon Oct 26 17:14:52 +0000 2020,"""Why not Northwest Ohio!?"" Why not your community?? How to make your community &amp; region a ""talent magnet."" Author David Staley of @OhioState starts off the week &amp; today's edition of the ICF Summit. #icfsummit2020 @DublinOhio @DCSAAC @Otterbein @LouICF"
7,Mon Oct 26 16:58:45 +0000 2020,"RT @Anikadrawls: again because they had lost two games and they wanted me back on the team.”
Lois Youngen played in the @AAGPBL from 1951-5…"
8,Mon Oct 26 16:50:29 +0000 2020,"#AskNASA im a senior aerospace engineering student 
@OhioState working on a lunar micro-rover searching for water ice in permanently shadowed craters. With this new data, should we also be considering exploring sunlight areas for this project, too?"
9,Mon Oct 26 16:47:35 +0000 2020,"again because they had lost two games and they wanted me back on the team.”
Lois Youngen played in the @AAGPBL from 1951-54, after which she earned her degree in P.E. from @michiganstateu, became a professor emeritus at @uoregon, earned her doctorate @OhioState &amp; returned to"
10,Mon Oct 26 16:07:00 +0000 2020,@TanjaMittag @Gronenborn_lab @BustamanteLab @OhioState @UCSanDiego @unibt @BiophysicalSoc @ucatolica 😍 congratulations to you too! PS: I’m in love with your research 🥰
11,Mon Oct 26 16:00:21 +0000 2020,@cxarramirez @Gronenborn_lab @BustamanteLab @OhioState @UCSanDiego @unibt @BiophysicalSoc @ucatolica Congratulations!
12,Mon Oct 26 15:57:18 +0000 2020,"@BrxlzFreak @OhioState @FOCOusa @OhioStAthletics @OhioStateFB This looks (gulp) good 
How was the face mask build for you compared to the one piece face mask"
13,Mon Oct 26 15:19:28 +0000 2020,"@WornOnThisDay @OhioState @BuckeyeHistory @BuckeyeHistory, as in Hagerty Hall?"
14,Mon Oct 26 14:45:24 +0000 2020,"@fox28columbus You! “The media” have to stop spreading the fear and the blame with all of this! @OhioState has nothing to do with the bars around campus! Last time I checked people a free to make their own choices in this country! If you are afraid to catch the virus, then chose to stay home!"
15,Mon Oct 26 14:08:54 +0000 2020,@OhioState @OhioJFS Why is ODJFS retweeting this?????
16,Mon Oct 26 12:13:29 +0000 2020,@Captain_Invader @vic_torya_lee @OhioState @ColumbusGov What and take it home to grandma for Thanksgiving? Selfish people!
17,Mon Oct 26 11:24:18 +0000 2020,"@WornOnThisDay @OhioState @BuckeyeHistory Beautiful lacework, but looks uncomfortable to wear 🙁"
18,Mon Oct 26 11:11:51 +0000 2020,@OHfoodtruckfind @Pitabilities @OhioState @osunursing @OSUWexMed the best
19,Mon Oct 26 06:05:58 +0000 2020,"@vic_torya_lee @PresKMJohnson @OhioState Would be interesting to contract trace all these individuals from this situation alone.  Outdoor environments are significantly better, especially due to the fresh air acting like a natural disinfectant.

Thank you for your time.

God Bless,

John German"
20,Mon Oct 26 05:58:52 +0000 2020,RT @Felosangeles: @INDYBEARSFAN68 @Jim_Jordan @OhioState I’m nauseated by this. #RepublicansForBiden #BidenHarris2020 #restoreintegrity
21,Mon Oct 26 05:22:39 +0000 2020,"@IngrahamAngle @OhioState @OhioStateFB @HuskerFBNation So they are voting Biden?
#BidenHarris2020"
22,Mon Oct 26 05:17:31 +0000 2020,@INDYBEARSFAN68 @Jim_Jordan @OhioState I’m nauseated by this. #RepublicansForBiden #BidenHarris2020 #restoreintegrity
23,Mon Oct 26 03:11:20 +0000 2020,@BrxlzFreak @OhioState @FOCOusa @OhioStAthletics @OhioStateFB That’s cool
24,Mon Oct 26 03:10:34 +0000 2020,"@KayceeClowers @OhioState @FOCOusa @OhioStAthletics @OhioStateFB Nice, I have a different Brutus set that I will be build here in a bit."
25,Mon Oct 26 03:04:58 +0000 2020,@Jim_Jordan If you don’t participate in the molestation at @OhioState why won’t you say so?
26,Mon Oct 26 03:00:43 +0000 2020,@BrxlzFreak @OhioState @FOCOusa @OhioStAthletics @OhioStateFB Yeah I did
27,Mon Oct 26 03:00:06 +0000 2020,@KayceeClowers @OhioState @FOCOusa @OhioStAthletics @OhioStateFB Great! I’m a huge Buckeye fan and build Lin The Shoe is what got me started on these sets. Did you see any of the other Ohio State sets I’ve built?
28,Mon Oct 26 02:49:54 +0000 2020,"@realDonaldTrump @OhioState @PennStateFball @TexasAggieFB 
Get out and VOTE FOR TRUMP.  JOBS, GROWTH, USA, ENERGY GROWTH, JOBS, JOBS.  @realDonaldTrump #MAGA2020Landslide"
29,Mon Oct 26 02:37:18 +0000 2020,@Anschutz2012 @mirageseekr1 @GovMikeDeWine @OhioState That’s some pretty loose threads there tying DeWine to the Clintons. Got anything more substantial?
30,Mon Oct 26 02:16:01 +0000 2020,@BrxlzFreak @OhioState @FOCOusa @OhioStAthletics @OhioStateFB Yes I am
31,Mon Oct 26 02:14:39 +0000 2020,@KayceeClowers @OhioState @FOCOusa @OhioStAthletics @OhioStateFB Well they are fun to build. Much more challenging than LEGOs and luckily more affordable. Are you a Buckeyes fan?
32,Mon Oct 26 02:13:47 +0000 2020,@BrxlzFreak @OhioState @FOCOusa @OhioStAthletics @OhioStateFB You are welcome and no I have not
33,Mon Oct 26 02:13:16 +0000 2020,@KayceeClowers @OhioState @FOCOusa @OhioStAthletics @OhioStateFB Thanks! Have you built any #brxlz?
34,Mon Oct 26 00:52:33 +0000 2020,@Why45huh @SWAtlasHoover @OhioState @GovMikeDeWine Good question! He has been wearing a mask the whole time. OSU is extreme with masks; they’re even required outdoors.
35,Mon Oct 26 00:28:53 +0000 2020,With the second pick in the 2021 @NFL draft the @AtlantaFalcons select @justnfields quarterback from THE @OhioState
36,Sun Oct 25 23:14:40 +0000 2020,@doctorofpeppers @UMichFootball Neither would @UMich fans hahah but @OhioState would
37,Sun Oct 25 23:06:49 +0000 2020,@kfishercanton @OhioState 😂😂😂I hear you!
38,Sun Oct 25 22:51:26 +0000 2020,"@rthiel1096 @OhioState Thank you. I can't imagine putting the amount of time &amp; effort that he &amp; his classmates at the Early College HS put in,. Great program, but truly incredible dedication from teenagers to their education. They had a hard time getting me to show up for study hall..."
39,Sun Oct 25 22:50:24 +0000 2020,@BrxlzFreak @OhioState @FOCOusa @OhioStAthletics @OhioStateFB That looks really cool
