,created_at,full_text
0,Mon Oct 26 18:33:17 +0000 2020,@ohiou Another beautiful addition to campus.
1,Mon Oct 26 18:13:26 +0000 2020,@WitmerLab @OHIOsciencecafe @ohiou @OUHCOM So cool!
2,Mon Oct 26 16:25:27 +0000 2020,"@StephJVL @covid_ohio @ohiou @CityofAthensOH Not sure where ""here"" is, or where ""not on campus"" is, my nephew returned to college but now tested positive for Covid."
3,Mon Oct 26 16:08:04 +0000 2020,@OHIOAlumni @ohiou @OhioBobcats @AldenLibDigital Ahhh... I see what you did there...
4,Mon Oct 26 16:07:41 +0000 2020,@ohiou Photo assets on STRONG...
5,Mon Oct 26 15:55:56 +0000 2020,@OHIOAlumni @ohiou @OHIOStudentLife @OhioBobcats @AthensOhio Amen
6,Mon Oct 26 15:50:18 +0000 2020,@Joelkg1102 @ohiou @OHIOStudentLife @OhioBobcats @AthensOhio Those walks are always the best part of the day!💚
7,Mon Oct 26 15:28:38 +0000 2020,"@covid_ohio @ohiou @CityofAthensOH It’s funny for an area that’s supposed to be so diverse, that they will assume one needs a mask without knowing a persons past history and why they don’t wear a mask. Not all disabilities or medical issues are visible.."
8,Mon Oct 26 11:39:18 +0000 2020,@ablakefineart @ThatsSoAthens @CityofAthensOH @OhioBobcats @AthensOhio @OHIOAlumni @ohiou Love that piece and #townsendcoffee
9,Mon Oct 26 01:29:33 +0000 2020,"Donations can be made at the link above/in my bio, and please do not hesitate to reach out to me via message or below with questions! We can make the world a better place by coming together as one and giving these children and families all of our love and support.
@ohiou 
#FTK"
10,Sun Oct 25 22:52:31 +0000 2020,@ohiou @OHIOStudentLife @OhioBobcats @AthensOhio @OHIOAlumni Have walked this over 1000 times.  I truly miss my daily walks. Joel Greenberg OU ‘71
11,Sun Oct 25 12:42:26 +0000 2020,"@PaulMeisel @ohiou Paul, whom I do not know, please go suck an egg.

Happy Sunday."
12,Sun Oct 25 12:09:03 +0000 2020,@ColtonHensonOH Call @OhioU and ask for your tuition money back.  They failed you.
13,Sun Oct 25 00:38:40 +0000 2020,@OHIOStudentLife @ohiou Who has the best pizza 🍕?
14,Sat Oct 24 21:07:42 +0000 2020,"@Three_Ninjas @ohiou @OUHCOM Absolutely! Hummingbirds are among my favorite birds and impressively athletic beyond all proportion to their size, so I shouldn’t take cheap shots at them. 😃"
15,Sat Oct 24 20:55:57 +0000 2020,@WitmerLab @ohiou @OUHCOM Any bird who can traverse the entire Gulf of Mexico in one go deserves at least consideration for the title of honorary seabird.
16,Sat Oct 24 13:27:21 +0000 2020,RT @HopeWorstell: @MuskingumUnivPR @Ohio_SE @ohiou We love that @MuskingumUniv view! 🌿✨😍
17,Fri Oct 23 23:24:37 +0000 2020,@MuskingumUnivPR @Ohio_SE @ohiou We love that @MuskingumUniv view! 🌿✨😍
18,Fri Oct 23 22:43:36 +0000 2020,@MuskingumUnivPR @ohiou 🙌🍂 What a view!
19,Fri Oct 23 21:10:01 +0000 2020,@clevelanddotcom You spelled ‘Ohio University’ wrong? @ohiou
20,Fri Oct 23 19:41:53 +0000 2020,@eric_haueter @ohiou Thanks for the correction!
21,Fri Oct 23 18:33:16 +0000 2020,"@covid_ohio @ohiou Um, I see Athens County at #6?"
22,Fri Oct 23 17:47:47 +0000 2020,"@WitmerLab @OHIOsciencecafe @ohiou @NSF @OUHCOM @OhioBioSciences @BobcatsDiscover @OhioEcoEvo Came here to enjoy gator bones, stayed to comment about how oh my god, there really is somebody out there with the same name as me!"
23,Fri Oct 23 17:45:05 +0000 2020,"We hope you enjoyed meeting some of the pets of the Women's Center! We would love to meet your pets! Introduce your pet(s) and tag us at: @OHIOWomenCenter We can't wait to meet them! 
@OHIOLGBTCenter @OHIO_mcc @OHIOOMSAR @ohiou @OUGradSenate @OHIOStudentLife @OHIO_Housing (14/14)"
24,Fri Oct 23 17:15:20 +0000 2020,"The U.S. Department of Agriculture’s (USDA) Farmers to Families program is partnering with Ohio University graduate Roshelle Pate’s Food Soldier Hunger Coalition to hold free drive-through grocery distributions in Athens over the next three weeks.
See more from @ohiou"
25,Fri Oct 23 16:28:15 +0000 2020,@ProfFredette @ohiou We are in the process of developing deliberations that will attempt to address the points that were made in the letter from the faculty and will respond in a timeframe that is worthy of the issues raised. You have been asked to join the task force that will respond.
26,Fri Oct 23 15:59:26 +0000 2020,RT @OHDebates: Major shoutout to @MayaMeade @DDNSmartMouth @AR_Shoemaker @thodson @tsutton60 @CRandyCole @Cyndra @AARPOhio @KipProgram @ohi…
27,Fri Oct 23 15:58:39 +0000 2020,@ProfFredette @ohiou “Read 3:24 PM”
28,Fri Oct 23 15:47:36 +0000 2020,"@ProfFredette @ohiou ""What letter?"""
29,Fri Oct 23 15:40:03 +0000 2020,"Guesses about what will be in @ohiou's response to the recent faculty grievance letter? Wrong answers only. Here's one: ""We sense our gaslighting efforts are failing."""
30,Fri Oct 23 15:35:29 +0000 2020,"RT @ProfFredette: While we're at it, let's also fire the people who got us in this mess in the first place. Our budget problems @ohiou blos…"
31,Fri Oct 23 15:28:49 +0000 2020,"While we're at it, let's also fire the people who got us in this mess in the first place. Our budget problems @ohiou blossomed under CFO Shaffer's watch; Nellis chose the wrong priorities. They are selling our Trustees a bill of goods."
32,Fri Oct 23 15:26:45 +0000 2020,...to a time when there were fewer people waiting. This random test was literally the most at-risk she has been in 7 months. THEN they forced her to wait for the results for an additional 20 minutes. This is beyond disgraceful. @ohiou do better.
33,Fri Oct 23 15:17:24 +0000 2020,@covid_ohio @ohiou That's 300 cases per 100 people?  That's an average of 3 cases per person!
34,Fri Oct 23 14:05:42 +0000 2020,"@ohiou @AttorneyCrump Many of these ""victims"" were criminals breaking the law. This clown is the new Johnnie Cochran"
35,Fri Oct 23 12:23:24 +0000 2020,@realDonaldTrump @JoeBiden Mr Trump what school did you go. The virus did not go. What is wrong with the people who support Trump and they still support  This guy. @CNNnewsroom @blackpeopledata @KamalaHarris @JoeBiden @WSJ @morningmika @MaryLTrump @Trumpbase45 @ohiou
36,Fri Oct 23 12:05:28 +0000 2020,RT @OHDebates: Major shoutout to @MayaMeade @DDNSmartMouth @AR_Shoemaker @thodson @tsutton60 @CRandyCole @Cyndra @AARPOhio @KipProgram @ohi…
37,Fri Oct 23 04:32:52 +0000 2020,RT @CRandyCole: @OHDebates @MayaMeade @DDNSmartMouth @AR_Shoemaker @thodson @tsutton60 @Cyndra @AARPOhio @KipProgram @ohiou @TheCityClub We…
38,Fri Oct 23 03:17:04 +0000 2020,@CRandyCole @MayaMeade @DDNSmartMouth @AR_Shoemaker @thodson @tsutton60 @Cyndra @AARPOhio @KipProgram @ohiou @TheCityClub You and @Cyndra were so sharp. Thank you for making time to be with us!
39,Fri Oct 23 03:14:03 +0000 2020,RT @CRandyCole: @OHDebates @MayaMeade @DDNSmartMouth @AR_Shoemaker @thodson @tsutton60 @Cyndra @AARPOhio @KipProgram @ohiou @TheCityClub We…
40,Fri Oct 23 03:13:23 +0000 2020,"@OHDebates @MayaMeade @DDNSmartMouth @AR_Shoemaker @thodson @tsutton60 @Cyndra @AARPOhio @KipProgram @ohiou @TheCityClub Well organized,  well run, thoughtful participants, attentive audience- it had to be a success! Honored to play a part in the discussion!"
41,Fri Oct 23 03:11:33 +0000 2020,RT @OHDebates: Major shoutout to @MayaMeade @DDNSmartMouth @AR_Shoemaker @thodson @tsutton60 @CRandyCole @Cyndra @AARPOhio @KipProgram @ohi…
42,Fri Oct 23 03:11:15 +0000 2020,Major shoutout to @MayaMeade @DDNSmartMouth @AR_Shoemaker @thodson @tsutton60 @CRandyCole @Cyndra @AARPOhio @KipProgram @ohiou #bobcatsvote @TheCityClub and Jerry Miller for making our first ever virtual #debatewatch season so successful
43,Fri Oct 23 02:37:31 +0000 2020,"alright @ohiou we need a hard rule, no hw on nights of presidential debates or class on election day. if we're pushing the future gens forward, let's give them the room to pivot"
44,Thu Oct 22 23:54:40 +0000 2020,@mklein521 @OHIOATEdu @ohiou @OHIOGC @CHSPOhio @OhioU_AHSW We all knew that
45,Thu Oct 22 23:23:19 +0000 2020,@TayloredLooks @ohiou Hello! 😊
46,Thu Oct 22 23:22:13 +0000 2020,@DoktorSamantha @ohiou Hey my fellow Ohioan!
47,Thu Oct 22 23:19:14 +0000 2020,I’m late! I am in my first MSW year at @ohiou  #MacroSW #sw5602
48,Thu Oct 22 23:15:20 +0000 2020,@Imeojeda Hi everyone! I’m Kali. I’m a MSW student at @ohiou 💚 #macroSW #sw5602
49,Thu Oct 22 23:05:44 +0000 2020,@b_sloss @OHIOATEdu @ohiou @OHIOGC @CHSPOhio @OhioU_AHSW You know me too well!
50,Thu Oct 22 23:00:42 +0000 2020,@mklein521 @OHIOATEdu @ohiou @OHIOGC @CHSPOhio @OhioU_AHSW This has been alleged for years... 🤣
51,Thu Oct 22 22:53:13 +0000 2020,@andrew_exler @ohiou Thank you. ❤️
52,Thu Oct 22 22:46:06 +0000 2020,@OHIOATEdu @ohiou @OHIOGC @CHSPOhio @OhioU_AHSW I guess I graduated from the unprofessional program.
53,Thu Oct 22 22:45:20 +0000 2020,"@CaseyyMcGaw Some of my best &amp; smartest classmates in the Sport Management program at @ohiou were female. 

MANY of them have gone on to successful careers scattered around the sports industry. 

Couldn’t be prouder to be an advocate for women in the sports world. They make it better."
54,Thu Oct 22 21:15:19 +0000 2020,@emchinn @ohiou 🙌 Beautiful!
55,Thu Oct 22 19:04:10 +0000 2020,"@ohiou @GlobalOHIO @OHIOGoGlobal @OHIOPrezOffice @OHIOStudentLife How about y'all cover educating the people you promised service too for the next year or so before you go claiming totally unwarranted international ""excellence""."
56,Thu Oct 22 18:32:07 +0000 2020,"@PiperPerabo @lwvohio @ohiou @OhioState @ohioaflcio @cavs @uakron @DispatchAlerts @cincinnatiopera @KentState @cwru Dear Piper and I have been writing for a long time to talk to you, I am a fan of you who writes on Facebook in COVERT AFFAIRS ITALIA I wish I could also speak to you in SKYPE Serge Antoine.GOMEZ, on email sergeagomez@gmail.com for friendship thanks"
57,Thu Oct 22 17:56:37 +0000 2020,@NicholasOleksy @ohiou We miss you @NicholasOleksy
58,Thu Oct 22 17:18:48 +0000 2020,@Hoffmanck @OHIOStudentLife @ACCHD_OH @ohiou It’s a good day for that for sure!
59,Thu Oct 22 17:11:59 +0000 2020,@MACSports @ohiou @juliecromerOHIO @SarahWyattOhioU Congratulations!
60,Thu Oct 22 15:05:35 +0000 2020,"@ProfFredette @ohiou @OU_SaveOurProfs @ohiosab @OHIOAlumni @ohioaflcio @AFSCMEOhio @chronicle @DispatchAlerts It's almost as if retention bonuses were negotiated as part of taking a pay cut, ""taking 10-15% less is just for show, we'll make it up, and then some, with bonuses that more than make up the difference."""
61,Thu Oct 22 14:02:02 +0000 2020,@DWBerkley @ohiou One of the most beautiful small town campuses you will ever see.  Enjoy it my friend
62,Thu Oct 22 11:27:26 +0000 2020,@Timberati @ohiou We miss her. Odd being empty-nesters...
63,Thu Oct 22 06:14:04 +0000 2020,@ohiou @PsychicHealerC @OHIO_Housing @OHIOStudentLife @OhioBobcats @OHIOPrezOffice @AthensOhio There are days when I would give anything to be young and at OU again.
64,Thu Oct 22 03:03:17 +0000 2020,"@ProfFredette @ohiou @NewsmanBen @DispatchAlerts @chronicle @GovMikeDeWine @JayEdwardsOhio She makes more than (if not the same as) @ohiou
 college deans. Hmm...how shameful!"
65,Thu Oct 22 02:35:15 +0000 2020,@ohiou @OHIO_Housing @OHIOStudentLife @OhioBobcats @OHIOPrezOffice @AthensOhio I lived there for three years. Read Hall and Lincoln Hall. I remember my first reaction to East Green. “This is how College is supposed to look like.” 🙂🙌🏻🙌🏻❤️❤️
66,Thu Oct 22 01:19:04 +0000 2020,@CommishMThomas @ohiou Diner tomorrow AM 👍🏼
67,Thu Oct 22 01:13:45 +0000 2020,"@ProfFredette @ohiou @NewsmanBen @DispatchAlerts @chronicle @GovMikeDeWine @JayEdwardsOhio I thought we were broke? If market rate is the standard are faculty going to get market rate adjustments? Many, many are well below market rate. Is this only for admin??"
68,Thu Oct 22 00:56:40 +0000 2020,@ohiou @OHIO_Housing @OHIOStudentLife @OhioBobcats @OHIOPrezOffice @AthensOhio Remember it well
69,Thu Oct 22 00:41:24 +0000 2020,"@DWBerkley @ohiou Good choice in restaurants too. My top 5 fave Athens, OH restaurants:

1. Casa Neuva

2. Purple Chopstix

3. Cutler's 

4. Zoe

5. Ciro

5A. Union Street Diner"
70,Thu Oct 22 00:35:07 +0000 2020,@PiperPerabo @lwvohio @ohiou @OhioState @ohioaflcio @cavs @uakron @DispatchAlerts @cincinnatiopera @KentState @cwru Already submitted my vote via the mail!
71,Thu Oct 22 00:27:53 +0000 2020,@DWBerkley @ohiou Taking care of the important stuff. Family.
72,Wed Oct 21 21:52:03 +0000 2020,"""What resources are available at @ohiou for help with project development?""

PB: ""Come see me!""
Go to the @OHIO_CE  (Center for Entrepreneurship; request Paul Benedict/Paul Mass)
Potential Funding: Bobcat Seed Fund (up to $3,000)"
73,Wed Oct 21 21:32:57 +0000 2020,@OHIO_SAP @ohiou You are an amazing group...miss you all!
74,Wed Oct 21 21:23:59 +0000 2020,"@OHIOsciencecafe @BobcatsDiscover @ohiou A problem is that it is hard to find any resources when a research rethinks some of the current physics. On Twitter, Professor Sean Carroll wrote that academia penalizes risk-taken. It is unclear how to deal with it..."
75,Wed Oct 21 20:33:49 +0000 2020,"@eromansky @ohiou sorry, never gets old!"
76,Wed Oct 21 18:26:32 +0000 2020,@elijahQB @ohiou @AthensOhio @OhioFindItHere this is my new header on linkedin
77,Wed Oct 21 18:15:59 +0000 2020,@PabloTorre @FlemESPN This story is a perfect example of the relationship between @ohiou &amp; @OhioState. OSU has a light chuckle and mostly forgets about this happening. OU still talks about this like it happened yesterday AND is the greatest thing to ever happen in school history.
78,Wed Oct 21 17:59:04 +0000 2020,"@PiperPerabo @Everytown @RaysBaseball @RuthsListFL @FLRightsRestore @UCF @UF @univmiami @ohiou @PennStateAlums @AMarch4OurLives @NBCTheVoice Dear Piper and I have been writing for a long time to talk to you, I am a fan of you who writes on Facebook in COVERT AFFAIRS ITALIA I wish I could also speak to you in SKYPE Serge Antoine.GOMEZ, on email sergeagomez@gmail.com for friendship thanks"
79,Wed Oct 21 16:49:21 +0000 2020,@araranosu cock @Colicen_thlty @rrtyui @taku_osu @bryantsugiarto @araranosu @amet_rano  @DietCoke @osugame @IndiHome @NintendoAmerica @sepongventi @BTS_twt @ohiou
80,Wed Oct 21 15:34:38 +0000 2020,@PiperPerabo @Everytown @RaysBaseball @RuthsListFL @FLRightsRestore @UCF @UF @univmiami @ohiou @PennStateAlums @AMarch4OurLives @NBCTheVoice Done
81,Wed Oct 21 03:52:46 +0000 2020,"@ohiou you have dealt w this semester so poorly i cannot believe you are still an accredited institution
u are a mockery to higher education"
82,Wed Oct 21 02:30:36 +0000 2020,"@OHIOStudentLife @ohiou But you know that there is almost a 0% chance of a student testing positive becoming seriously ill, right? And according to the New York Times, up 90% of those testing positive on some tests are not contagious?"
83,Wed Oct 21 01:51:05 +0000 2020,@jbpina @ThePost @ohiou Wow.. we SAPros can only ever wish for such kind rememberance from the students we serve. Well done and Congratulations 🎉
84,Wed Oct 21 01:19:32 +0000 2020,@jbpina @ThePost @ohiou OU was lucky to have you!
85,Wed Oct 21 01:13:51 +0000 2020,"@YPSportsChat @uofl ‘12/@ohiou ‘20, Asst. Director of Facilities and Events @UTSAAthletics and @Twitter 

#YPSportsChat"
86,Tue Oct 20 23:41:31 +0000 2020,Literally grew up watching @BillNye  for my science classes. Now watching him on @theNSLS Live broad cast! Suck a humble man. #theNSLS @ohiou @SHSPackLeader @KNCT_SPORTS
87,Tue Oct 20 22:25:52 +0000 2020,"@ohiou why did freshman only receive free masks? We’re paying full tuition for online classes, so the least you could do is send everyone else masks as well."
88,Tue Oct 20 21:46:00 +0000 2020,"So far, it’s a freakin landslide for #TeamRufus and @ohiou"
89,Tue Oct 20 21:30:36 +0000 2020,@LiquidMagician @endlesscalendar @yagirlgbrody @SuperRalphAngel @Jeffery8620 @KaitMarieox @ohiou My father taught English. I can commiserate. Accuracy is a lost art in communication today.
90,Tue Oct 20 18:15:53 +0000 2020,Missing @ohiou a ton today 💚🤍
91,Tue Oct 20 17:10:52 +0000 2020,"@edpublicpolicy @SasheenSucceed @ohiou @OHIOPattonCOE A1: I ask a lot of questions, but I also share a lot about where my head is in hopes that this will free them up to do the same. 2/2 #EPPLCChat"
92,Tue Oct 20 17:09:39 +0000 2020,@edpublicpolicy @SasheenSucceed @ohiou @OHIOPattonCOE Sasheen also gets the award for the best Twitter handle!
93,Tue Oct 20 17:09:00 +0000 2020,Our moderator for today's #EPPLCChat is Sasheen Phillips @SasheenSucceed.  Sasheen is a member of the EPPLC team and a Doctoral Candidate at Ohio University @ohiou @OHIOPattonCOE
94,Tue Oct 20 17:06:00 +0000 2020,Also joining us for today’s chat is Dr. Emmanuel Jean-Francois @EmannualJeanF10 who is an Associate Professor in Educational Leadership at @ohiou #EPPLCChat
95,Tue Oct 20 17:06:00 +0000 2020,We are also joined by Dr. Laura Harrison @drlauraharrison Higher Education Administration professor @ohiou#EPPLCChat
96,Tue Oct 20 17:06:00 +0000 2020,"We are also joined by Dr. Pete Mather @DrPeteMather who is a Professor, Higher Education &amp; Student Affairs &amp; Department Chair for Higher Education &amp; Counseling @HESAOhio at @OHIOPattonCOE @ohiou #EPPLCChat"
97,Tue Oct 20 17:04:34 +0000 2020,@edpublicpolicy @ohiou Glad to be here.
