,created_at,full_text
0,Mon Oct 26 14:02:08 +0000 2020,@maggiesmithpoet @OneSignalPub I just saw you on @TODAYshow and immediately ordered your book!  Then I read your bio and saw that you are a fellow @OhioWesleyan alum (‘89 here)!!!  Congrats on your book — I can’t wait to read it!  Go Bishops!  🔴⚫️
1,Mon Oct 26 13:51:33 +0000 2020,"Another great line-up of virtual college admission visits this week
TODAY:
@sunyoswego 
@virginia_tech 

TUESDAY:
@Beloit_College 
@Maine_Maritime 

WEDNESDAY:
@stonybrooku 
@OhioWesleyan 

#collegecounseling #collegeprep #admissionvisits"
2,Sun Oct 25 02:13:28 +0000 2020,@AbbottTeach @DenisonU @DanielAug6 @OhioWesleyan Great school no doubt!!! 📚📝⭐️💘
3,Sun Oct 25 02:07:54 +0000 2020,@EducatingAndrea @DenisonU @DanielAug6 Better take that young man to @OhioWesleyan!!
4,Fri Oct 23 02:43:50 +0000 2020,@michele_nobel @OhioWesleyan Great job!
5,Thu Oct 22 01:54:51 +0000 2020,@JasmineSpitzer @OhioWesleyan I found it best to just go into the bursar/accounting or whatever it is office. Harder bc you’re off campus but maybe less aggravating
6,Wed Oct 21 22:35:09 +0000 2020,@JasmineSpitzer @OhioWesleyan Pulled the same shit with me my last year there. Lol @ this school. Hope you get it sorted out ♥️
7,Wed Oct 21 18:44:18 +0000 2020,@OhioWesleyan @JasmineSpitzer Drinks on Jasmine this weekend
8,Wed Oct 21 17:59:22 +0000 2020,"@JasmineSpitzer Jasmine, we just sent you a DM. You should have an email from financial aid shortly and your balance will be zero after tomorrow. Have a great rest of your day!"
9,Wed Oct 21 17:44:18 +0000 2020,@OhioWesleyan I transferred to OWU as a sophomore in 1990 and that choice remains one of the best I’ve ever made!
10,Wed Oct 21 17:30:00 +0000 2020,Ohio Wesleyan University will be joining the CRC today Virtually on Google Meets from 1:30PM-2:00PM (GM Code: chan-crc) @OhioWesleyan
11,Wed Oct 21 16:35:03 +0000 2020,Leave it to @OhioWesleyan to change my financial aid halfway through the semester in the midst of a global pandemic causing me to OWE MONEY and not responding to my email a week ago about why this happened! I can already hardly afford to pay my rent and bills and now this! Yay!
12,Wed Oct 21 12:54:19 +0000 2020,"Here's this week's lineup for Virtual College Visits TODAY! (10/21)

10:00AM | @UofSC
10:45AM | @UISedu
11:30AM | @illinoistech
12:00PM | Army National Guard
12:30PM | @DePaulU
1:30PM | @OhioWesleyan
2:05PM | @elonuniversity
3:00PM | @UUtah"
