,created_at,full_text
0,Mon Oct 26 18:20:31 +0000 2020,"@burnshargis @OSUFirstCowgirl @okstate Thank you, President Burns Hargis and @OSUFirstCowgirl Ann Hargis for your dedication and spirit. 🧡🤠"
1,Mon Oct 26 12:52:36 +0000 2020,RT @siriterjesen: Delighted to 💻present social entrepreneurship 💡and markets 🎢💵 research with @diana_h (@USouthFlorida) in an IHS panel wit…
2,Mon Oct 26 02:45:48 +0000 2020,"@Hubbard_RMN tries to act like a tough ass football player but was triggered by 3 letters of a news outlet on a T-Shirt. 

Fuck you you Canadian PUSSY! 

@okstate @OANN"
3,Mon Oct 26 02:44:14 +0000 2020,"I’m old enough to remember when @Hubbard_RMN was so emotionally triggered by an @OANN / @ChanelRion T-Shirt that he curled up like a b*tch &amp; @okstate complied.

Now @OANN is the only news outlet exposing the Biden’s child abuse crimes.

F*ck you @Hubbard_RMN you faux weak soyboy."
4,Mon Oct 26 00:11:51 +0000 2020,"RT @saphirec98: Good morning,
Just here to remind you that the Baylor/OSU game is moved to the day of graduation, Dec. 12.
However, I can’t…"
5,Sun Oct 25 21:04:11 +0000 2020,@burnshargis @OSUFirstCowgirl @okstate Congratulations on a job well done. Proud to be able to call you and Ann our friends.
6,Sun Oct 25 20:02:53 +0000 2020,"@davidfholt @burnshargis @okstate you woulda loved the guy before him, Schmidly....reminded me a lot of you"
7,Sun Oct 25 17:15:04 +0000 2020,"@slmandel @BravesAndBirds It is pretty absurd to me how you all consistently leave @CoachGundy off this list. Look at his record over the last 15 years. It’s top 25-worthy on its own, but when you compare it to @okstate ‘s historical performance, it’s incredible."
8,Sat Oct 24 23:40:44 +0000 2020,How 'bout them Cowboys @CowboyFB @okstate
9,Sat Oct 24 23:33:38 +0000 2020,"Switched over from @okstate win to LSU game and after 2 seconds of hearing announcers, knew it was @FA norlovsky7. Great job explaining LSU D issues on long run. Toss away the remote. Must listen tv. 👍🏻"
10,Sat Oct 24 23:12:13 +0000 2020,Fuck you @okstate
11,Sat Oct 24 23:04:49 +0000 2020,@Big12Conference owes an apology to @okstate for the embarrassing officiating today.
12,Sat Oct 24 22:52:53 +0000 2020,"@CoachGundy stop giving the poll voters reason to doubt @CowboyFB   

Full throttle for 4 quarters. 
Score early. Score often. 

@okstate has to rise above the stigma of the @Big12Conference    Or we won’t sniff the playoff as an undefeated team. 

Impress the voters! #GoPokes"
13,Sat Oct 24 22:38:47 +0000 2020,@okstate is looking tough today against Iowa State today. Welcome back @SpenceSanders
14,Sat Oct 24 22:20:43 +0000 2020,Lets GO @okstate
15,Sat Oct 24 22:18:56 +0000 2020,The announcers lost power in the @okstate @IowaStateU game. We need more announcer-less football
16,Sat Oct 24 20:39:34 +0000 2020,"RT @officialijms: 🏈 CFB PICKS 🏈

Miguel @1MLopez 1-1
@OhioStateFB -23.5
@CycloneFB +3.5
@PennStateFball -6
@SMU_Football -2
@NCStateFootbal…"
17,Sat Oct 24 20:05:18 +0000 2020,"@GovStitt @burnshargis @okstate @burnshargis has the integrity and strength to lead through adversity, so thankful we had him at the helm making the tough decisions.  Learn from him! There’s no reason Oklahoma should be in such a bad situation!"
18,Sat Oct 24 20:00:17 +0000 2020,"🏈 CFB PICKS 🏈

Miguel @1MLopez 1-1
@OhioStateFB -23.5
@CycloneFB +3.5
@PennStateFball -6
@SMU_Football -2
@NCStateFootball +14.5
@UMichFootball -3

Braxton @braxtastic 1-1
@HuskerFBNation +23.5
@okstate -3.5
@PennStateFball -6
@GoBearcatsFB +2
@GoHeels -14.5
@GopherFootball +3"
19,Sat Oct 24 19:39:48 +0000 2020,@okstate hoping @CycloneFB doesnt look Purdy today 🤞🤞🤞
20,Sat Oct 24 17:54:22 +0000 2020,@bradkinsinger @IowaStateU @okstate Using everyone else's logic for me on the Hawkeyes you live in Iowa your bachelors lays the foundation #CyclONEnation
21,Sat Oct 24 16:26:04 +0000 2020,"@SneakyPeanut82 @dreamthedayaway @davidfholt @burnshargis @okstate @GovStitt Lol.... if masks work, why have cases gone up since the mask mandate? Higher risk of infection comes from mishandling your mask"
