,created_at,full_text
0,Mon Oct 26 15:25:34 +0000 2020,@frogbertt @ODU Hi there! We would like to look into your session to see if we can find what may have happened. Would you mind sending us a DM with your ProctorU email so that we can do so?
1,Sun Oct 25 22:07:37 +0000 2020,@ODUnews @ODU I'm happy to see this. I really hope he wins!
2,Sun Oct 25 17:00:11 +0000 2020,@Dr_Radice @NatlParkService @GoParks @BarshisLab @ODU @NPamericansamoa Dm dear
3,Sat Oct 24 23:52:59 +0000 2020,"RT @VPasquantino: @FearTheMAVERICK wins in her UFC Debut!! @ODU being put on the map in so many different way lately. World Series, NFL, UF…"
4,Sat Oct 24 23:48:27 +0000 2020,"RT @VPasquantino: @FearTheMAVERICK wins in her UFC Debut!! @ODU being put on the map in so many different way lately. World Series, NFL, UF…"
5,Sat Oct 24 22:37:12 +0000 2020,"RT @Sh00k3ms: Captain for 
@ODU
's 1st attempt at 
@nationalcptc
 #westernregion (not sure, but not asking). In it for the learn &amp; experien…"
6,Sat Oct 24 21:47:23 +0000 2020,"RT @Sh00k3ms: Captain for 
@ODU
's 1st attempt at 
@nationalcptc
 #westernregion (not sure, but not asking). In it for the learn &amp; experien…"
7,Sat Oct 24 21:12:48 +0000 2020,"@Sh00k3ms @ODU @nationalcptc @kombuchajaygma1 @Riley_Ignis @MelOr229 Got domain admin, not a big deal."
8,Sat Oct 24 16:57:48 +0000 2020,RT @RCIOconference: @DrakeTerry @ODU So great to have you back with us Drake.
9,Sat Oct 24 16:55:32 +0000 2020,@DrakeTerry @ODU So great to have you back with us Drake.
10,Sat Oct 24 15:50:20 +0000 2020,"@FearTheMAVERICK wins in her UFC Debut!! @ODU being put on the map in so many different way lately. World Series, NFL, UFC. Let’s goooooooooo! Congrats Miranda!!"
11,Sat Oct 24 15:06:18 +0000 2020,"Captain for 
@ODU
's 1st attempt at 
@nationalcptc
 #westernregion (not sure, but not asking). In it for the learn &amp; experience this year. 
@kombuchajaygma1 
@nehoctrebor
@Riley_Ignis
@MelOr229"
12,Sat Oct 24 13:52:41 +0000 2020,@SkySportsGolf @KenBrownGolf this putter looks like a branding iron ???? Or like a fang or an @ODU 7 etc ? #Dinosaur
13,Sat Oct 24 03:46:17 +0000 2020,"@_Tmcoco @ODUBaseball @ODU @NRWarriors @WTKR3 @MatthewQuatraro @Sweet_n_Lowe5 Appreciate you looking out &amp; keeping us honest! Enjoy the Series, Trey."
14,Sat Oct 24 03:41:12 +0000 2020,@AdamWinkSports @ODUBaseball @ODU @NRWarriors @WTKR3 @MatthewQuatraro @Sweet_n_Lowe5 You’re also missing Chris Taylor on the Dodgers. He played at Cox High school. 757!!!
15,Sat Oct 24 01:27:19 +0000 2020,@EManteca @ODU Thanks!
16,Sat Oct 24 01:26:59 +0000 2020,@jcanfil @ODU Thanks!
17,Sat Oct 24 01:26:41 +0000 2020,@richardmaass @ODU Congrats Rich!!
18,Sat Oct 24 00:26:58 +0000 2020,@LangstonLCB @Harry_MiniumODU @ODUVB @ODU @ODUAlumni @RickyRahne @ODUSEES @ODUSGA @CUSAVB @PlayTVA Working through that question. I hope so as well!
19,Sat Oct 24 00:22:34 +0000 2020,@Harry_MiniumODU @ODUVB @ODU @ODUAlumni @RickyRahne @ODUSEES @ODUSGA @CUSAVB @PlayTVA Can’t wait to play our first match in here!
20,Fri Oct 23 23:16:53 +0000 2020,"@LangstonLCB @Harry_MiniumODU @ODUVB @ODU @ODUAlumni @RickyRahne @ODUSEES @ODUSGA @CUSAVB @PlayTVA @CiaoFredChao If so, our crew will be there!"
21,Fri Oct 23 22:56:05 +0000 2020,@Harry_MiniumODU @ODUVB @ODU @ODUAlumni @RickyRahne @ODUSEES @ODUSGA @CUSAVB @PlayTVA @CiaoFredChao Will fans be allowed to come
22,Fri Oct 23 22:53:58 +0000 2020,@MaxAbrahms @ODU Thanks!
23,Fri Oct 23 22:50:32 +0000 2020,@richardmaass @ODU Very cool
24,Fri Oct 23 20:06:28 +0000 2020,@AndrewBellUS @ODU Thanks!
25,Fri Oct 23 19:55:21 +0000 2020,@richardmaass @ODU Congrats! The Hoosier State will miss you!
26,Fri Oct 23 19:06:52 +0000 2020,@GabrielGlickman @ODU Thanks!
27,Fri Oct 23 19:06:30 +0000 2020,@vera_mironov @ODU Thanks!
28,Fri Oct 23 19:05:57 +0000 2020,@richardmaass @ODU Congratulations!
29,Fri Oct 23 19:05:55 +0000 2020,@richardmaass @ODU Congratulations!
30,Fri Oct 23 18:58:05 +0000 2020,@hilderestad @ODU Thanks!
31,Fri Oct 23 18:57:27 +0000 2020,@richardmaass @ODU That’s wonderful! Congratulations :-)
32,Fri Oct 23 18:57:25 +0000 2020,@caitambrozik @ODU Thanks! Happy to be heading your way!
33,Fri Oct 23 18:56:57 +0000 2020,@richardmaass @ODU Wooo welcome to VA!!! Congrats!
34,Fri Oct 23 18:56:36 +0000 2020,@secolbourn @ODU Thanks!
