,created_at,full_text
0,Sun Oct 25 14:42:52 +0000 2020,"RT @NPRCnews: Alcoholism can affect health, relationships and livelihoods. New evidence from @OHSUNews #ONPRC is shedding light on this com…"
1,Sun Oct 25 14:37:09 +0000 2020,@NPRCnews @OHSUNews so how many primates did you abuse to make this obvious connection?
2,Sun Oct 25 04:09:16 +0000 2020,@drymtn @HalaMuaddi @OHSUNews @OHSUKnight Thanks @drymtn and to all of our collaborators for sharing data to make this possible - we can learn so much more by working together! Hopefully the start of many more collaborations.
3,Sun Oct 25 04:06:46 +0000 2020,"@shimulshah73 @drymtn @HalaMuaddi @OHSUNews @OHSUKnight Yes always hard to tease out some of that granularity in these multicenter studies but that is our experience as well. And all centers have slightly different criteria for when to put them in - ie how much chemo prior. But they do work better earlier on, rather than salvage."
4,Sun Oct 25 00:25:25 +0000 2020,@OHSUNews @OHSUNursing Best of luck to you!  I know you'll reach your goals. Just hang in there. It's a rough ride!
5,Sat Oct 24 23:42:59 +0000 2020,@ForrestWoods2 @MacSmiff OHSU @OHSUNews is absolutely not tryna appear as any form of pro Black Liberation bc I remember there was a some group like a bloc type group that tried to start and had “ohsu” in their name and they posted shortly that ohsu asked them to remove any affiliation w/ohsu
6,Sat Oct 24 20:19:21 +0000 2020,@ForrestWoods2 @MacSmiff Excuuuuse ne. Wtf. @OHSUNews what in the name is going on here and this rampant anti-Blackness??
7,Sat Oct 24 20:09:14 +0000 2020,"RT @SnowLeopardLass: @peta @PeterEgan6 @OHSUNews No other species on our planet is sadistically cruel but the human species. 🤬
@OHSUNews- #…"
8,Sat Oct 24 18:18:42 +0000 2020,@NPRCnews @OHSUNews I totally agree with this.
9,Sat Oct 24 17:52:38 +0000 2020,"RT @ForrestWoods2: Nobody deserves to feel they’re playing societal Russian roulette by simply existing. 

@ohsufamilymed @OHSUNews #BlackL…"
10,Sat Oct 24 17:29:38 +0000 2020,@ForrestWoods2 @ohsufamilymed @OHSUNews Love you. I'm so sorry.
11,Sat Oct 24 17:29:29 +0000 2020,"RT @ForrestWoods2: Nobody deserves to feel they’re playing societal Russian roulette by simply existing. 

@ohsufamilymed @OHSUNews #BlackL…"
12,Sat Oct 24 17:23:27 +0000 2020,"RT @ForrestWoods2: Nobody deserves to feel they’re playing societal Russian roulette by simply existing. 

@ohsufamilymed @OHSUNews #BlackL…"
13,Sat Oct 24 17:22:26 +0000 2020,"Nobody deserves to feel they’re playing societal Russian roulette by simply existing. 

@ohsufamilymed @OHSUNews #BlackLivesMatter"
14,Sat Oct 24 15:42:43 +0000 2020,"@shimulshah73 @PaulKaranicolas @HalaMuaddi @OHSUNews @OHSUKnight In our data less than 50% of patients with biliary sclerosis need a stent (take FUDR out of pump, fill with dex, start ursodiol) and can usually quickly get back on systemic therapy; this had no influence on survival similar to reports from MSK and others."
15,Sat Oct 24 14:44:58 +0000 2020,@drymtn @PaulKaranicolas @HalaMuaddi @OHSUNews @OHSUKnight Congrats.  What happened with the biliary sclerosis?  Issues or manageable?  Also interesting some patients only got 1 cycle of systemic before HAIP?
16,Sat Oct 24 14:08:42 +0000 2020,@AliWonderHell @la_kops @OHSUNews @OHSU_APPs @ohsufamilymed @doctoramilano @mclemoremr Congratulations to you both! :)
17,Sat Oct 24 13:42:53 +0000 2020,"@USAmbKenya my uncle needs an emergency heart surgery at @OHSUNews in Portland in December. Applied for his visa but we can't find a date for an appointment. Factoring the 2 wks quarantine, we wished for an expedited appointment. Pls assist."
18,Sat Oct 24 07:39:40 +0000 2020,RT @drymtn: @MustafaRaoofMD @FlavioRochaMD @OHSUKnight @OHSUsurgery @OHSUSOM @OHSUNews @curecc @CcaEns @CCA_Alliance @AHPBA @IHPBA @SocSurg…
19,Fri Oct 23 23:57:12 +0000 2020,@NPRCnews @OHSUNews Umm... this has been known for at least 50 years.
20,Fri Oct 23 23:35:08 +0000 2020,RT @la_kops: @PattyGeraghty @scottsdalenp @AANP_NEWS @OHSUNews @OHSU_APPs @ohsufamilymed @doctoramilano @mclemoremr I love Liletta but do t…
21,Fri Oct 23 22:00:41 +0000 2020,@JuniperLSimonis @BESPortland @OHAOregon @OHSUNews Subtweet to add that I adore my husband &amp; I only stalk you because I know you are going to be famous someday &amp; not because I'm doing that gross thing where straight white women suddenly want to play gay/pan/nonbinary/black ally/sjw because it's cool. (And you radiate adorable)
22,Fri Oct 23 21:41:17 +0000 2020,@RELATELabPDX @DrJCoftheDC Oh. NOW @RELATELabPDX is going to take off! Dancing king is in town. Honored to share this space with such incredible colleagues! 🙌 #healthcareisateamsport @ohsufamilymed @OHSUNews @OHSU_APPs
23,Fri Oct 23 21:19:38 +0000 2020,"@la_kops @AANP_NEWS @OHSUNews @OHSU_APPs @ohsufamilymed @doctoramilano @mclemoremr My oldest just changed his major to nursing this fall, wants to be a NP like mom, I cried. He’ll be a third generation nurse."
24,Fri Oct 23 21:12:31 +0000 2020,@AliWonderHell @AANP_NEWS @OHSUNews @OHSU_APPs @ohsufamilymed @doctoramilano @mclemoremr She actually chose this! Without my influence. Except first she was going to dress as #Steffi_Graf but worried people wouldn't figure it out.
25,Fri Oct 23 20:57:57 +0000 2020,@JuniperLSimonis @BESPortland @OHAOregon @OHSUNews And just adorable while sciencing I might add. This is total scientist pin up zone.🤩
26,Fri Oct 23 19:24:44 +0000 2020,@FlavioRochaMD @DenboJw @drymtn @OHSUKnight @OHSUsurgery @OHSUSOM @OHSUNews @curecc @CcaEns @CCA_Alliance @AHPBA @IHPBA @SocSurgOnc @SurgJournal Should we provide u instruments
27,Fri Oct 23 18:05:30 +0000 2020,@la_kops @AANP_NEWS @OHSUNews @OHSU_APPs @ohsufamilymed @doctoramilano @mclemoremr I tried that with my kids one year. My kids were not amused even though they got to use my stethoscopes.
28,Fri Oct 23 17:08:36 +0000 2020,Sending positive vibes for @OHSUNews students on the last lap of finals. Run through the finish!
29,Fri Oct 23 16:36:55 +0000 2020,@drymtn @FlavioRochaMD @OHSUKnight @OHSUsurgery @OHSUSOM @OHSUNews @curecc @CcaEns @CCA_Alliance @AHPBA @IHPBA @SocSurgOnc @SurgJournal Love it! Only way to make progress
30,Fri Oct 23 15:57:40 +0000 2020,"@MustafaRaoofMD @FlavioRochaMD @OHSUKnight @OHSUsurgery @OHSUSOM @OHSUNews @curecc @CcaEns @CCA_Alliance @AHPBA @IHPBA @SocSurgOnc @SurgJournal Yes—have a end of tx perc bx at the end of tx period 2 after 2 mo HAI flox/dex + FOLFIRI. At time of pump placement also take normal liver, bile, nodes, hepatic venous blood, portal venous blood, sys venous blood, &amp; samples of all dz sites in liver. Lots of opportunity to learn!"
31,Fri Oct 23 15:53:05 +0000 2020,"@johnsealmd @FlavioRochaMD @OHSUKnight @OHSUsurgery @OHSUSOM @OHSUNews @curecc @CcaEns @CCA_Alliance @AHPBA @IHPBA @SocSurgOnc @SurgJournal Thank you for moderating and facilitating the discussion, Dr. Seal!"
32,Fri Oct 23 15:52:16 +0000 2020,@zubirahmed @FlavioRochaMD @OHSUKnight @OHSUsurgery @OHSUSOM @OHSUNews @curecc @CcaEns @CCA_Alliance @AHPBA @IHPBA @SocSurgOnc @SurgJournal It was definitely recorded. Will defer question to Dr. Rocha how/if these recorded talks are available.
33,Fri Oct 23 15:35:33 +0000 2020,@drymtn @FlavioRochaMD @OHSUKnight @OHSUsurgery @OHSUSOM @OHSUNews @curecc @CcaEns @CCA_Alliance @AHPBA @IHPBA @SocSurgOnc @SurgJournal Cool design .. will you collect tissue the second time if they remain unresectable ?
34,Fri Oct 23 15:22:26 +0000 2020,@FlavioRochaMD @drymtn @OHSUKnight @OHSUsurgery @OHSUSOM @OHSUNews @curecc @CcaEns @CCA_Alliance @AHPBA @IHPBA @SocSurgOnc @SurgJournal Great presentation and discussion
35,Fri Oct 23 15:02:43 +0000 2020,@OHSU_WAHM @OHSUNews Thank you! 💫
36,Fri Oct 23 15:02:20 +0000 2020,@la_kops @AANP_NEWS @OHSUNews @OHSU_APPs @ohsufamilymed @doctoramilano @mclemoremr LOVE THIS!!! :-)
37,Fri Oct 23 15:02:12 +0000 2020,@FlavioRochaMD @drymtn @OHSUKnight @OHSUsurgery @OHSUSOM @OHSUNews @curecc @CcaEns @CCA_Alliance @AHPBA @IHPBA @SocSurgOnc @SurgJournal @drymtn was this presentation recorded by any chance??
38,Fri Oct 23 14:33:09 +0000 2020,@FlavioRochaMD @drymtn @OHSUKnight @OHSUsurgery @OHSUSOM @OHSUNews @curecc @CcaEns @CCA_Alliance @AHPBA @IHPBA @SocSurgOnc @SurgJournal Great talk @drymtn !
39,Fri Oct 23 14:28:38 +0000 2020,"@FlavioRochaMD @OHSUKnight @OHSUsurgery @OHSUSOM @OHSUNews @curecc @CcaEns @CCA_Alliance @AHPBA @IHPBA @SocSurgOnc @SurgJournal Thanks, Flavio! This is just such an incredible and special meeting. An honor to attend and to present."
40,Fri Oct 23 04:38:22 +0000 2020,@PattyGeraghty @scottsdalenp @AANP_NEWS @OHSUNews @OHSU_APPs @ohsufamilymed @doctoramilano @mclemoremr I love Liletta but do they make an ID badge pull tag? It's a great conversation starter for patients.
41,Fri Oct 23 04:17:05 +0000 2020,"@la_kops @AANP_NEWS @OHSUNews @OHSU_APPs @ohsufamilymed @mclemoremr In other words, she dressed up as a SUPERHErO. #ReproJusticeLeague"
42,Fri Oct 23 04:13:36 +0000 2020,@la_kops @scottsdalenp @AANP_NEWS @OHSUNews @OHSU_APPs @ohsufamilymed @doctoramilano @mclemoremr I have to follow you now. Though I’ll give a shoutout to Liletta and Medicines360 too.
43,Fri Oct 23 03:16:45 +0000 2020,RT @DegenhardtErica: Congratulations to our new Director of Advanced Practice - Juliana Bernstein PA! @OHSU_APPs @OHSUNews #APPsLead!
44,Fri Oct 23 03:12:50 +0000 2020,@la_kops @AANP_NEWS @OHSUNews @OHSU_APPs @ohsufamilymed @doctoramilano @mclemoremr Awesome!
45,Fri Oct 23 03:10:26 +0000 2020,@jennifer_elad @AANP_NEWS @OHSUNews @OHSU_APPs @ohsufamilymed @doctoramilano @mclemoremr Don't worry! That 3M has been worn for 2 weeks straight before retired from service.
46,Fri Oct 23 02:36:07 +0000 2020,@la_kops @AANP_NEWS @OHSUNews @OHSU_APPs @ohsufamilymed @doctoramilano @mclemoremr what a superstar! loving that 3M !
47,Fri Oct 23 02:33:57 +0000 2020,@la_kops @AANP_NEWS @OHSUNews @OHSU_APPs @ohsufamilymed @doctoramilano @mclemoremr That is so AWESOME 👏
