,created_at,full_text
0,Mon Oct 26 02:29:05 +0000 2020,"Interesting how Marshall wears an @OregonState shirt but has never been to the PNW? 🧐 #GoBeavs 

@OfficialHIMYM"
1,Sun Oct 25 18:39:59 +0000 2020,"I wonder if @OregonState  had a chance to comment, and other universities. Also, do you plan to welcome a foreign studentsPh.D. for a PhD program? That's 5 years."
2,Sun Oct 25 17:44:42 +0000 2020,@PerkinsForUSSen Perhaps @OregonState should consider rescinding your degree?  🤡
3,Sun Oct 25 17:20:32 +0000 2020,@ecohugger @maxrietkerk @OregonState @RoySujji - might be of interest to you.
4,Sun Oct 25 05:56:42 +0000 2020,SDSU being up 34-6 over UNLV is just more evidence that SDSU belongs in the Pac-12... sorry @OregonState but time to look for another conference
5,Sun Oct 25 00:01:18 +0000 2020,@sj39 @NFL @OregonState @BeaverFootball This is all i need today💕💕💕👀
6,Sat Oct 24 16:24:46 +0000 2020,@rkbtwo @garyvee I am more of an @OregonState alum &amp; @trailblazers collector #theglove @GaryPayton #clydetheglide
7,Sat Oct 24 14:58:15 +0000 2020,RT @Bernadette4OR: @RepPeterDeFazio @BeaverWBB @OregonState Wow @pivec10! Congratulations!
8,Sat Oct 24 14:55:08 +0000 2020,"RT @RepPeterDeFazio: Congratulations to Mikayla Pivec, former @BeaverWBB guard and finalist for the 2020 NCAA Woman of the Year! I'm proud…"
9,Sat Oct 24 14:46:20 +0000 2020,@RepPeterDeFazio @BeaverWBB @OregonState Wow @pivec10! Congratulations!
10,Sat Oct 24 05:07:49 +0000 2020,"@RepPeterDeFazio @BeaverWBB @OregonState Real quick.. anyone interested in compelling footage of DeFazio with Jim Weaver which could help the campaign?  
   s. BABB"
11,Sat Oct 24 01:08:21 +0000 2020,@sj39 @BeaverFootball @OregonState Your passion for @NFL @sj39 is phenomenal 😌 #StayReal 💯
12,Sat Oct 24 00:22:27 +0000 2020,"RT @RepPeterDeFazio: Congratulations to Mikayla Pivec, former @BeaverWBB guard and finalist for the 2020 NCAA Woman of the Year! I'm proud…"
13,Fri Oct 23 22:50:49 +0000 2020,@sj39 @NFL @OregonState @BeaverFootball Gigantic CONGRATULATIONS!🥳
14,Fri Oct 23 20:17:53 +0000 2020,"RT @RepPeterDeFazio: Congratulations to Mikayla Pivec, former @BeaverWBB guard and finalist for the 2020 NCAA Woman of the Year! I'm proud…"
15,Fri Oct 23 20:12:28 +0000 2020,"@RepPeterDeFazio @BeavRecruiting @BeaverWBB @OregonState Nice try connecting with Oregon State fans and students but you’re about to lose the election. You represent the elitists, not everyday workers"
16,Fri Oct 23 20:07:57 +0000 2020,"RT @RepPeterDeFazio: Congratulations to Mikayla Pivec, former @BeaverWBB guard and finalist for the 2020 NCAA Woman of the Year! I'm proud…"
17,Fri Oct 23 19:40:52 +0000 2020,"RT @RepPeterDeFazio: Congratulations to Mikayla Pivec, former @BeaverWBB guard and finalist for the 2020 NCAA Woman of the Year! I'm proud…"
18,Fri Oct 23 19:40:35 +0000 2020,"RT @RepPeterDeFazio: Congratulations to Mikayla Pivec, former @BeaverWBB guard and finalist for the 2020 NCAA Woman of the Year! I'm proud…"
19,Fri Oct 23 19:33:02 +0000 2020,"RT @RepPeterDeFazio: Congratulations to Mikayla Pivec, former @BeaverWBB guard and finalist for the 2020 NCAA Woman of the Year! I'm proud…"
20,Fri Oct 23 19:32:56 +0000 2020,"Congratulations to Mikayla Pivec, former @BeaverWBB guard and finalist for the 2020 NCAA Woman of the Year! I'm proud of all that Mikayla has accomplished for the team and for the @OregonState community. Go Beavs!"
21,Fri Oct 23 16:28:14 +0000 2020,@sj39 @NFL @OregonState @BeaverFootball 🇺🇸🇺🇸🇺🇸🇺🇸 🤘🇺🇲 hard work
22,Fri Oct 23 15:17:19 +0000 2020,"@ProfTomMole @EvanGottlieb1 @OregonState Thanks so much for your kind words, @proftommole! We're very excited to see the videos getting out into the world."
