,created_at,full_text
0,Mon Oct 26 18:38:26 +0000 2020,"@DepSecMac @DOIPressSec @realDonaldTrump @penn_state @EPA_Benevento p.s. @US_OSC — this is a government record and a #HatchAct violation.  Just, ya know, when the new administration comes in and starts the investigations."
1,Mon Oct 26 17:55:54 +0000 2020,"Time for #2! 

2. T/F It’s safe to hand out candy."
2,Mon Oct 26 17:41:44 +0000 2020,@Mahkamehzare @NOAA @MidAtlanticRISA @penn_state @billypizer @jdossgollin @PSUEarth Congrats!
3,Mon Oct 26 16:38:13 +0000 2020,"@Cesium0 @penn_state You spend less than a min at the door of house, so my kids will continue to trick or treat. Not gonna hide in basement in state of fear. You can. Not us."
4,Mon Oct 26 16:33:52 +0000 2020,"@Cesium0 @penn_state The CDC released the new guidance last week. The new definition of a “close contact,” according to the CDC and the Virginia Department of Health, is someone who was within 6 feet of an infected person for a cumulative total of 15 minutes or more over a 24-hour period."
5,Mon Oct 26 15:53:05 +0000 2020,@DepSecMac @DOIPressSec @realDonaldTrump @penn_state @EPA_Benevento No moron left behind
6,Mon Oct 26 14:18:45 +0000 2020,"RT @dlboardman: Today's @PhillyInquirer says @penn_state has kept #COVID19 ""mostly in check."" But data show Centre County, home of State Co…"
7,Mon Oct 26 14:05:55 +0000 2020,"Today's @PhillyInquirer says @penn_state has kept #COVID19 ""mostly in check."" But data show Centre County, home of State College, has the 3rd highest per-capita case rate in PA, nearly twice as high as Philly's."
8,Mon Oct 26 14:02:16 +0000 2020,Our Department will be opening up many of its Fall 2020 seminars on Zoom to people beyond the @penn_state community.
9,Mon Oct 26 13:20:51 +0000 2020,@penn_state Thank YOU and STAY SAFE😍😍😍
10,Mon Oct 26 12:24:17 +0000 2020,@penn_state You can rely on Penn State!  We are . . . .
11,Mon Oct 26 04:31:23 +0000 2020,@dbongino As a fellow @penn_state alum I’m embarrassed to admit that I finally just realized that you’re the @RealSkipBayless of politics.
12,Mon Oct 26 03:00:09 +0000 2020,@nicoleacrowley @penn_state @CollegeGameDay I was picking up a prescription at UHS on Saturday and there were hundreds of maskless students decked out in @PennState gear walking down Bigler. No campus police or enforcement of any kind in sight. The girl waiting for her apt was suspected COVID + &amp; walked to UHS in that mess
13,Mon Oct 26 01:55:43 +0000 2020,@nicoleacrowley @KellerCaponePhD @penn_state @CollegeGameDay Good point.
14,Mon Oct 26 01:41:10 +0000 2020,"@nicoleacrowley @penn_state @CollegeGameDay THANK YOU!  That was my question, too! Aren't we supposed to be discouraging--DIScouraging--people coming here for the game? How does this accomplish that?!?!?!"
15,Mon Oct 26 00:43:51 +0000 2020,@penn_state @olivervw your favorite team
16,Mon Oct 26 00:39:39 +0000 2020,@Mariam_b_Taleb I am really sorry for your lost Mariam and for this awful situation that you are currently leaving thanks to @penn_state :(
17,Sun Oct 25 23:43:51 +0000 2020,".@penn_state President Eric Barron urged students not to congregate during the game weekend.

“This is not the time to let down our guard,” he said in a news release."
18,Sun Oct 25 23:16:12 +0000 2020,@MatthewPMcAllis @penn_state @PSUBellisario @WPSU Thanks for the shout out! I'm so excited about this!
19,Sun Oct 25 22:37:01 +0000 2020,"@RickHirsch70 @marley_parish @penn_state I am very much aware of PSU's impact on the county, one reason why I am still doing the self quarantine thing."
20,Sun Oct 25 22:35:46 +0000 2020,@paplanner13 @marley_parish Don't undersell @penn_state students' role here. Nearly 4000 positive tests at UP campus in two months. That's over 10% of the returning student population. Do the math.
21,Sun Oct 25 21:37:01 +0000 2020,"RT @ZacharyPMcKay: That’s why I’m urging the @penn_state Community—students, RSOs, factulty, staff, and alumni—to join me in signing the Pe…"
22,Sun Oct 25 21:24:43 +0000 2020,"@GoPSUsports @SandyB_PSUAD @PennStateFball @NittanyLion @PennStateAlums @penn_state @SandyB_PSUAD Can we please fire this @coachjfranklin clown now, please?"
23,Sun Oct 25 20:51:30 +0000 2020,"@nicoleacrowley @glgray @penn_state @CollegeGameDay They definitely knew, but 🤑🤑🤑"
24,Sun Oct 25 20:50:45 +0000 2020,@glgray @KellerCaponePhD @penn_state @CollegeGameDay Generous of you to think they did not also predict this
25,Sun Oct 25 20:40:23 +0000 2020,"That’s why I’m urging the @penn_state Community—students, RSOs, factulty, staff, and alumni—to join me in signing the Penn State Climate Action Petition, and in calling on @penn_state's leadership to take the actions in it to combat climate change and the injustices it brings."
26,Sun Oct 25 19:50:21 +0000 2020,"@Cesium0 @penn_state LOL. Trick or treat is outside and idk bout you, I dont spend 15 mins at each house. CDC guidelines clearly state you need 15 min exposure at less than 6 ft."
27,Sun Oct 25 19:48:23 +0000 2020,@ktownbandit @penn_state Fear and stupidity are not the same thing. What you’re displaying is stupidity.
28,Sun Oct 25 19:43:11 +0000 2020,"@nicoleacrowley @KellerCaponePhD @penn_state @CollegeGameDay Who could have predicted any of this? Actually, everyone except for the administrators who make the decisions!"
29,Sun Oct 25 19:36:22 +0000 2020,"@penn_state Dont care, going anyways. Not living in constant state of fear."
30,Sun Oct 25 19:08:03 +0000 2020,"@penn_state CUSTOMER SERVICE AND DATA ENTRY  POSITION 
URGENTLY NEEDED!! !! !!
Company Name :  Wesfarmers company 
Pay $20 per hour .
Temporary and Permanent Positions Available.
No Experience Needed!
We Train!
Bonuses!
Paid Weekly via Direct Deposit
Full Benefits
Message me for more info!!"
31,Sun Oct 25 16:01:10 +0000 2020,@KaylaFishTV @penn_state @FoxABCMaine Y'all should have killed them. What happened?
32,Sun Oct 25 15:42:51 +0000 2020,"@OnwardState Where are the adults who run this university? They allow things to happen that are insane. They never learn. Kids die from drinking, coaches abuse kids, parties that are never stopped. #PennState @penn_state @PennState"
33,Sun Oct 25 14:51:04 +0000 2020,@SandovalStrausz @CathleenDCahill @MsMagazine @PSULiberalArts @penn_state @PennStateWGSS @PSUPRCC @MRCpennstate @PSULatinoCaucus This is so cool!
34,Sun Oct 25 14:36:43 +0000 2020,@TheRealHoarse He looked down and that is a non biased opinion of a dad with a daughter @penn_state. Awful call.
35,Sun Oct 25 12:29:31 +0000 2020,"@PennStateFball @penn_state I said it years ago, as long as Franklin's the coach they'll never make into the playoffs for a chance at a National Championship. Yes he's a good coach, but you need a great coach for that &amp; Franklin's just not it! He's coached too many great teams that should've played better."
36,Sun Oct 25 12:29:26 +0000 2020,"@penn_state @agsciences I said it years ago, as long as Franklin's the coach they'll never make into the playoffs for a chance at a National Championship. Yes he's a good coach, but you need a great coach for that &amp; Franklin's just not it! He's coached too many great teams that should've played better."
37,Sun Oct 25 12:29:21 +0000 2020,"@penn_state I said it years ago, as long as Franklin's the coach they'll never make into the playoffs for a chance at a National Championship. Yes he's a good coach, but you need a great coach for that &amp; Franklin's just not it! He's coached too many great teams that should've played better."
38,Sun Oct 25 11:54:42 +0000 2020,"@KaylaFishTV @penn_state @FoxABCMaine TOUGH end to yesterday’s contest for Lions fans, though"
39,Sun Oct 25 08:24:13 +0000 2020,@djoneshoop @psufootball @penn_state If Coach Franklin failed to call a TO to go over their “end of the game” scenario then that’s on him! If that hasn’t been practiced &amp; prepared for shame on him. If PSU has practiced it then shame on the player. #Stupidloss
40,Sun Oct 25 08:11:08 +0000 2020,@psufootball @penn_state If Coach Franklin failed to call a TO to go over their “end of the game” scenario then that’s on him! If that hasn’t been practiced &amp; prepared for shame on him. If PSU has practiced it then shame on the player. #Stupidloss
41,Sun Oct 25 04:31:31 +0000 2020,@PennStateFball @penn_state nice final game score you posted
42,Sun Oct 25 04:27:11 +0000 2020,"@tarheel_fever @penn_state @PennStateFball @IndianaFootball It was institutional. Went from the head football coach, to the AD, to the university president."
43,Sun Oct 25 04:18:51 +0000 2020,"@JalenooperDogg @penn_state @PennStateFball @IndianaFootball Dude, pretty harsh. Yes tragic for those involved, but not these players or coaches fault. They shouldn't be held responsible, or punished, for the actions of others."
44,Sun Oct 25 02:51:13 +0000 2020,@PennStateFball @penn_state Worst coaching and most devastating loss after  overcoming worst odds ..  it’s worse than the last three Ohio State losses... take a knee three times and at worst .. win easily
45,Sun Oct 25 02:40:37 +0000 2020,"RT @EmmaSchmeidler: I saw @jackjohnson and @glove, 8 years ago at @penn_state as a FRESHMAN for Rock the Vote. What the hell is the meaning…"
46,Sun Oct 25 02:36:58 +0000 2020,@TomMustin @IndianaFootball @PennStateFball @penn_state @psufootball @PSUBarstool @Big10Rant @NCAA @Big12Refs @NittanyLion @ChronicHoosier @NittanyLionClub The ball is touching hoaline
47,Sun Oct 25 02:08:29 +0000 2020,"This week, I intend to meet with the leadership of the @UPUA's General Assembly to urge them to pass legislation officially endorsing the asks of this petition, and calling on @penn_state to commit itself to these necessary changes for the protection of all generations."
48,Sun Oct 25 01:17:45 +0000 2020,"@OnwardState Ugh come on @penn_state students, get it together!"
49,Sun Oct 25 00:11:13 +0000 2020,@SandyB_PSUAD once again Sandy!! Get rid of the Coach! His play calling plains SUCKS!! Hire Urban Myers and pay him! Enough of Franklin bullshit! I hope your job on the line to!! @coachjfranklin @psufootball @penn_state
50,Sun Oct 25 00:06:09 +0000 2020,@penn_state @agsciences Y'all are brave doing this rn
51,Sun Oct 25 00:01:37 +0000 2020,@penn_state @agsciences Not now 😔
52,Sat Oct 24 23:47:41 +0000 2020,"@penn_state, please fire James Franklin"
53,Sat Oct 24 23:46:51 +0000 2020,@penn_state great job of knowing the situation at the end of the 4th quarter.  They should have never got the ball back
54,Sat Oct 24 23:42:18 +0000 2020,"If they don’t reverse this, @penn_state is getting screwed!!!"
