,created_at,full_text
0,Mon Oct 26 16:43:27 +0000 2020,I just heard empathy is the new buzzword. They wouldn’t know empathy if they studied it @pepperdine.
1,Mon Oct 26 05:34:01 +0000 2020,Reminded me of @pepperdine ‘s best event “Stick or Treat” there is literally no better event on that campus its fun and health forward
2,Mon Oct 26 00:42:30 +0000 2020,RT @sarahbraasch1: @SkepticReview89 @pepperdine @Yale It’s going to be Bad White Supremacist.  Ha ha ha ha.
3,Sun Oct 25 22:25:48 +0000 2020,@sarahbraasch1 @pepperdine @Yale Does factual accuracy matter in any of the grievance studies departments?
4,Sun Oct 25 21:19:14 +0000 2020,"@RayMcCue @sarahbraasch1 @pepperdine @Yale I fact-checked a couple of examples. Not good. What’s sad is it is for an MA in education. As a teacher, I was constantly called upon to mediate between students. You can’t rely on one version of events you read on Twitter and have a cohesive, peaceful classroom."
5,Sun Oct 25 21:15:33 +0000 2020,"RT @RayMcCue: @sarahbraasch1 @pepperdine @Yale Also, I don't think it's being moronic that keeps them from seeing there's more to the story…"
6,Sun Oct 25 21:13:29 +0000 2020,"@sarahbraasch1 @pepperdine @Yale Also, I don't think it's being moronic that keeps them from seeing there's more to the story than what they project onto it

It's being #DrunkOnPartisanAnimus"
7,Sun Oct 25 21:08:00 +0000 2020,"RT @sarahbraasch1: Some asshole at @pepperdine made their PhD Dissertation about me. Here's a clue, fuckhead: this isn't going to age well,…"
8,Sun Oct 25 20:21:17 +0000 2020,@SkepticReview89 @pepperdine @Yale It’s going to be Bad White Supremacist.  Ha ha ha ha.
9,Sun Oct 25 20:15:37 +0000 2020,"@sarahbraasch1 @pepperdine @Yale Your book title should be “Famous, but for all the wrong reasons.”"
10,Sun Oct 25 20:06:52 +0000 2020,"Some asshole at @pepperdine made their PhD Dissertation about me. Here's a clue, fuckhead: this isn't going to age well, &amp; you'd have to be a fucking moron at this point not to realize that I am the innocent victim of the Living or Napping While Black Hate Crime Hoax @Yale."
11,Sat Oct 24 20:37:09 +0000 2020,@nolahtheveil @pepperdine @OpenAcademics @womenalsoknow Welcome! Excited to have you in Social Sciences!
12,Sat Oct 24 12:39:45 +0000 2020,@nolahtheveil @pepperdine @OpenAcademics @womenalsoknow Congratulations!
13,Sat Oct 24 04:22:03 +0000 2020,@nolahtheveil @pepperdine @OpenAcademics @womenalsoknow Youre so very welcome.
14,Sat Oct 24 03:18:32 +0000 2020,@bigthurm1962 @pepperdine @OpenAcademics @womenalsoknow Thanks Bill.
